#tmm Radiation results with respect to radial wave number (tmm_study)
# 0 ratio[1] 
# 1 kr value[1]
# 2 Emission angle [deg]
# 3 Power flow back
#  Powerflow front
# ratio  kr  Emission_angle  Power_back  Power_front
0  0  0  0  0
0.00333333  6.16291e-05  0.00333334  15.7643  0
0.00666667  0.000123258  0.00666672  15.7638  0
0.01  0.000184887  0.0100002  15.763  0
0.0133333  0.000246516  0.0133337  15.7618  0
0.0166667  0.000308146  0.0166674  15.7603  0
0.02  0.000369775  0.0200013  15.7584  0
0.0233333  0.000431404  0.0233355  15.7562  0
0.0266667  0.000493033  0.0266698  15.7536  0
0.03  0.000554662  0.0300045  15.7507  0
0.0333333  0.000616291  0.0333395  15.7475  0
0.0366667  0.00067792  0.0366749  15.7439  0
0.04  0.000739549  0.0400107  15.74  0
0.0433333  0.000801179  0.0433469  15.7357  0
0.0466667  0.000862808  0.0466836  15.7311  0
0.05  0.000924437  0.0500209  15.7261  0
0.0533333  0.000986066  0.0533586  15.7207  0
0.0566667  0.00104769  0.056697  15.715  0
0.06  0.00110932  0.0600361  15.709  0
0.0633333  0.00117095  0.0633757  15.7025  0
0.0666667  0.00123258  0.0667161  15.6958  0
0.07  0.00129421  0.0700573  15.6886  0
0.0733333  0.00135584  0.0733992  15.6811  0
0.0766667  0.00141747  0.076742  15.6733  0
0.08  0.0014791  0.0800856  15.6651  0
0.0833333  0.00154073  0.0834301  15.6565  0
0.0866667  0.00160236  0.0867755  15.6476  0
0.09  0.00166399  0.0901219  15.6383  0
0.0933333  0.00172562  0.0934694  15.6287  0
0.0966667  0.00178724  0.0968179  15.6187  0
0.1  0.00184887  0.100167  15.6084  0
0.103333  0.0019105  0.103518  15.5978  0
0.106667  0.00197213  0.10687  15.5869  0
0.11  0.00203376  0.110223  15.5756  0
0.113333  0.00209539  0.113577  15.564  0
0.116667  0.00215702  0.116933  15.5522  0
0.12  0.00221865  0.12029  15.54  0
0.123333  0.00228028  0.123648  15.5276  0
0.126667  0.00234191  0.127008  15.515  0
0.13  0.00240354  0.130369  15.5021  0
0.133333  0.00246516  0.133732  15.489  0
0.136667  0.00252679  0.137096  15.4757  0
0.14  0.00258842  0.140461  15.4623  0
0.143333  0.00265005  0.143829  15.4487  0
0.146667  0.00271168  0.147198  15.435  0
0.15  0.00277331  0.150568  15.4212  0
0.153333  0.00283494  0.153941  15.4073  0
0.156667  0.00289657  0.157315  15.3935  0
0.16  0.0029582  0.160691  15.3796  0
0.163333  0.00301983  0.164068  15.3658  0
0.166667  0.00308146  0.167448  15.3521  0
0.17  0.00314308  0.17083  15.3385  0
0.173333  0.00320471  0.174213  15.3251  0
0.176667  0.00326634  0.177599  15.3119  0
0.18  0.00332797  0.180986  15.299  0
0.183333  0.0033896  0.184376  15.2864  0
0.186667  0.00345123  0.187768  15.2742  0
0.19  0.00351286  0.191162  15.2624  0
0.193333  0.00357449  0.194558  15.2511  0
0.196667  0.00363612  0.197957  15.2403  0
0.2  0.00369775  0.201358  15.23  0
0.203333  0.00375938  0.204761  15.2204  0
0.206667  0.00382101  0.208167  15.2115  0
0.21  0.00388263  0.211575  15.2034  0
0.213333  0.00394426  0.214986  15.196  0
0.216667  0.00400589  0.218399  15.1895  0
0.22  0.00406752  0.221814  15.1839  0
0.223333  0.00412915  0.225233  15.1793  0
0.226667  0.00419078  0.228654  15.1756  0
0.23  0.00425241  0.232078  15.173  0
0.233333  0.00431404  0.235504  15.1715  0
0.236667  0.00437567  0.238934  15.1712  0
0.24  0.0044373  0.242366  15.1719  0
0.243333  0.00449893  0.245801  15.1739  0
0.246667  0.00456055  0.249239  15.1771  0
0.25  0.00462218  0.25268  15.1815  0
0.253333  0.00468381  0.256124  15.1872  0
0.256667  0.00474544  0.259572  15.1941  0
0.26  0.00480707  0.263022  15.2023  0
0.263333  0.0048687  0.266476  15.2117  0
0.266667  0.00493033  0.269933  15.2223  0
0.27  0.00499196  0.273393  15.2342  0
0.273333  0.00505359  0.276857  15.2473  0
0.276667  0.00511522  0.280324  15.2615  0
0.28  0.00517685  0.283794  15.2767  0
0.283333  0.00523847  0.287268  15.2931  0
0.286667  0.0053001  0.290746  15.3103  0
0.29  0.00536173  0.294227  15.3285  0
0.293333  0.00542336  0.297712  15.3474  0
0.296667  0.00548499  0.3012  15.367  0
0.3  0.00554662  0.304693  15.3872  0
0.303333  0.00560825  0.308189  15.4078  0
0.306667  0.00566988  0.311689  15.4286  0
0.31  0.00573151  0.315193  15.4495  0
0.313333  0.00579314  0.318701  15.4703  0
0.316667  0.00585477  0.322213  15.4908  0
0.32  0.0059164  0.325729  15.5108  0
0.323333  0.00597802  0.32925  15.53  0
0.326667  0.00603965  0.332775  15.5481  0
0.33  0.00610128  0.336304  15.5648  0
0.333333  0.00616291  0.339837  15.5798  0
0.336667  0.00622454  0.343375  15.5928  0
0.34  0.00628617  0.346917  15.6034  0
0.343333  0.0063478  0.350464  15.6111  0
0.346667  0.00640943  0.354015  15.6155  0
0.35  0.00647106  0.357571  15.6163  0
0.353333  0.00653269  0.361132  15.6129  0
0.356667  0.00659432  0.364697  15.605  0
0.36  0.00665594  0.368268  15.5919  0
0.363333  0.00671757  0.371843  15.5734  0
0.366667  0.0067792  0.375424  15.5491  0
0.37  0.00684083  0.379009  15.5187  0
0.373333  0.00690246  0.3826  15.482  0
0.376667  0.00696409  0.386195  15.439  0
0.38  0.00702572  0.389796  15.3897  0
0.383333  0.00708735  0.393403  15.3344  0
0.386667  0.00714898  0.397014  15.2735  0
0.39  0.00721061  0.400632  15.2075  0
0.393333  0.00727224  0.404254  15.1368  0
0.396667  0.00733386  0.407883  15.0614  0
0.4  0.00739549  0.411517  14.9807  0
0.403333  0.00745712  0.415157  14.893  0
0.406667  0.00751875  0.418802  14.7943  0
0.41  0.00758038  0.422454  14.677  0
0.413333  0.00764201  0.426112  14.5259  0
0.416667  0.00770364  0.429775  14.3096  0
0.42  0.00776527  0.433445  13.9421  0
0.423333  0.0078269  0.437121  12.9661  0
0.426667  0.00788853  0.440804  6.41279e-16  0
0.43  0.00795016  0.444493  1.47128e-16  0
0.433333  0.00801179  0.448188  3.22705e-16  0
0.436667  0.00807341  0.45189  1.56805e-16  0
0.44  0.00813504  0.455599  1.4818e-16  0
0.443333  0.00819667  0.459314  8.04842e-17  0
0.446667  0.0082583  0.463036  1.13917e-16  0
0.45  0.00831993  0.466765  1.82489e-16  0
0.453333  0.00838156  0.470501  3.51111e-16  0
0.456667  0.00844319  0.474245  2.18872e-15  0
0.46  0.00850482  0.477995  2.17956e-15  0
0.463333  0.00856645  0.481753  9.2101e-16  0
0.466667  0.00862808  0.485518  4.06246e-16  0
0.47  0.00868971  0.489291  1.2096e-15  0
0.473333  0.00875133  0.493071  9.5568e-16  0
0.476667  0.00881296  0.496859  1.23534e-16  0
0.48  0.00887459  0.500655  2.80352e-16  0
0.483333  0.00893622  0.504458  7.34969e-17  0
0.486667  0.00899785  0.50827  2.53557e-16  0
0.49  0.00905948  0.51209  1.2579e-16  0
0.493333  0.00912111  0.515918  1.93007e-16  0
0.496667  0.00918274  0.519754  2.11327e-16  0
0.5  0.00924437  0.523599  1.83352e-16  0
0.503333  0.009306  0.527452  2.45756e-16  0
0.506667  0.00936763  0.531314  2.19212e-16  0
0.51  0.00942925  0.535185  3.10116e-16  0
0.513333  0.00949088  0.539064  1.95681e-16  0
0.516667  0.00955251  0.542953  2.47088e-16  0
0.52  0.00961414  0.546851  2.99165e-16  0
0.523333  0.00967577  0.550758  3.3439e-16  0
0.526667  0.0097374  0.554675  1.40504e-15  0
0.53  0.00979903  0.558601  1.64794e-15  0
0.533333  0.00986066  0.562536  5.48237e-16  0
0.536667  0.00992229  0.566482  3.19845e-16  0
0.54  0.00998392  0.570437  3.42598e-16  0
0.543333  0.0100455  0.574403  2.38734e-16  0
