# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Absorption 
0 -0.0979491 -0.106685 -0.000227923 0 
1 -0.0975366 -0.106685 -0.000227923 0 
2 -0.0967069 -0.106685 -0.000227923 0 
3 -0.0958682 -0.106685 -0.000227923 0 
4 -0.0950206 -0.106685 -0.000227923 0 
5 -0.094164 -0.106685 -0.000227923 0 
6 -0.0932984 -0.106685 -0.000227923 0 
7 -0.0924239 -0.106685 -0.000227923 0 
8 -0.0915406 -0.106685 -0.000227923 0 
9 -0.0906484 -0.106685 -0.000227923 0 
10 -0.0897474 -0.106685 -0.000227923 0 
11 -0.0888376 -0.106685 -0.000227923 0 
12 -0.0879191 -0.106685 -0.000227923 0 
13 -0.0869918 -0.106685 -0.000227923 0 
14 -0.0860558 -0.106685 -0.000227923 0 
15 -0.0851111 -0.106685 -0.000227923 0 
16 -0.0841579 -0.106685 -0.000227923 0 
17 -0.083196 -0.106685 -0.000227923 0 
18 -0.0822256 -0.106685 -0.000227923 0 
19 -0.0812467 -0.106685 -0.000227923 0 
20 -0.0802593 -0.106685 -0.000227923 0 
21 -0.0792635 -0.106685 -0.000227923 0 
22 -0.0782592 -0.106685 -0.000227923 0 
23 -0.0772466 -0.106685 -0.000227923 0 
24 -0.0762257 -0.106685 -0.000227923 0 
25 -0.0751965 -0.106685 -0.000227923 0 
26 -0.0741591 -0.106685 -0.000227923 0 
27 -0.0731135 -0.106685 -0.000227923 0 
28 -0.0720598 -0.106685 -0.000227923 0 
29 -0.0709979 -0.106685 -0.000227923 0 
30 -0.0699281 -0.106685 -0.000227923 0 
31 -0.0688502 -0.106685 -0.000227923 0 
32 -0.0677644 -0.106685 -0.000227923 0 
33 -0.0666706 -0.106685 -0.000227923 0 
34 -0.0655691 -0.106685 -0.000227923 0 
35 -0.0644597 -0.106685 -0.000227923 0 
36 -0.0633426 -0.106685 -0.000227923 0 
37 -0.0622178 -0.106685 -0.000227923 0 
38 -0.0610854 -0.106685 -0.000227923 0 
39 -0.0599454 -0.106685 -0.000227923 0 
40 -0.0587978 -0.106685 -0.000227923 0 
41 -0.0576429 -0.106685 -0.000227923 0 
