# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Poynting
# 4 Internal_Power
# 5 Internal_Absorption
# x Internal_Source_ElectricField Internal_Poynting Internal_Power Internal_Absorption 
0 -0.00460217 0 0 0 
1 -0.00462604 1.69407e-21 1.42649e-21 0 
2 -0.00467404 1.69407e-21 1.42649e-21 0 
3 -0.00472254 -1.69407e-21 -1.42649e-21 0 
4 -0.00477155 -1.69407e-21 -1.42649e-21 0 
5 -0.00482106 -1.69407e-21 -1.42649e-21 0 
6 -0.00487108 -1.69407e-21 -1.42649e-21 0 
7 -0.00492163 0 0 0 
8 -0.0049727 0 0 0 
9 -0.0050243 0 0 0 
10 -0.00507643 0 0 0 
11 -0.0051291 0 0 0 
12 -0.00518233 1.69407e-21 1.42649e-21 0 
13 -0.0052361 1.69407e-21 1.42649e-21 0 
14 -0.00529043 -1.69407e-21 -1.42649e-21 0 
15 -0.00534533 7.22224e-35 6.07495e-35 0 
16 -0.00540079 1.69407e-21 1.42649e-21 0 
17 -0.00545683 -1.69407e-21 -1.42649e-21 0 
18 -0.00551345 -1.69407e-21 -1.42649e-21 0 
19 -0.00557066 0 0 0 
20 -0.00562847 0 0 0 
21 -0.00568687 0 0 0 
22 -0.00574588 -3.38813e-21 -2.85299e-21 0 
23 -0.0058055 -3.38813e-21 -2.85299e-21 0 
24 -0.00586574 0 0 0 
25 -0.00592661 0 0 0 
26 -0.0059881 0 0 0 
27 -0.00605024 3.38813e-21 2.85299e-21 0 
28 -0.00611302 3.38813e-21 2.85299e-21 0 
29 -0.00617645 0 0 0 
30 -0.00624054 3.38813e-21 2.85299e-21 0 
31 -0.00630529 3.38813e-21 2.85299e-21 0 
32 -0.00637072 0 0 0 
33 -0.00643682 0 0 0 
34 -0.00650361 0 0 0 
35 -0.0065711 3.38813e-21 2.85299e-21 0 
36 -0.00663928 3.38813e-21 2.85299e-21 0 
37 -0.00670817 0 0 0 
38 -0.00677778 3.38813e-21 2.85299e-21 0 
39 -0.00684811 3.38813e-21 2.85299e-21 0 
40 -0.00691916 3.38813e-21 2.85299e-21 0 
41 -0.00699096 3.38813e-21 2.85299e-21 0 
42 -0.0070635 0 0 0 
43 -0.00713679 0 0 0 
44 -0.00721085 3.38813e-21 2.85299e-21 0 
45 -0.00728567 -7.22224e-35 -6.09376e-35 0 
46 -0.00736127 -3.38813e-21 -2.85299e-21 0 
47 -0.00743765 3.38813e-21 2.85299e-21 0 
48 -0.00751483 3.38813e-21 2.85299e-21 0 
49 -0.00759281 0 0 0 
50 -0.00767159 0 0 0 
