H	  0.05
Li  0.8
Be  0.8
B   1.2
C   1.1
N	  1.2
O   1.25
F   1.2
Na  1.2
Mg  1.2
Al	1.2
Si	1.25
P   1.4  
S   1.3
Cl  1.8
K   1.4
Ca  1.4
Sc  1.5
Ti  1.5
V   1.5
Cr  1.5
Mn  1.5
Fe  1.5
Co  1.5 
Ni  1.5
Cu  1.5
Zn  1.5
Ga	1.2
Ge	1.25
As 	1.5
Se  1.6
Br  1.6
Rb  1.6
Sr  1.6
Y   1.6
Zr  1.6
Nb  1.6
Mo  1.3
Tc  1.6
Ru  1.6
Rh  1.6 
Pd  1.6
Ag  1.5
Cd  1.5
In  1.4
Sn  2.0
Sb  1.5
Te  2.0
I   1.5
Cs  1.8
Ba  1.8
Hf  1.6
Ta  1.6
W   1.6
Re  1.6
Os  1.6
Ir  1.6
Pt  1.6 
Au  1.6
Hg  1.5
Tl  2.0
Pb  2.5
Bi  2.0
Po  2.0
At  2.0
La  2.0
Ce  2.0
Pr  2.0
Nd  2.0
Pm  2.0
Sm  2.0
Eu  2.0
Gd  2.0
Tb  2.0
Dy  2.0
Er  2.0
Tm  2.0
Yb  2.0
Ac  2.0
Th  2.0
Pa  2.0
U   2.0
Np  2.0
Pu  2.0
Virt 1.2


