# Matrix elements given in atomic units
# initial_state final_state transition_energy |Px|^2 |Py|^2 |Pz|^2
0  0  4.42168  1.65005e-05  0.00115213  0.615614
0  1  4.42168  0.00100297  1.65919e-06  0.00195801
0  2  4.50961  0.0847653  0.253796  0.000440993
0  3  4.50961  0.0154226  0.0461422  2.62238e-05
1  0  4.42168  0.000995074  1.2059e-06  0.00195769
1  1  4.42168  2.21942e-05  0.00136189  0.615618
1  2  4.50961  0.0154166  0.0461506  2.61531e-05
1  3  4.50961  0.0846972  0.253716  0.000437587
2  0  4.93427  0.000257649  0.000514695  0.0937708
2  1  4.93427  0.000412476  2.13685e-05  0.00859402
2  2  5.02219  0.0432921  0.105929  0.000334762
2  3  5.02219  0.0044791  0.0517281  0.00368749
3  0  4.93427  0.000473291  4.28031e-05  0.00859997
3  1  4.93427  0.000305323  0.000257272  0.0938037
3  2  5.02219  0.00464198  0.0517775  0.00369542
3  3  5.02219  0.0435068  0.106111  0.000327425
