# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -3.65 -6.95 -5.12697 -6.44294 1.45 71.4128 7.25064e+16 8.50281e-07 1.5972e-05 8.98374e-23 1.85544e-07 52421.7 0 0 3.34303e-18 0 0 0.0120201 0 0 0 0 0 0 4.5033e+07 4.5033e+07 4.5033e+07 4.5033e+07 
9.79066e-05 -3.64949 -6.94949 -5.12661 -6.4423 1.44949 71.0035 7.22913e+16 8.50326e-07 1.59459e-05 8.97822e-23 1.84691e-07 52604.6 0 0 3.37653e-18 0 0 0.0120201 0 0 0 0 0 0 4.45729e+07 4.45729e+07 4.45729e+07 4.45729e+07 
0.000214985 -3.64887 -6.94887 -5.12616 -6.44154 1.44887 70.5313 7.20364e+16 8.5043e-07 1.59158e-05 8.9719e-23 1.83693e-07 53041.5 0 0 3.45615e-18 0 0 0.0120201 0 0 0 0 0 0 4.40417e+07 4.40417e+07 4.40417e+07 4.40417e+07 
0.000354988 -3.64812 -6.94812 -5.12561 -6.44062 1.44812 69.9903 7.17349e+16 8.50556e-07 1.58803e-05 8.96467e-23 1.82515e-07 53561.8 0 0 3.55006e-18 0 0 0.0120201 0 0 0 0 0 0 4.34291e+07 4.34291e+07 4.34291e+07 4.34291e+07 
0.000522406 -3.64722 -6.94722 -5.12494 -6.43951 1.44722 69.376 7.13791e+16 8.50706e-07 1.58383e-05 8.95647e-23 1.8113e-07 54181.1 0 0 3.66058e-18 0 0 0.0120201 0 0 0 0 0 0 4.27273e+07 4.27273e+07 4.27273e+07 4.27273e+07 
0.000722606 -3.64613 -6.94613 -5.12411 -6.43817 1.44613 68.686 7.096e+16 8.50889e-07 1.57889e-05 8.94726e-23 1.79505e-07 54917.8 0 0 3.79031e-18 0 0 0.0120201 0 0 0 0 0 0 4.19299e+07 4.19299e+07 4.19299e+07 4.19299e+07 
0.000962009 -3.6448 -6.9448 -5.12307 -6.43656 1.4448 67.921 7.0468e+16 8.51109e-07 1.57309e-05 8.93707e-23 1.77605e-07 55793 0 0 3.94215e-18 0 0 0.0120201 0 0 0 0 0 0 4.10324e+07 4.10324e+07 4.10324e+07 4.10324e+07 
0.00124829 -3.64319 -6.94319 -5.12178 -6.43461 1.44319 67.087 6.98923e+16 8.51376e-07 1.5663e-05 8.92599e-23 1.75394e-07 56831.7 0 0 4.11931e-18 0 0 0.0120201 0 0 0 0 0 0 4.00334e+07 4.00334e+07 4.00334e+07 4.00334e+07 
0.00159063 -3.64122 -6.94122 -5.12016 -6.43225 1.44122 66.1971 6.92211e+16 8.51699e-07 1.55838e-05 8.91419e-23 1.72831e-07 58062.8 0 0 4.32531e-18 0 0 0.0120201 0 0 0 0 0 0 3.89362e+07 3.89362e+07 3.89362e+07 3.89362e+07 
0.002 -3.63882 -6.93882 -5.11811 -6.42938 1.43882 65.2742 6.84424e+16 8.51873e-07 1.54879e-05 8.90178e-23 1.69835e-07 58795.3 0 0 4.44664e-18 0 0 0.0120201 0 0 0 0 0 0 3.77403e+07 3.77403e+07 3.77403e+07 3.77403e+07 
