# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -1.875 -5.175 -3.04365 -4.51747 -0.325 2.55657e+06 2.92791e+14 9.6867e-05 0.000349095 3.96775e-17 1.63761e-08 148303 0 0 2.73203e-11 0 0 0.00242917 0 0 0 0 0 0 1.72586e+11 1.72586e+11 1.72586e+11 1.72586e+11 
9.79066e-05 -1.87355 -5.17355 -3.03752 -4.51602 -0.326452 3.05837e+06 2.92788e+14 9.69903e-05 0.000349094 4.75258e-17 1.63759e-08 148304 0 0 2.73206e-11 0 0 0.00242917 0 0 0 0 0 0 2.06516e+11 2.06516e+11 2.06516e+11 2.06516e+11 
0.000214985 -1.87181 -5.17181 -3.03136 -4.51428 -0.328188 3.62214e+06 2.92784e+14 9.7111e-05 0.000349094 5.63567e-17 1.63757e-08 148305 0 0 2.73211e-11 0 0 0.00242917 0 0 0 0 0 0 2.44648e+11 2.44648e+11 2.44648e+11 2.44648e+11 
0.000354988 -1.86974 -5.16974 -3.02512 -4.5122 -0.330265 4.24802e+06 2.9278e+14 9.72287e-05 0.000349095 6.61746e-17 1.63755e-08 148307 0 0 2.73218e-11 0 0 0.00242917 0 0 0 0 0 0 2.86992e+11 2.86992e+11 2.86992e+11 2.86992e+11 
0.000522406 -1.86725 -5.16725 -3.01873 -4.50972 -0.332748 4.933e+06 2.92774e+14 9.73427e-05 0.000349095 7.69352e-17 1.63752e-08 148310 0 0 2.73227e-11 0 0 0.00242917 0 0 0 0 0 0 3.33348e+11 3.33348e+11 3.33348e+11 3.33348e+11 
0.000722606 -1.86428 -5.16428 -3.01211 -4.50675 -0.335717 5.67003e+06 2.92768e+14 9.74521e-05 0.000349095 8.85293e-17 1.63749e-08 148313 0 0 2.73239e-11 0 0 0.00242917 0 0 0 0 0 0 3.83239e+11 3.83239e+11 3.83239e+11 3.83239e+11 
0.000962009 -1.86073 -5.16073 -3.0052 -4.5032 -0.339267 6.44709e+06 2.92761e+14 9.75559e-05 0.000349095 1.00769e-16 1.63745e-08 148317 0 0 2.73255e-11 0 0 0.00242917 0 0 0 0 0 0 4.35852e+11 4.35852e+11 4.35852e+11 4.35852e+11 
0.00124829 -1.85649 -5.15649 -2.9979 -4.49895 -0.343514 7.2467e+06 2.92752e+14 9.7653e-05 0.000349096 1.1338e-16 1.6374e-08 148321 0 0 2.73276e-11 0 0 0.00242917 0 0 0 0 0 0 4.90001e+11 4.90001e+11 4.90001e+11 4.90001e+11 
0.00159063 -1.85141 -5.15141 -2.99008 -4.49387 -0.348591 8.04597e+06 2.92742e+14 9.77421e-05 0.000349096 1.26e-16 1.63734e-08 148326 0 0 2.73304e-11 0 0 0.00242917 0 0 0 0 0 0 5.44135e+11 5.44135e+11 5.44135e+11 5.44135e+11 
0.002 -1.84534 -5.14534 -2.98161 -4.4878 -0.354663 8.81765e+06 2.92729e+14 9.78213e-05 0.000349094 1.38196e-16 1.63726e-08 148329 0 0 2.73322e-11 0 0 0.00242917 0 0 0 0 0 0 5.964e+11 5.964e+11 5.964e+11 5.964e+11 
0.002 -1.84534 -5.14534 -2.98161 -4.4878 -0.354663 8.81765e+06 2.92729e+14 9.78226e-05 0.000349099 1.38198e-16 1.63729e-08 148336 0 0 2.73366e-11 0 0 0.00242917 0 0 0 0 0 0 5.96408e+11 5.96408e+11 5.96408e+11 5.96408e+11 
0.0025 -1.83792 -5.13792 -2.97211 -4.48038 -0.36208 9.54576e+06 2.92714e+14 9.78927e-05 0.000349097 1.49717e-16 1.63719e-08 148340 0 0 2.73391e-11 0 0 0.00242917 0 0 0 0 0 0 6.4572e+11 6.4572e+11 6.4572e+11 6.4572e+11 
0.003 -1.8305 -5.1305 -2.96324 -4.47296 -0.369497 1.0092e+07 2.92698e+14 9.79434e-05 0.000349097 1.58367e-16 1.63711e-08 148347 0 0 2.73445e-11 0 0 0.00242917 0 0 0 0 0 0 6.82715e+11 6.82715e+11 6.82715e+11 6.82715e+11 
0.0035 -1.82309 -5.12309 -2.95478 -4.46554 -0.376915 1.0502e+07 2.92683e+14 9.79805e-05 0.000349098 1.64862e-16 1.63702e-08 148355 0 0 2.735e-11 0 0 0.00242917 0 0 0 0 0 0 7.1047e+11 7.1047e+11 7.1047e+11 7.1047e+11 
0.004 -1.81567 -5.11567 -2.9466 -4.45812 -0.384333 1.08098e+07 2.92668e+14 9.8008e-05 0.000349098 1.69742e-16 1.63694e-08 148363 0 0 2.73558e-11 0 0 0.00242917 0 0 0 0 0 0 7.313e+11 7.313e+11 7.313e+11 7.313e+11 
0.0045 -1.80825 -5.10825 -2.93863 -4.4507 -0.391751 1.1041e+07 2.92652e+14 9.80286e-05 0.000349099 1.73409e-16 1.63686e-08 148370 0 0 2.73617e-11 0 0 0.00242917 0 0 0 0 0 0 7.46939e+11 7.46939e+11 7.46939e+11 7.46939e+11 
0.005 -1.80083 -5.10083 -2.9308 -4.44328 -0.39917 1.12148e+07 2.92637e+14 9.80443e-05 0.000349099 1.76167e-16 1.63677e-08 148378 0 0 2.73677e-11 0 0 0.00242917 0 0 0 0 0 0 7.58686e+11 7.58686e+11 7.58686e+11 7.58686e+11 
0.0055 -1.79341 -5.09341 -2.92308 -4.43586 -0.406589 1.13456e+07 2.92621e+14 9.80563e-05 0.0003491 1.78244e-16 1.63669e-08 148385 0 0 2.73738e-11 0 0 0.00242917 0 0 0 0 0 0 7.67516e+11 7.67516e+11 7.67516e+11 7.67516e+11 
0.006 -1.78599 -5.08599 -2.91543 -4.42844 -0.414008 1.14442e+07 2.92606e+14 9.80657e-05 0.0003491 1.79809e-16 1.63661e-08 148393 0 0 2.738e-11 0 0 0.00242917 0 0 0 0 0 0 7.74159e+11 7.74159e+11 7.74159e+11 7.74159e+11 
0.0065 -1.77857 -5.07857 -2.90785 -4.42102 -0.421428 1.15185e+07 2.92591e+14 9.80731e-05 0.000349101 1.80991e-16 1.63652e-08 148400 0 0 2.73862e-11 0 0 0.00242917 0 0 0 0 0 0 7.79162e+11 7.79162e+11 7.79162e+11 7.79162e+11 
0.007 -1.77115 -5.07115 -2.9003 -4.41359 -0.428849 1.15748e+07 2.92575e+14 9.8079e-05 0.000349102 1.81886e-16 1.63644e-08 148408 0 0 2.73924e-11 0 0 0.00242917 0 0 0 0 0 0 7.82936e+11 7.82936e+11 7.82936e+11 7.82936e+11 
0.0075 -1.76373 -5.06373 -2.89278 -4.40617 -0.436269 1.16174e+07 2.9256e+14 9.80839e-05 0.000349102 1.82565e-16 1.63636e-08 148416 0 0 2.73987e-11 0 0 0.00242917 0 0 0 0 0 0 7.85789e+11 7.85789e+11 7.85789e+11 7.85789e+11 
0.008 -1.75631 -5.05631 -2.88529 -4.39875 -0.44369 1.16499e+07 2.92545e+14 9.80879e-05 0.000349103 1.83082e-16 1.63627e-08 148423 0 0 2.7405e-11 0 0 0.00242917 0 0 0 0 0 0 7.87951e+11 7.87951e+11 7.87951e+11 7.87951e+11 
0.0085 -1.74889 -5.04889 -2.87781 -4.39133 -0.451111 1.16747e+07 2.92529e+14 9.80913e-05 0.000349103 1.83479e-16 1.63619e-08 148431 0 0 2.74113e-11 0 0 0.00242917 0 0 0 0 0 0 7.89595e+11 7.89595e+11 7.89595e+11 7.89595e+11 
0.009 -1.74147 -5.04147 -2.87034 -4.3839 -0.458533 1.16938e+07 2.92514e+14 9.80943e-05 0.000349104 1.83784e-16 1.63611e-08 148438 0 0 2.74176e-11 0 0 0.00242917 0 0 0 0 0 0 7.9085e+11 7.9085e+11 7.9085e+11 7.9085e+11 
0.0095 -1.73404 -5.03404 -2.86289 -4.37648 -0.465955 1.17086e+07 2.92499e+14 9.80969e-05 0.000349104 1.84022e-16 1.63602e-08 148446 0 0 2.74239e-11 0 0 0.00242917 0 0 0 0 0 0 7.91815e+11 7.91815e+11 7.91815e+11 7.91815e+11 
0.01 -1.72662 -5.02662 -2.85544 -4.36906 -0.473378 1.17201e+07 2.92483e+14 9.80993e-05 0.000349105 1.84208e-16 1.63594e-08 148453 0 0 2.74303e-11 0 0 0.00242917 0 0 0 0 0 0 7.92561e+11 7.92561e+11 7.92561e+11 7.92561e+11 
0.0105 -1.7192 -5.0192 -2.848 -4.36163 -0.480801 1.17293e+07 2.92468e+14 9.81015e-05 0.000349105 1.84356e-16 1.63586e-08 148461 0 0 2.74366e-11 0 0 0.00242917 0 0 0 0 0 0 7.93144e+11 7.93144e+11 7.93144e+11 7.93144e+11 
0.011 -1.71178 -5.01178 -2.84056 -4.35421 -0.488224 1.17366e+07 2.92453e+14 9.81035e-05 0.000349106 1.84476e-16 1.63577e-08 148468 0 0 2.7443e-11 0 0 0.00242917 0 0 0 0 0 0 7.93604e+11 7.93604e+11 7.93604e+11 7.93604e+11 
0.0115 -1.70435 -5.00435 -2.83312 -4.34678 -0.495647 1.17426e+07 2.92437e+14 9.81054e-05 0.000349106 1.84573e-16 1.63569e-08 148476 0 0 2.74493e-11 0 0 0.00242917 0 0 0 0 0 0 7.93972e+11 7.93972e+11 7.93972e+11 7.93972e+11 
0.012 -1.69693 -4.99693 -2.82569 -4.33935 -0.503071 1.17476e+07 2.92422e+14 9.81073e-05 0.000349107 1.84655e-16 1.63561e-08 148484 0 0 2.74556e-11 0 0 0.00242917 0 0 0 0 0 0 7.94271e+11 7.94271e+11 7.94271e+11 7.94271e+11 
0.0125 -1.6895 -4.9895 -2.81825 -4.33193 -0.510496 1.17518e+07 2.92407e+14 9.81091e-05 0.000349107 1.84725e-16 1.63552e-08 148491 0 0 2.7462e-11 0 0 0.00242917 0 0 0 0 0 0 7.94518e+11 7.94518e+11 7.94518e+11 7.94518e+11 
