# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -1.8 -5.1 -2.96988 -4.44255 -0.4 2.43978e+06 2.93508e+14 9.61371e-05 0.000346794 3.75797e-17 1.6308e-08 144598 0 0 2.54853e-11 0 0 0.00235866 0 0 0 0 0 0 1.63984e+11 1.63984e+11 1.63984e+11 1.63984e+11 
9.79066e-05 -1.79858 -5.09858 -2.96383 -4.44113 -0.401416 2.91313e+06 2.93505e+14 9.62571e-05 0.000346794 4.49266e-17 1.63079e-08 144599 0 0 2.54855e-11 0 0 0.00235866 0 0 0 0 0 0 1.95849e+11 1.95849e+11 1.95849e+11 1.95849e+11 
0.000214985 -1.79689 -5.09689 -2.95775 -4.43944 -0.403109 3.44574e+06 2.93501e+14 9.63749e-05 0.000346794 5.32056e-17 1.63077e-08 144600 0 0 2.54861e-11 0 0 0.00235866 0 0 0 0 0 0 2.31715e+11 2.31715e+11 2.31715e+11 2.31715e+11 
0.000354988 -1.79487 -5.09487 -2.95157 -4.43741 -0.405133 4.0381e+06 2.93497e+14 9.649e-05 0.000346794 6.24267e-17 1.63074e-08 144602 0 0 2.54867e-11 0 0 0.00235866 0 0 0 0 0 0 2.71616e+11 2.71616e+11 2.71616e+11 2.71616e+11 
0.000522406 -1.79245 -5.09245 -2.94525 -4.43499 -0.407554 4.68782e+06 2.93492e+14 9.66017e-05 0.000346794 7.2555e-17 1.63071e-08 144605 0 0 2.54875e-11 0 0 0.00235866 0 0 0 0 0 0 3.15393e+11 3.15393e+11 3.15393e+11 3.15393e+11 
0.000722606 -1.78955 -5.08955 -2.93871 -4.4321 -0.410449 5.38874e+06 2.93485e+14 9.67093e-05 0.000346794 8.34961e-17 1.63068e-08 144608 0 0 2.54887e-11 0 0 0.00235866 0 0 0 0 0 0 3.6263e+11 3.6263e+11 3.6263e+11 3.6263e+11 
0.000962009 -1.78609 -5.08609 -2.93188 -4.42863 -0.413911 6.13003e+06 2.93478e+14 9.68117e-05 0.000346794 9.50826e-17 1.63064e-08 144612 0 0 2.54902e-11 0 0 0.00235866 0 0 0 0 0 0 4.12599e+11 4.12599e+11 4.12599e+11 4.12599e+11 
0.00124829 -1.78195 -5.08195 -2.92466 -4.42449 -0.418051 6.89567e+06 2.93469e+14 9.69077e-05 0.000346794 1.07064e-16 1.63059e-08 144616 0 0 2.54922e-11 0 0 0.00235866 0 0 0 0 0 0 4.6422e+11 4.6422e+11 4.6422e+11 4.6422e+11 
0.00159063 -1.777 -5.077 -2.91694 -4.41954 -0.423002 7.66439e+06 2.93458e+14 9.69962e-05 0.000346795 1.19108e-16 1.63053e-08 144621 0 0 2.54949e-11 0 0 0.00235866 0 0 0 0 0 0 5.16055e+11 5.16055e+11 5.16055e+11 5.16055e+11 
0.002 -1.77108 -5.07108 -2.90859 -4.41362 -0.428922 8.41053e+06 2.93445e+14 9.70751e-05 0.000346793 1.3081e-16 1.63045e-08 144624 0 0 2.54966e-11 0 0 0.00235866 0 0 0 0 0 0 5.66367e+11 5.66367e+11 5.66367e+11 5.66367e+11 
0.002 -1.77108 -5.07108 -2.90859 -4.41362 -0.428922 8.41053e+06 2.93445e+14 9.70764e-05 0.000346797 1.30812e-16 1.63047e-08 144631 0 0 2.55007e-11 0 0 0.00235866 0 0 0 0 0 0 5.66374e+11 5.66374e+11 5.66374e+11 5.66374e+11 
0.0025 -1.76385 -5.06385 -2.89924 -4.40638 -0.436154 9.11907e+06 2.9343e+14 9.71466e-05 0.000346795 1.41935e-16 1.63037e-08 144635 0 0 2.55031e-11 0 0 0.00235866 0 0 0 0 0 0 6.1415e+11 6.1415e+11 6.1415e+11 6.1415e+11 
0.003 -1.75661 -5.05661 -2.89051 -4.39915 -0.443386 9.65453e+06 2.93414e+14 9.71978e-05 0.000346795 1.50348e-16 1.63029e-08 144643 0 0 2.55082e-11 0 0 0.00235866 0 0 0 0 0 0 6.50253e+11 6.50253e+11 6.50253e+11 6.50253e+11 
0.0035 -1.74938 -5.04938 -2.8822 -4.39192 -0.450618 1.00593e+07 2.93398e+14 9.72354e-05 0.000346796 1.56712e-16 1.6302e-08 144650 0 0 2.55135e-11 0 0 0.00235866 0 0 0 0 0 0 6.77537e+11 6.77537e+11 6.77537e+11 6.77537e+11 
0.004 -1.74215 -5.04215 -2.87419 -4.38468 -0.457851 1.03654e+07 2.93383e+14 9.72634e-05 0.000346796 1.61528e-16 1.63012e-08 144658 0 0 2.5519e-11 0 0 0.00235866 0 0 0 0 0 0 6.98162e+11 6.98162e+11 6.98162e+11 6.98162e+11 
0.0045 -1.73492 -5.03492 -2.86637 -4.37745 -0.465084 1.0597e+07 2.93367e+14 9.72845e-05 0.000346796 1.65173e-16 1.63003e-08 144665 0 0 2.55246e-11 0 0 0.00235866 0 0 0 0 0 0 7.13758e+11 7.13758e+11 7.13758e+11 7.13758e+11 
0.005 -1.72768 -5.02768 -2.85871 -4.37021 -0.472317 1.07724e+07 2.93351e+14 9.73006e-05 0.000346797 1.67934e-16 1.62995e-08 144673 0 0 2.55304e-11 0 0 0.00235866 0 0 0 0 0 0 7.25559e+11 7.25559e+11 7.25559e+11 7.25559e+11 
0.0055 -1.72045 -5.02045 -2.85116 -4.36298 -0.479551 1.09053e+07 2.93336e+14 9.7313e-05 0.000346797 1.70028e-16 1.62986e-08 144680 0 0 2.55362e-11 0 0 0.00235866 0 0 0 0 0 0 7.34493e+11 7.34493e+11 7.34493e+11 7.34493e+11 
0.006 -1.71321 -5.01321 -2.84368 -4.35574 -0.486786 1.10062e+07 2.9332e+14 9.73227e-05 0.000346797 1.71617e-16 1.62978e-08 144688 0 0 2.55421e-11 0 0 0.00235866 0 0 0 0 0 0 7.41262e+11 7.41262e+11 7.41262e+11 7.41262e+11 
