# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 1.225 -2.075 -0.122438 -1.42487 -3.425 2648.03 3.66838e+14 8.1289e-05 0.000319077 3.45678e-20 1.87534e-08 -2675.72 0 0 4.36622e-15 0 0 1.09898e-05 0 0 0 0 0 0 2.0107e+08 2.0107e+08 2.0107e+08 2.0107e+08 
9.79066e-05 1.22497 -2.07503 -0.121231 -1.42487 -3.42497 2776.99 3.66483e+14 8.12961e-05 0.000318995 3.62507e-20 1.87304e-08 -2674.79 0 0 4.36642e-15 0 0 1.09898e-05 0 0 0 0 0 0 2.10619e+08 2.10619e+08 2.10619e+08 2.10619e+08 
0.000214985 1.22494 -2.07506 -0.119859 -1.42486 -3.42494 2931.39 3.66059e+14 8.13043e-05 0.000318896 3.82655e-20 1.8703e-08 -2672.58 0 0 4.36692e-15 0 0 1.09898e-05 0 0 0 0 0 0 2.22022e+08 2.22022e+08 2.22022e+08 2.22022e+08 
0.000354988 1.22491 -2.07509 -0.11831 -1.42485 -3.42491 3116.26 3.65554e+14 8.13136e-05 0.000318778 4.06784e-20 1.86703e-08 -2669.93 0 0 4.36754e-15 0 0 1.09898e-05 0 0 0 0 0 0 2.35634e+08 2.35634e+08 2.35634e+08 2.35634e+08 
0.000522406 1.22486 -2.07514 -0.116574 -1.42484 -3.42486 3337.69 3.6495e+14 8.13243e-05 0.000318637 4.35688e-20 1.86312e-08 -2666.77 0 0 4.36829e-15 0 0 1.09898e-05 0 0 0 0 0 0 2.51879e+08 2.51879e+08 2.51879e+08 2.51879e+08 
0.000722606 1.22481 -2.07519 -0.114643 -1.42483 -3.42481 3602.98 3.6423e+14 8.13363e-05 0.000318469 4.70323e-20 1.85846e-08 -2662.99 0 0 4.36924e-15 0 0 1.09898e-05 0 0 0 0 0 0 2.71257e+08 2.71257e+08 2.71257e+08 2.71257e+08 
0.000962009 1.22474 -2.07526 -0.112513 -1.42482 -3.42474 3920.94 3.63372e+14 8.13498e-05 0.000318269 5.11843e-20 1.85291e-08 -2658.49 0 0 4.37043e-15 0 0 1.09898e-05 0 0 0 0 0 0 2.94361e+08 2.94361e+08 2.94361e+08 2.94361e+08 
0.00124829 1.22467 -2.07533 -0.110181 -1.4248 -3.42467 4302.19 3.62348e+14 8.13648e-05 0.000318029 5.61638e-20 1.84631e-08 -2653.12 0 0 4.37194e-15 0 0 1.09898e-05 0 0 0 0 0 0 3.21893e+08 3.21893e+08 3.21893e+08 3.21893e+08 
0.00159063 1.22458 -2.07542 -0.107651 -1.42478 -3.42458 4759.59 3.6113e+14 8.13815e-05 0.000317744 6.21393e-20 1.83844e-08 -2646.72 0 0 4.37389e-15 0 0 1.09898e-05 0 0 0 0 0 0 3.54679e+08 3.54679e+08 3.54679e+08 3.54679e+08 
0.002 1.22447 -2.07553 -0.104926 -1.42475 -3.42447 5308.72 3.5968e+14 8.14e-05 0.000317403 6.93149e-20 1.8291e-08 -2642.9 0 0 4.3751e-15 0 0 1.09898e-05 0 0 0 0 0 0 3.93693e+08 3.93693e+08 3.93693e+08 3.93693e+08 
