# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
0 0 0.420506 0.377259 
0.001 0 0.432024 0.379758 
0.002 0 0.455351 0.384718 
0.003 0 0.479252 0.389599 
0.004 0 0.503712 0.394401 
0.005 0 0.516081 0.396781 
0.005 1.05617e+22 0.0865578 0.401462 
0.006 1.03032e+22 0.0846123 0.398132 
0.007 9.80673e+21 0.0808653 0.391715 
0.008 9.34999e+21 0.077397 0.385781 
0.009 8.93036e+21 0.07419 0.380322 
0.01 8.54544e+21 0.0712283 0.375331 
0.011 8.19306e+21 0.0684973 0.370801 
0.012 7.8712e+21 0.0659836 0.366727 
0.013 7.57805e+21 0.0636751 0.363103 
0.014 7.31198e+21 0.0615607 0.359926 
0.015 7.07149e+21 0.0596304 0.357192 
0.016 6.85524e+21 0.0578752 0.354896 
0.017 6.66206e+21 0.056287 0.353038 
0.018 6.49088e+21 0.0548588 0.351614 
0.019 6.34077e+21 0.0535842 0.350624 
0.02 6.21094e+21 0.0524578 0.350068 
0.021 6.10071e+21 0.0514749 0.349944 
0.022 6.00949e+21 0.0506316 0.350255 
0.023 5.93684e+21 0.0499248 0.351 
0.024 5.88241e+21 0.0493522 0.352182 
0.025 5.85971e+21 0.0490991 0.352883 
0.025 0 0.303404 0.354725 
0.026 0 0.303404 0.352756 
0.027 0 0.303404 0.348785 
0.028 0 0.303404 0.344746 
0.029 0 0.303404 0.34064 
0.03 0 0.303404 0.33857 
