# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
0 0 0.795986 0.833301 
1 0 0.794075 0.832776 
2 0 0.790344 0.831666 
3 0 0.786794 0.830439 
4 0 0.783428 0.829097 
5 0 0.780249 0.827638 
6 0 0.777259 0.826064 
7 0 0.774458 0.824374 
8 0 0.77185 0.82257 
9 0 0.769436 0.820651 
10 0 0.767218 0.818618 
11 0 0.765197 0.81647 
12 0 0.763373 0.81421 
13 0 0.76175 0.811837 
14 0 0.760327 0.809351 
15 0 0.759106 0.806754 
16 0 0.758087 0.804045 
17 0 0.757271 0.801225 
18 0 0.756658 0.798296 
19 0 0.756249 0.795257 
20 0 0.756096 0.79371 
20 0 1.10316 0.790507 
21.0041 0 1.10316 0.788822 
22.0182 0 1.10314 0.785302 
23.0425 0 1.10311 0.781508 
24.0771 0 1.10307 0.777436 
25.1221 0 1.103 0.773079 
26.1776 0 1.10292 0.768433 
27.2437 0 1.10283 0.763491 
28.3205 0 1.10271 0.758248 
29.4081 0 1.10258 0.752699 
30.5066 0 1.10243 0.746839 
31.6161 0 1.10226 0.740661 
32.7368 0 1.10207 0.734163 
33.8687 0 1.10187 0.727338 
35.012 0 1.10164 0.720182 
36.1668 0 1.1014 0.71269 
37.3332 0 1.10114 0.704859 
38.5112 0 1.10086 0.696684 
39.7011 0 1.10055 0.688162 
40.903 0 1.10023 0.679289 
42.1169 0 1.0999 0.670062 
43.343 0 1.09954 0.660478 
44.5814 0 1.09916 0.650534 
45.8323 0 1.09877 0.640228 
47.0957 0 1.09836 0.629559 
48.3718 0 1.09793 0.618524 
49.6607 0 1.09748 0.607124 
50.9625 0 1.09702 0.595357 
52.2774 0 1.09654 0.583223 
53.6055 0 1.09605 0.570722 
54.947 0 1.09555 0.557856 
56.3019 0 1.09503 0.544626 
57.6704 0 1.0945 0.531033 
59.0526 0 1.09396 0.517082 
60.4488 0 1.09341 0.502773 
61.8589 0 1.09285 0.488113 
63.2832 0 1.09228 0.473104 
64.7218 0 1.09171 0.457752 
66.1749 0 1.09113 0.442064 
67.6425 0 1.09055 0.426045 
69.1249 0 1.08997 0.409704 
70.6221 0 1.08939 0.393048 
72.1344 0 1.08881 0.376086 
73.6619 0 1.08823 0.358829 
75.2047 0 1.08766 0.341287 
76.763 0 1.08709 0.323471 
78.3369 0 1.08654 0.305394 
79.9266 0 1.08599 0.287069 
81.5323 0 1.08546 0.268511 
83.1542 0 1.08494 0.249734 
84.7923 0 1.08444 0.230755 
86.4468 0 1.08396 0.21159 
88.118 0 1.08349 0.192258 
89.8059 0 1.08305 0.172778 
91.5108 0 1.08263 0.153168 
93.2328 0 1.08224 0.13345 
94.9721 0 1.08187 0.113646 
96.7288 0 1.08153 0.0937773 
98.5032 0 1.08122 0.0738677 
100.295 0 1.08094 0.0539415 
102.106 0 1.0807 0.0340235 
103.934 0 1.08048 0.0141396 
105.781 0 1.0803 -0.0056838 
107.646 0 1.08016 -0.0254195 
109.53 0 1.08005 -0.0450397 
111.433 0 1.07997 -0.0645159 
113.355 0 1.07993 -0.0838192 
115.296 0 1.07993 -0.10292 
117.257 0 1.07996 -0.121789 
119.237 0 1.08002 -0.140396 
121.238 0 1.08012 -0.15871 
123.258 0 1.08026 -0.176702 
125.299 0 1.08042 -0.19434 
127.36 0 1.08062 -0.211594 
129.442 0 1.08085 -0.228435 
131.545 0 1.08111 -0.244831 
133.669 0 1.08139 -0.260755 
135.814 0 1.0817 -0.276176 
137.981 0 1.08203 -0.291068 
140.169 0 1.08238 -0.305401 
142.38 0 1.08274 -0.319151 
144.613 0 1.08313 -0.332291 
146.868 0 1.08353 -0.344797 
149.145 0 1.08394 -0.356647 
151.446 0 1.08435 -0.36782 
153.77 0 1.08477 -0.378296 
156.117 0 1.0852 -0.388058 
158.487 0 1.08563 -0.397089 
160.882 0 1.08605 -0.405377 
163.3 0 1.08647 -0.412909 
165.743 0 1.08689 -0.419677 
168.21 0 1.08729 -0.425675 
170.702 0 1.08769 -0.430899 
173.219 0 1.08808 -0.435346 
175.762 0 1.08845 -0.43902 
178.33 0 1.08881 -0.441923 
180.923 0 1.08915 -0.444064 
183.543 0 1.08947 -0.445453 
186.189 0 1.08978 -0.446103 
188.861 0 1.09007 -0.446029 
191.561 0 1.09034 -0.445251 
194.287 0 1.0906 -0.443791 
197.041 0 1.09083 -0.441674 
199.822 0 1.09105 -0.438926 
202.632 0 1.09125 -0.435577 
205.469 0 1.09143 -0.43166 
208.336 0 1.0916 -0.427209 
211.23 0 1.09175 -0.42226 
214.154 0 1.09188 -0.416852 
217.108 0 1.092 -0.411024 
220.091 0 1.09211 -0.404816 
223.103 0 1.0922 -0.39827 
226.147 0 1.09228 -0.391428 
229.22 0 1.09235 -0.384331 
232.325 0 1.0924 -0.377021 
235.461 0 1.09245 -0.369539 
238.628 0 1.09248 -0.361924 
241.827 0 1.0925 -0.354214 
245.058 0 1.09251 -0.346444 
248.321 0 1.0925 -0.338647 
251.618 0 1.09249 -0.330854 
254.947 0 1.09247 -0.323091 
258.31 0 1.09243 -0.315381 
261.707 0 1.09239 -0.307741 
265.137 0 1.09233 -0.300186 
268.602 0 1.09226 -0.292725 
272.102 0 1.09218 -0.285362 
275.637 0 1.0921 -0.278093 
279.208 0 1.092 -0.270914 
282.814 0 1.09189 -0.26381 
286.457 0 1.09178 -0.256764 
290.136 0 1.09166 -0.249752 
293.852 0 1.09153 -0.242746 
297.606 0 1.0914 -0.235712 
301.397 0 1.09126 -0.228613 
305.226 0 1.09112 -0.221406 
309.093 0 1.09098 -0.214047 
313 0 1.09083 -0.206488 
316.946 0 1.09068 -0.19868 
320.931 0 1.09053 -0.190574 
324.956 0 1.09037 -0.182119 
329.022 0 1.09021 -0.173269 
333.128 0 1.09005 -0.163978 
337.276 0 1.08989 -0.154203 
341.465 0 1.08973 -0.143909 
345.697 0 1.08956 -0.133064 
349.971 0 1.08939 -0.121645 
354.288 0 1.08922 -0.109638 
358.648 0 1.08904 -0.0970382 
363.052 0 1.08887 -0.08385 
367.5 0 1.08869 -0.0700906 
371.993 0 1.08851 -0.0557888 
376.531 0 1.08834 -0.0409858 
381.114 0 1.08817 -0.0257354 
385.744 0 1.08802 -0.0101039 
390.42 0 1.08787 0.00583 
395.143 0 1.08775 0.0219758 
399.913 0 1.08764 0.0382326 
404.731 0 1.08755 0.0544895 
409.598 0 1.08749 0.0706279 
414.513 0 1.08746 0.0865229 
419.478 0 1.08746 0.102045 
424.493 0 1.08748 0.117065 
429.558 0 1.08754 0.131451 
434.673 0 1.08763 0.145078 
439.841 0 1.08774 0.157824 
445.06 0 1.08788 0.169579 
450.331 0 1.08803 0.180243 
455.656 0 1.08819 0.189732 
461.033 0 1.08837 0.197976 
466.465 0 1.08855 0.204927 
471.952 0 1.08872 0.210556 
477.493 0 1.08889 0.214856 
483.09 0 1.08905 0.217841 
488.744 0 1.0892 0.21955 
494.454 0 1.08934 0.220042 
500.221 0 1.08947 0.219395 
506.046 0 1.08958 0.217706 
511.93 0 1.08969 0.215088 
517.873 0 1.08979 0.211664 
523.875 0 1.08989 0.207565 
529.938 0 1.08999 0.202925 
536.062 0 1.09008 0.197875 
542.247 0 1.09018 0.19254 
548.494 0 1.09027 0.187033 
554.804 0 1.09036 0.181447 
561.177 0 1.09045 0.175858 
567.614 0 1.09052 0.170313 
574.116 0 1.09058 0.164834 
580.684 0 1.09062 0.159411 
587.317 0 1.09064 0.154008 
594.016 0 1.09063 0.148558 
600.783 0 1.0906 0.142968 
607.618 0 1.09054 0.137124 
614.522 0 1.09045 0.130896 
621.494 0 1.09035 0.124146 
628.537 0 1.09023 0.116734 
635.651 0 1.09009 0.108526 
642.836 0 1.08995 0.099409 
650.093 0 1.08981 0.0892918 
657.423 0 1.08967 0.0781196 
664.826 0 1.08952 0.0658789 
672.304 0 1.08938 0.0526033 
679.857 0 1.08925 0.0383775 
687.486 0 1.08912 0.0233379 
695.191 0 1.08899 0.00767108 
702.974 0 1.08887 -0.00839104 
710.835 0 1.08876 -0.0245791 
718.774 0 1.08867 -0.0405968 
726.794 0 1.08859 -0.0561336 
734.894 0 1.08853 -0.07088 
743.075 0 1.08849 -0.0845425 
751.339 0 1.08848 -0.0968597 
759.685 0 1.0885 -0.107617 
768.115 0 1.08855 -0.116659 
776.63 0 1.08863 -0.123898 
785.23 0 1.08873 -0.129323 
793.917 0 1.08885 -0.132994 
802.691 0 1.08899 -0.135042 
811.553 0 1.08914 -0.135659 
820.504 0 1.08929 -0.135079 
829.544 0 1.08944 -0.133564 
838.676 0 1.0896 -0.131378 
847.899 0 1.08974 -0.128766 
857.215 0 1.08988 -0.125929 
866.624 0 1.09 -0.123008 
876.128 0 1.0901 -0.120067 
885.727 0 1.09017 -0.117083 
895.423 0 1.09022 -0.113948 
905.216 0 1.09023 -0.110475 
915.107 0 1.09021 -0.106419 
925.098 0 1.09017 -0.101498 
935.189 0 1.0901 -0.095425 
945.381 0 1.09002 -0.0879443 
955.675 0 1.08992 -0.0788653 
966.073 0 1.08982 -0.068094 
976.575 0 1.0897 -0.055657 
987.183 0 1.08957 -0.0417155 
997.897 0 1.08942 -0.0265657 
1008.72 0 1.08926 -0.0106247 
1019.65 0 1.08909 0.00559755 
1030.69 0 1.08893 0.0215389 
1041.84 0 1.08878 0.036634 
1053.1 0 1.08867 0.0503671 
1064.48 0 1.08862 0.0623222 
1075.97 0 1.08864 0.0722246 
1087.58 0 1.08873 0.0799665 
1099.3 0 1.08888 0.0856146 
1111.14 0 1.08907 0.0893942 
1123.1 0 1.08927 0.0916524 
1135.17 0 1.08945 0.0928035 
1147.37 0 1.0896 0.093262 
1159.7 0 1.08969 0.0933739 
1172.14 0 1.08975 0.0933546 
1184.71 0 1.08978 0.0932458 
1197.41 0 1.08981 0.0928982 
1210.24 0 1.08984 0.091986 
1223.19 0 1.08989 0.0900547 
1236.27 0 1.08994 0.0865948 
1249.49 0 1.08996 0.0811354 
1262.84 0 1.08995 0.0733389 
1276.32 0 1.08987 0.0630852 
1289.93 0 1.08973 0.0505246 
1303.69 0 1.08954 0.0360909 
1317.58 0 1.08933 0.0204659 
1331.61 0 1.08915 0.00449779 
1345.78 0 1.08902 -0.0109149 
1360.1 0 1.08895 -0.0249556 
1374.56 0 1.08896 -0.037013 
1389.16 0 1.08902 -0.0467724 
1403.91 0 1.0891 -0.0542509 
1418.81 0 1.08918 -0.0597685 
1433.85 0 1.08925 -0.0638538 
1449.05 0 1.08931 -0.0671017 
1464.4 0 1.08938 -0.0700111 
1479.91 0 1.08946 -0.0728389 
1495.57 0 1.08956 -0.0755064 
1511.39 0 1.08968 -0.0775864 
1527.36 0 1.08979 -0.0783812 
1543.5 0 1.08986 -0.0770812 
1559.8 0 1.08987 -0.0729719 
1576.26 0 1.08981 -0.0656413 
1592.89 0 1.0897 -0.0551324 
1609.69 0 1.08957 -0.0419959 
1626.65 0 1.08945 -0.0272197 
1643.79 0 1.08936 -0.0120415 
1661.09 0 1.0893 0.0023119 
1678.57 0 1.08925 0.0148944 
1696.23 0 1.0892 0.0252411 
1714.06 0 1.08914 0.0334372 
1732.07 0 1.08911 0.0400245 
1750.26 0 1.08913 0.0457634 
1768.64 0 1.08922 0.0513167 
1787.2 0 1.08936 0.0569522 
1805.95 0 1.08951 0.0623685 
1824.88 0 1.08964 0.066714 
1844 0 1.08973 0.068814 
1863.32 0 1.08976 0.0675465 
1882.83 0 1.08976 0.0622473 
1902.54 0 1.08973 0.0530026 
1922.44 0 1.08965 0.0407096 
1942.54 0 1.08954 0.0268627 
1962.85 0 1.08941 0.0131203 
1983.36 0 1.08928 0.000799088 
2004.08 0 1.0892 -0.00951196 
2025 0 1.08916 -0.0180574 
2046.13 0 1.08918 -0.025678 
2067.48 0 1.08923 -0.0333071 
2089.04 0 1.08931 -0.0414022 
2110.81 0 1.08942 -0.0495614 
2132.81 0 1.08954 -0.0565204 
2155.02 0 1.08964 -0.0605721 
2177.46 0 1.08969 -0.0602573 
2200.13 0 1.0897 -0.0550304 
2223.02 0 1.08966 -0.0455815 
2246.14 0 1.08957 -0.0336305 
2269.49 0 1.08947 -0.0212498 
2293.08 0 1.08937 -0.0100163 
2316.91 0 1.08929 -0.000409886 
2340.97 0 1.08924 0.00821398 
2365.28 0 1.08923 0.017028 
2389.83 0 1.08927 0.0268047 
2414.62 0 1.08935 0.0371631 
2439.67 0 1.08947 0.046451 
2464.96 0 1.08958 0.0523999 
2490.51 0 1.08966 0.0532442 
2516.32 0 1.08965 0.0486824 
2542.39 0 1.08959 0.0400886 
2568.72 0 1.08951 0.0297914 
2595.31 0 1.08943 0.0198058 
2622.17 0 1.08936 0.0107953 
2649.3 0 1.0893 0.00195512 
2676.7 0 1.08926 -0.00805277 
2704.37 0 1.08929 -0.0197032 
2732.33 0 1.0894 -0.0317274 
2760.56 0 1.08954 -0.041455 
2789.08 0 1.08961 -0.0462641 
2817.88 0 1.08958 -0.0451842 
2846.98 0 1.08951 -0.0394831 
2876.36 0 1.08947 -0.0317281 
2906.04 0 1.08943 -0.0239494 
2936.02 0 1.08938 -0.0163048 
2966.3 0 1.08936 -0.00735477 
2996.89 0 1.0894 0.00418476 
3027.78 0 1.08946 0.0176244 
3058.98 0 1.08947 0.0300358 
3090.49 0 1.08945 0.0379614 
3122.32 0 1.08946 0.0397965 
3154.47 0 1.08946 0.0367996 
3186.95 0 1.08945 0.0317461 
3219.74 0 1.08944 0.0263499 
3252.87 0 1.08947 0.0198503 
3286.33 0 1.0895 0.0102196 
3320.13 0 1.08949 -0.00304859 
3354.27 0 1.08944 -0.0173447 
3388.74 0 1.08936 -0.0283756 
3423.57 0 1.08934 -0.0334687 
3458.74 0 1.08941 -0.0334867 
3494.27 0 1.08948 -0.0312904 
3530.16 0 1.08951 -0.0282905 
3566.4 0 1.08955 -0.0228917 
3603.01 0 1.08957 -0.0127669 
3639.98 0 1.08945 0.00145143 
3677.33 0 1.08929 0.0154435 
3715.05 0 1.08929 0.0246932 
3753.16 0 1.08939 0.0284207 
3791.64 0 1.08948 0.0292945 
3830.51 0 1.08957 0.0291868 
3869.77 0 1.08961 0.0263218 
3909.42 0 1.08951 0.0177281 
3949.47 0 1.08936 0.00406698 
3989.93 0 1.08931 -0.0096584 
4030.79 0 1.08934 -0.0189331 
4072.06 0 1.08942 -0.0239193 
4113.75 0 1.08955 -0.0272946 
4155.85 0 1.08961 -0.0288366 
4198.38 0 1.0895 -0.0248727 
4241.33 0 1.08939 -0.0139095 
4284.71 0 1.08933 -0.000207356 
4328.53 0 1.08934 0.0105769 
4372.79 0 1.08951 0.0176107 
4417.5 0 1.0896 0.0235239 
4462.65 0 1.08946 0.027729 
4508.26 0 1.08936 0.0256564 
4554.32 0 1.08939 0.0158668 
4600.85 0 1.08947 0.0034388 
4647.84 0 1.08956 -0.00654279 
4695.31 0 1.08947 -0.0147352 
4743.25 0 1.08933 -0.0227495 
4791.67 0 1.08938 -0.0268247 
4840.58 0 1.08949 -0.0223961 
4889.98 0 1.08956 -0.0120117 
4939.88 0 1.08954 -0.00179194 
4990.28 0 1.08934 0.00738858 
5041.18 0 1.08928 0.0173937 
5092.6 0 1.08947 0.0244803 
5144.53 0 1.08958 0.0229932 
5196.98 0 1.08953 0.0149238 
5249.96 0 1.08939 0.00605366 
5303.47 0 1.08934 -0.00357471 
5357.52 0 1.08943 -0.0149983 
5412.11 0 1.08953 -0.0223695 
5467.25 0 1.0895 -0.0208745 
5522.94 0 1.0894 -0.0145589 
5579.19 0 1.08941 -0.00689696 
5636 0 1.08946 0.00434177 
5693.39 0 1.08946 0.0162013 
5751.35 0 1.08943 0.0206557 
5809.9 0 1.08944 0.0179346 
5869.03 0 1.08947 0.0126512 
5928.76 0 1.08948 0.00298555 
5989.08 0 1.08942 -0.0100398 
6050.01 0 1.08938 -0.0177133 
6111.56 0 1.08948 -0.018139 
6173.72 0 1.08953 -0.0151408 
6236.5 0 1.08945 -0.00644006 
6299.92 0 1.08936 0.00653606 
6363.97 0 1.08941 0.0148327 
6428.66 0 1.08954 0.0173239 
6494.01 0 1.0895 0.0158036 
6560.01 0 1.08937 0.00657346 
6626.67 0 1.08939 -0.00589864 
6694 0 1.08952 -0.0135185 
6762.01 0 1.0895 -0.0171198 
6830.7 0 1.08941 -0.0143908 
6900.08 0 1.08939 -0.00350517 
6970.16 0 1.08948 0.00702996 
7040.94 0 1.08951 0.0140972 
7112.43 0 1.0894 0.0167361 
7184.64 0 1.0894 0.00988881 
7257.58 0 1.08951 -0.000827885 
7331.24 0 1.08947 -0.00982737 
7405.65 0 1.08939 -0.0159845 
7480.8 0 1.08945 -0.0129407 
7556.71 0 1.0895 -0.00364597 
7633.38 0 1.08941 0.00629691 
7710.82 0 1.08943 0.0145627 
7789.03 0 1.0895 0.0135689 
7868.04 0 1.08943 0.00580613 
7947.83 0 1.08942 -0.00419036 
8028.43 0 1.08948 -0.0131562 
8109.83 0 1.08946 -0.0131326 
8192.05 0 1.0894 -0.00654925 
8275.1 0 1.08947 0.00399174 
8358.98 0 1.08948 0.0125093 
