# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
124.83 0 833.993 -2953.59 0 0 0 
126.139 0 832.914 -3184.87 0 0 0 
127.473 0 831.844 -3417.48 0 0 0 
128.835 0 830.786 -3651.2 0 0 0 
130.224 0 829.742 -3885.8 0 0 0 
131.642 0 828.713 -4121.05 0 0 0 
133.087 0 827.704 -4356.67 0 0 0 
134.562 0 826.715 -4592.38 0 0 0 
136.067 0 825.751 -4827.89 0 0 0 
137.602 0 824.813 -5062.88 0 0 0 
139.168 0 823.905 -5297 0 0 0 
140.766 0 823.03 -5529.9 0 0 0 
142.396 0 822.192 -5761.19 0 0 0 
144.059 0 821.394 -5990.48 0 0 0 
145.755 0 820.639 -6217.34 0 0 0 
147.486 0 819.932 -6441.33 0 0 0 
149.252 0 819.276 -6661.98 0 0 0 
151.053 0 818.677 -6878.82 0 0 0 
152.89 0 818.138 -7091.32 0 0 0 
154.765 0 817.664 -7298.97 0 0 0 
156.677 0 817.259 -7501.22 0 0 0 
158.628 0 816.929 -7697.51 0 0 0 
160.619 0 816.68 -7887.26 0 0 0 
162.649 0 816.515 -8069.87 0 0 0 
164.721 0 816.442 -8244.73 0 0 0 
166.834 0 816.464 -8411.22 0 0 0 
168.99 0 816.589 -8568.7 0 0 0 
171.19 0 816.823 -8716.53 0 0 0 
173.434 0 817.17 -8854.07 0 0 0 
175.723 0 817.638 -8980.67 0 0 0 
178.058 0 818.231 -9095.67 0 0 0 
180.441 0 818.958 -9198.45 0 0 0 
182.872 0 819.822 -9288.37 0 0 0 
185.351 0 820.83 -9364.81 0 0 0 
187.881 0 821.988 -9427.18 0 0 0 
190.462 0 823.301 -9474.9 0 0 0 
193.094 0 824.774 -9507.42 0 0 0 
195.78 0 826.411 -9524.25 0 0 0 
198.52 0 828.216 -9524.91 0 0 0 
201.316 0 830.191 -9508.98 0 0 0 
204.168 0 832.339 -9476.11 0 0 0 
207.077 0 834.661 -9425.98 0 0 0 
210.045 0 837.156 -9358.37 0 0 0 
213.073 0 839.822 -9273.11 0 0 0 
216.162 0 842.657 -9170.11 0 0 0 
219.314 0 845.654 -9049.39 0 0 0 
222.529 0 848.807 -8911.04 0 0 0 
225.809 0 852.107 -8755.24 0 0 0 
229.155 0 855.541 -8582.3 0 0 0 
232.569 0 859.094 -8392.6 0 0 0 
236.051 0 862.751 -8186.65 0 0 0 
239.604 0 866.491 -7965.04 0 0 0 
243.228 0 870.291 -7728.5 0 0 0 
246.926 0 874.126 -7477.83 0 0 0 
250.698 0 877.966 -7213.95 0 0 0 
254.547 0 881.782 -6937.86 0 0 0 
258.473 0 885.538 -6650.64 0 0 0 
262.478 0 889.199 -6353.46 0 0 0 
266.564 0 892.725 -6047.55 0 0 0 
270.733 0 896.077 -5734.16 0 0 0 
274.985 0 899.214 -5414.61 0 0 0 
279.324 0 902.092 -5090.19 0 0 0 
283.75 0 904.671 -4762.22 0 0 0 
288.265 0 906.909 -4431.97 0 0 0 
292.872 0 908.765 -4100.65 0 0 0 
297.571 0 910.203 -3769.41 0 0 0 
302.366 0 911.189 -3439.3 0 0 0 
307.257 0 911.692 -3111.25 0 0 0 
312.246 0 911.687 -2786.07 0 0 0 
317.337 0 911.154 -2464.4 0 0 0 
322.53 0 910.081 -2146.73 0 0 0 
327.828 0 908.462 -1833.4 0 0 0 
333.233 0 906.3 -1524.56 0 0 0 
338.747 0 903.605 -1220.22 0 0 0 
344.372 0 900.398 -920.271 0 0 0 
350.11 0 896.709 -624.461 0 0 0 
355.965 0 892.576 -332.481 0 0 0 
361.938 0 888.048 -43.9859 0 0 0 
368.031 0 883.183 241.348 0 0 0 
374.247 0 878.048 523.769 0 0 0 
380.589 0 872.72 803.379 0 0 0 
387.058 0 867.283 1080.08 0 0 0 
393.658 0 861.827 1353.48 0 0 0 
400.392 0 856.45 1622.88 0 0 0 
407.261 0 851.256 1887.18 0 0 0 
414.269 0 846.35 2144.85 0 0 0 
421.418 0 841.842 2393.93 0 0 0 
428.711 0 837.841 2632.02 0 0 0 
436.152 0 834.457 2856.32 0 0 0 
