# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
0 0 682.683 15101.5 0 0 0 
1 0 681.438 15092.7 0 0 0 
2 0 679.008 15074 0 0 0 
3 0 676.696 15053.4 0 0 0 
4 0 674.505 15030.9 0 0 0 
5 0 672.434 15006.4 0 0 0 
6 0 670.487 14980.1 0 0 0 
7 0 668.663 14951.7 0 0 0 
8 0 666.965 14921.5 0 0 0 
9 0 665.393 14889.3 0 0 0 
10 0 663.948 14855.3 0 0 0 
11 0 662.632 14819.3 0 0 0 
12 0 661.444 14781.4 0 0 0 
13 0 660.387 14741.7 0 0 0 
14 0 659.46 14700 0 0 0 
15 0 658.665 14656.5 0 0 0 
16 0 658.001 14611.1 0 0 0 
17 0 657.47 14563.9 0 0 0 
18 0 657.071 14514.8 0 0 0 
19 0 656.805 14463.8 0 0 0 
20 0 656.705 14437.9 0 0 0 
20 0 957.303 14384.2 0 0 0 
21.0091 0 957.291 14355.9 0 0 0 
22.0386 0 957.243 14296.3 0 0 0 
23.0888 0 957.145 14231.2 0 0 0 
24.1602 0 956.993 14160.6 0 0 0 
25.2533 0 956.785 14084.2 0 0 0 
26.3684 0 956.517 14001.6 0 0 0 
27.506 0 956.187 13912.6 0 0 0 
28.6666 0 955.791 13817 0 0 0 
29.8506 0 955.326 13714.4 0 0 0 
31.0584 0 954.789 13604.6 0 0 0 
32.2907 0 954.176 13487.3 0 0 0 
33.5478 0 953.484 13362.1 0 0 0 
34.8303 0 952.71 13228.8 0 0 0 
36.1387 0 951.85 13087.1 0 0 0 
37.4735 0 950.903 12936.6 0 0 0 
38.8352 0 949.863 12777.1 0 0 0 
40.2244 0 948.729 12608.1 0 0 0 
41.6416 0 947.497 12429.5 0 0 0 
43.0874 0 946.164 12240.8 0 0 0 
44.5624 0 944.729 12041.8 0 0 0 
46.0672 0 943.189 11832.2 0 0 0 
47.6023 0 941.541 11611.6 0 0 0 
49.1685 0 939.784 11379.7 0 0 0 
50.7662 0 937.917 11136.4 0 0 0 
52.3961 0 935.938 10881.2 0 0 0 
54.059 0 933.846 10613.9 0 0 0 
55.7554 0 931.642 10334.2 0 0 0 
57.486 0 929.326 10042 0 0 0 
59.2516 0 926.898 9737.03 0 0 0 
61.0528 0 924.36 9419.06 0 0 0 
62.8903 0 921.714 9087.95 0 0 0 
64.765 0 918.962 8743.57 0 0 0 
66.6774 0 916.108 8385.81 0 0 0 
68.6285 0 913.157 8014.63 0 0 0 
70.6189 0 910.113 7630.01 0 0 0 
72.6495 0 906.982 7231.97 0 0 0 
74.721 0 903.77 6820.59 0 0 0 
76.8344 0 900.485 6396.02 0 0 0 
