# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -3.1 -6.4 -5.04602 -5.79072 0.9 3.32278e-08 1.70819e+14 0.000249182 0.00141785 8.01088e-23 3.88039e-08 201358 0 0 8.86697e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
9.79066e-05 -3.09803 -6.39803 -5.04602 -5.78874 0.898029 3.07883e-08 1.70817e+14 0.000249183 0.00141785 8.01088e-23 3.88036e-08 201359 0 0 8.86697e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.000214985 -3.09567 -6.39567 -5.04602 -5.78639 0.895671 2.8105e-08 1.70815e+14 0.000249184 0.00141786 8.01088e-23 3.88034e-08 201360 0 0 8.86695e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.000354988 -3.09285 -6.39285 -5.04602 -5.78357 0.892852 2.52016e-08 1.70813e+14 0.000249186 0.00141787 8.01088e-23 3.88032e-08 201361 0 0 8.86691e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.000522406 -3.08948 -6.38948 -5.04602 -5.7802 0.889481 2.21207e-08 1.70811e+14 0.000249189 0.00141788 8.01088e-23 3.88029e-08 201363 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.000722606 -3.08545 -6.38545 -5.04602 -5.77616 0.88545 1.89269e-08 1.70808e+14 0.000249192 0.00141789 8.01088e-23 3.88026e-08 201364 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.000962009 -3.08063 -6.38063 -5.04602 -5.77134 0.880629 1.57072e-08 1.70804e+14 0.000249196 0.00141791 8.01088e-23 3.88021e-08 201366 0 0 8.86691e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.00124829 -3.07486 -6.37486 -5.04602 -5.76558 0.874864 1.25678e-08 1.708e+14 0.0002492 0.00141792 8.01088e-23 3.88017e-08 201369 0 0 8.8669e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.00159063 -3.06797 -6.36797 -5.04602 -5.75868 0.86797 9.62626e-09 1.70795e+14 0.000249206 0.00141795 8.01088e-23 3.88011e-08 201372 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.002 -3.05973 -6.35973 -5.04602 -5.75044 0.859727 6.99804e-09 1.70788e+14 0.000249208 0.00141795 8.01088e-23 3.87998e-08 201374 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.002 -3.05973 -6.35973 -5.04602 -5.75044 0.859727 6.99804e-09 1.70788e+14 0.000249216 0.001418 8.01088e-23 3.88011e-08 201378 0 0 8.86691e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.0025 -3.04966 -6.34966 -5.04602 -5.74037 0.849658 4.74061e-09 1.70781e+14 0.00024922 0.001418 8.01088e-23 3.87995e-08 201380 0 0 8.8669e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.003 -3.03959 -6.33959 -5.04602 -5.7303 0.839589 3.21135e-09 1.70773e+14 0.000249228 0.00141803 8.01088e-23 3.87986e-08 201384 0 0 8.8669e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.0035 -3.02952 -6.32952 -5.04602 -5.72023 0.829519 2.17539e-09 1.70765e+14 0.000249236 0.00141807 8.01088e-23 3.87978e-08 201389 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.004 -3.01945 -6.31945 -5.04602 -5.71015 0.81945 1.47361e-09 1.70758e+14 0.000249244 0.0014181 8.01088e-23 3.87969e-08 201393 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.0045 -3.00938 -6.30938 -5.04602 -5.70008 0.80938 9.98216e-10 1.7075e+14 0.000249252 0.00141813 8.01088e-23 3.87961e-08 201398 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.005 -2.99931 -6.29931 -5.04602 -5.69001 0.79931 6.76179e-10 1.70743e+14 0.000249261 0.00141816 8.01088e-23 3.87953e-08 201402 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.0055 -2.98924 -6.28924 -5.04602 -5.67994 0.78924 4.58031e-10 1.70735e+14 0.000249269 0.0014182 8.01088e-23 3.87944e-08 201407 0 0 8.8669e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.006 -2.97917 -6.27917 -5.04602 -5.66987 0.779169 3.10259e-10 1.70727e+14 0.000249278 0.00141823 8.01088e-23 3.87936e-08 201411 0 0 8.8669e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.0065 -2.9691 -6.2691 -5.04602 -5.6598 0.769099 2.1016e-10 1.7072e+14 0.000249287 0.00141826 8.01088e-23 3.87927e-08 201415 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
0.007 -2.95903 -6.25903 -5.04602 -5.64972 0.759028 1.42354e-10 1.70712e+14 0.000249295 0.00141829 8.01088e-23 3.87919e-08 201420 0 0 8.86689e-25 0 0 0.00781466 0 0 0 0 0 0 0 0 0 0 
