# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
485 0.383882 0.590746 0.025371
486 0.38231 0.592451 0.025237
487 0.380776 0.594118 0.025105
488 0.379215 0.595809 0.024975
489 0.377691 0.597463 0.024844
490 0.376142 0.599142 0.024714
491 0.374532 0.600873 0.024593
492 0.372929 0.602598 0.024472
493 0.3713 0.604346 0.024352
494 0.369709 0.606056 0.024233
495 0.368125 0.607759 0.024115
496 0.366516 0.609485 0.023997
497 0.364944 0.611172 0.023882
498 0.363379 0.612853 0.023767
499 0.361789 0.614558 0.023651
500 0.360237 0.616225 0.023537
501 0.358536 0.618032 0.023431
502 0.356843 0.619832 0.023324
503 0.355157 0.621622 0.023219
504 0.353449 0.623435 0.023115
505 0.351779 0.625209 0.023011
506 0.350116 0.626974 0.022909
507 0.348461 0.628731 0.022807
508 0.346813 0.630479 0.022706
509 0.345174 0.632219 0.022605
510 0.343542 0.633952 0.022504
511 0.342063 0.635529 0.022406
512 0.34059 0.637099 0.022309
513 0.339096 0.638692 0.02221
514 0.337636 0.640248 0.022114
515 0.336183 0.641797 0.022019
516 0.334736 0.643339 0.021924
517 0.333295 0.644874 0.021829
518 0.331861 0.646402 0.021735
519 0.330405 0.647952 0.021642
520 0.328984 0.649467 0.021548
521 0.327765 0.650778 0.021455
522 0.326524 0.652114 0.021361
523 0.325315 0.653416 0.021268
524 0.324083 0.65474 0.021175
525 0.322883 0.656031 0.021085
526 0.321661 0.657345 0.020993
527 0.320444 0.658653 0.020902
528 0.319258 0.659927 0.020813
529 0.318051 0.661225 0.020723
530 0.316875 0.66249 0.020634
531 0.315732 0.663724 0.020543
532 0.314567 0.664981 0.020451
533 0.313432 0.666205 0.020361
534 0.312303 0.667424 0.020272
535 0.311177 0.668639 0.020183
536 0.310056 0.669848 0.020094
537 0.30894 0.671053 0.020006
538 0.307827 0.672252 0.019919
539 0.306719 0.673447 0.019832
540 0.30559 0.674663 0.019745
541 0.304405 0.675983 0.019611
542 0.303251 0.677272 0.019476
543 0.302075 0.67858 0.019343
544 0.300904 0.679883 0.019211
545 0.299739 0.681181 0.019079
546 0.298578 0.682472 0.018948
547 0.297422 0.683757 0.018819
548 0.296271 0.685038 0.018689
549 0.295125 0.686312 0.018561
550 0.294008 0.687555 0.018435
551 0.29292 0.688766 0.018313
552 0.291836 0.689972 0.018191
553 0.290756 0.691172 0.018071
554 0.28968 0.692366 0.017952
555 0.288609 0.693556 0.017833
556 0.287543 0.694741 0.017715
557 0.28648 0.695921 0.017597
558 0.285422 0.697095 0.017482
559 0.284369 0.698264 0.017365
560 0.283343 0.699405 0.01725
561 0.28231 0.700516 0.017172
562 0.281281 0.701622 0.017095
563 0.280257 0.702725 0.017017
564 0.279237 0.703821 0.01694
565 0.278221 0.704914 0.016864
566 0.277209 0.706001 0.016788
567 0.276202 0.707084 0.016713
568 0.275199 0.708163 0.016637
569 0.2742 0.709237 0.016562
570 0.273205 0.710305 0.016488
571 0.272231 0.711334 0.016434
572 0.271284 0.712335 0.016379
573 0.270318 0.713355 0.016325
574 0.269356 0.71437 0.016272
575 0.268421 0.71536 0.016218
576 0.267467 0.716366 0.016165
577 0.266517 0.717369 0.016112
578 0.265593 0.718346 0.016059
579 0.264651 0.71934 0.016007
580 0.263713 0.72033 0.015955
581 0.262823 0.721271 0.015905
582 0.261936 0.722209 0.015854
583 0.261052 0.723142 0.015804
584 0.260173 0.724072 0.015754
585 0.259296 0.724998 0.015704
586 0.258424 0.72592 0.015655
587 0.257554 0.726839 0.015605
588 0.256689 0.727753 0.015556
589 0.255827 0.728664 0.015508
590 0.254968 0.729572 0.015459
591 0.254122 0.730427 0.015449
592 0.253281 0.73128 0.015437
593 0.252442 0.732129 0.015427
594 0.251608 0.732975 0.015416
595 0.250776 0.733817 0.015405
596 0.249948 0.734657 0.015394
597 0.249123 0.735492 0.015383
598 0.248301 0.736324 0.015373
599 0.247483 0.737154 0.015362
600 0.246668 0.737979 0.015351
601 0.245877 0.73878 0.015341
602 0.245109 0.739559 0.01533
603 0.244324 0.740354 0.01532
604 0.243562 0.741126 0.01531
605 0.242783 0.741915 0.0153
606 0.242007 0.742701 0.01529
607 0.241254 0.743464 0.01528
608 0.240484 0.744244 0.01527
609 0.239737 0.745001 0.01526
610 0.238973 0.745775 0.01525
611 0.238251 0.746508 0.015239
612 0.237533 0.747237 0.015229
613 0.236797 0.747983 0.015218
614 0.236084 0.748707 0.015207
615 0.235374 0.749429 0.015196
616 0.234666 0.750147 0.015185
617 0.233941 0.750883 0.015174
618 0.233239 0.751596 0.015164
619 0.232539 0.752306 0.015153
620 0.231823 0.753034 0.015142
621 0.230924 0.753953 0.015121
622 0.23001 0.754888 0.015101
623 0.22912 0.755799 0.01508
624 0.228215 0.756724 0.01506
