
# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
524 0 0.117433 0.882566
525 0 0.11718 0.882819
526 0 0.116915 0.883084
527 0 0.116613 0.883386
528 0 0.116346 0.883653
529 0 0.116052 0.883947
530 0 0.115795 0.884204
531 0 0.115468 0.884531
532 0 0.115126 0.884872
533 0 0.114836 0.885163
534 0 0.114507 0.885492
535 0 0.114225 0.885774
536 0 0.113845 0.886154
537 0 0.113514 0.886485
538 0 0.113176 0.886823
539 0 0.112853 0.887146
540 0 0.112452 0.887546
541 0 0.112084 0.887915
542 0 0.111666 0.888333
543 0 0.111288 0.888711
544 0 0.110878 0.889121
545 0 0.110496 0.889502
546 0 0.110092 0.889907
547 0 0.10966 0.890339
548 0 0.10928 0.890719
549 0 0.108877 0.891122
550 0 0.108463 0.891536
551 0 0.108035 0.891964
552 0 0.10761 0.892388
553 0 0.107167 0.892831
554 0 0.106753 0.893245
555 0 0.10638 0.893619
556 0 0.105962 0.894036
557 0 0.105583 0.894415
558 0 0.105176 0.894822
559 0 0.104809 0.895189
560 0 0.104445 0.895554
561 0 0.104083 0.895915
562 0 0.103765 0.896233
563 0 0.103445 0.896553
564 0 0.103139 0.896859
565 0 0.102847 0.897151
566 0 0.102546 0.897452
567 0 0.102295 0.897703
568 0 0.102011 0.897987
569 0 0.101744 0.898254
570 0 0.101519 0.898479
571 0 0.101289 0.898709
572 1e-06 0.101036 0.898962
573 1e-06 0.100839 0.899159
574 1e-06 0.100637 0.899361
575 1e-06 0.100462 0.899536
576 1e-06 0.100256 0.899742
577 1e-06 0.100045 0.899953
578 1e-06 0.099868 0.90013
579 1e-06 0.099661 0.900337
580 1e-06 0.099484 0.900514
581 1e-06 0.099287 0.900711
582 1e-06 0.099105 0.900892
583 1e-06 0.098942 0.901056
584 1e-06 0.09873 0.901268
585 1e-06 0.098571 0.901426
586 1e-06 0.098426 0.901572
587 1e-06 0.09827 0.901728
588 1e-06 0.098099 0.901899
589 1e-06 0.097949 0.902049
590 1e-06 0.097784 0.902214
591 1e-06 0.097634 0.902363
592 1e-06 0.097506 0.902491
593 1e-06 0.097329 0.902668
594 1e-06 0.097131 0.902866
595 2e-06 0.096959 0.903038
596 2e-06 0.096781 0.903216
597 2e-06 0.096601 0.903396
598 2e-06 0.096427 0.90357
599 2e-06 0.096212 0.903785
600 2e-06 0.09598 0.904016
601 2e-06 0.095807 0.904189
602 2e-06 0.095587 0.904409
603 2e-06 0.095364 0.904632
604 2e-06 0.095105 0.904891
605 3e-06 0.09484 0.905156
606 3e-06 0.094573 0.905422
607 3e-06 0.094282 0.905713
608 3e-06 0.09401 0.905986
609 3e-06 0.093666 0.90633
610 3e-06 0.093304 0.906691
611 4e-06 0.092903 0.907092
612 4e-06 0.092485 0.90751
613 4e-06 0.092042 0.907952
614 4e-06 0.091601 0.908393
615 4e-06 0.091115 0.908879
616 4e-06 0.090609 0.909385
617 5e-06 0.090089 0.909905
618 5e-06 0.089568 0.910426
619 5e-06 0.089012 0.910981
620 5e-06 0.08841 0.911583
621 5e-06 0.087793 0.912201
622 6e-06 0.087124 0.912869
623 6e-06 0.086403 0.91359
624 6e-06 0.085696 0.914296
625 6e-06 0.08496 0.915033
626 7e-06 0.084173 0.915819
627 7e-06 0.083405 0.916587
628 7e-06 0.082649 0.917343
629 7e-06 0.081849 0.918143
630 7e-06 0.081044 0.918947
631 8e-06 0.080281 0.91971
632 8e-06 0.079443 0.920547
633 8e-06 0.078726 0.921265
634 8e-06 0.078007 0.921983
635 9e-06 0.077247 0.922743
636 9e-06 0.076536 0.923454
637 9e-06 0.075888 0.924101
638 9e-06 0.075211 0.924778
639 9e-06 0.074649 0.92534
640 1e-05 0.074112 0.925877
641 1e-05 0.073649 0.92634
642 1e-05 0.073122 0.926866
643 1e-05 0.072729 0.92726
