# Parameter sweep (sweep_back)
# Simulation    : driftdiffusion
# Sweep variable: $Vb
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vb anode.current cathode.current 
1.8 1126.55 -1126.55
1.775 1043.98 -1043.98
1.75 963.02 -963.02
1.725 883.973 -883.973
1.7 807.251 -807.251
1.675 733.42 -733.42
1.65 663.274 -663.274
1.625 597.904 -597.904
1.6 538.599 -538.599
1.575 486.109 -486.109
1.55 439.563 -439.563
1.525 397.035 -397.035
1.5 357.063 -357.063
1.475 319.001 -319.001
1.45 282.729 -282.729
1.425 248.4 -248.4
1.4 216.295 -216.295
1.375 186.73 -186.73
1.35 159.976 -159.976
1.325 136.162 -136.162
1.3 115.075 -115.075
1.275 95.4134 -95.4134
1.25 72.3938 -72.3938
1.225 45.6334 -45.6334
1.2 21.9676 -21.9676
1.175 4.16031 -4.16031
1.15 -7.51651 7.51651
1.125 -14.2785 14.2785
1.1 -17.8518 17.8518
1.075 -19.6528 19.6528
1.05 -20.5565 20.5565
1.025 -21.0243 21.0243
1 -21.2805 21.2805
0.975 -21.4309 21.4309
0.95 -21.5255 21.5255
0.925 -21.5886 21.5886
0.9 -21.6329 21.6329
0.875 -21.6652 21.6652
0.85 -21.6895 21.6895
0.825 -21.7082 21.7082
0.8 -21.7229 21.7229
0.775 -21.7347 21.7347
0.75 -21.7443 21.7443
0.725 -21.7522 21.7522
0.7 -21.7588 21.7588
0.675 -21.7644 21.7644
0.65 -21.7691 21.7691
0.625 -21.7732 21.7732
0.6 -21.7768 21.7768
0.575 -21.7799 21.7799
0.55 -21.7826 21.7826
0.525 -21.785 21.785
0.5 -21.7872 21.7872
0.475 -21.7892 21.7892
0.45 -21.7909 21.7909
0.425 -21.7925 21.7925
0.4 -21.7939 21.7939
0.375 -21.7952 21.7952
0.35 -21.7964 21.7964
0.325 -21.7975 21.7975
0.3 -21.7985 21.7985
0.275 -21.7995 21.7995
0.25 -21.8004 21.8004
0.225 -21.8012 21.8012
0.2 -21.8019 21.8019
0.175 -21.8026 21.8026
0.15 -21.8033 21.8033
0.125 -21.8039 21.8039
0.1 -21.8044 21.8044
0.075 -21.805 21.805
0.05 -21.8055 21.8055
0.025 -21.806 21.806
0 -21.8064 21.8064
