# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
-1.00019e+06 0 1.56452 1.07565 
-1.00019e+06 0 1.56206 1.07518 
-1.00019e+06 0 1.55706 1.07418 
-1.00019e+06 0 1.55195 1.07302 
-1.00019e+06 0 1.54673 1.07171 
-1.00018e+06 0 1.54139 1.07025 
-1.00018e+06 0 1.53595 1.06863 
-1.00018e+06 0 1.5304 1.06685 
-1.00018e+06 0 1.52474 1.06493 
-1.00018e+06 0 1.51898 1.06285 
-1.00018e+06 0 1.51312 1.06062 
-1.00018e+06 0 1.50717 1.05823 
-1.00018e+06 0 1.50112 1.05569 
-1.00018e+06 0 1.49498 1.053 
-1.00018e+06 0 1.48875 1.05016 
-1.00018e+06 0 1.48243 1.04717 
-1.00017e+06 0 1.47603 1.04402 
-1.00017e+06 0 1.46956 1.04073 
-1.00017e+06 0 1.463 1.03729 
-1.00017e+06 0 1.45638 1.03369 
-1.00017e+06 0 1.44968 1.02995 
-1.00017e+06 0 1.44292 1.02607 
-1.00017e+06 0 1.43609 1.02203 
-1.00017e+06 0 1.42921 1.01785 
-1.00017e+06 0 1.42226 1.01352 
-1.00016e+06 0 1.41527 1.00905 
-1.00016e+06 0 1.40823 1.00443 
-1.00016e+06 0 1.40114 0.999673 
-1.00016e+06 0 1.39402 0.994771 
-1.00016e+06 0 1.38685 0.989727 
-1.00016e+06 0 1.37966 0.984543 
-1.00016e+06 0 1.37243 0.979219 
-1.00016e+06 0 1.36518 0.973757 
-1.00016e+06 0 1.35791 0.968156 
-1.00016e+06 0 1.35062 0.96242 
-1.00016e+06 0 1.34331 0.956547 
-1.00015e+06 0 1.336 0.95054 
-1.00015e+06 0 1.32869 0.9444 
-1.00015e+06 0 1.32137 0.938127 
-1.00015e+06 0 1.31406 0.931724 
-1.00015e+06 0 1.30675 0.92519 
-1.00015e+06 0 1.29946 0.918528 
-1.00015e+06 0 1.29218 0.911739 
-1.00015e+06 0 1.28493 0.904823 
-1.00015e+06 0 1.2777 0.897783 
-1.00014e+06 0 1.2705 0.890619 
-1.00014e+06 0 1.26333 0.883333 
-1.00014e+06 0 1.2562 0.875926 
-1.00014e+06 0 1.24911 0.8684 
-1.00014e+06 0 1.24207 0.860756 
-1.00014e+06 0 1.23507 0.852996 
-1.00014e+06 0 1.22814 0.84512 
-1.00014e+06 0 1.22126 0.837131 
-1.00014e+06 0 1.21444 0.829031 
-1.00014e+06 0 1.20769 0.820819 
-1.00014e+06 0 1.20102 0.812499 
-1.00013e+06 0 1.19441 0.804072 
-1.00013e+06 0 1.18789 0.795539 
-1.00013e+06 0 1.18145 0.786902 
-1.00013e+06 0 1.1751 0.778163 
-1.00013e+06 0 1.16884 0.769323 
-1.00013e+06 0 1.16267 0.760384 
-1.00013e+06 0 1.15661 0.751348 
-1.00013e+06 0 1.15064 0.742216 
-1.00013e+06 0 1.14478 0.732991 
-1.00012e+06 0 1.13903 0.723673 
-1.00012e+06 0 1.1334 0.714265 
-1.00012e+06 0 1.12788 0.704769 
-1.00012e+06 0 1.12248 0.695186 
-1.00012e+06 0 1.11721 0.685518 
-1.00012e+06 0 1.11206 0.675767 
-1.00012e+06 0 1.10704 0.665935 
-1.00012e+06 0 1.10216 0.656024 
-1.00012e+06 0 1.09741 0.646036 
-1.00012e+06 0 1.09281 0.635972 
-1.00012e+06 0 1.08834 0.625834 
-1.00011e+06 0 1.08402 0.615625 
-1.00011e+06 0 1.07985 0.605346 
-1.00011e+06 0 1.07582 0.594999 
-1.00011e+06 0 1.07196 0.584587 
-1.00011e+06 0 1.06824 0.574111 
-1.00011e+06 0 1.06469 0.563573 
-1.00011e+06 0 1.06129 0.552975 
-1.00011e+06 0 1.05805 0.542319 
-1.00011e+06 0 1.05498 0.531608 
-1.0001e+06 0 1.05208 0.520843 
-1.0001e+06 0 1.04934 0.510026 
-1.0001e+06 0 1.04677 0.499159 
-1.0001e+06 0 1.04438 0.488244 
-1.0001e+06 0 1.04215 0.477284 
-1.0001e+06 0 1.0401 0.46628 
-1.0001e+06 0 1.03822 0.455235 
-1.0001e+06 0 1.03652 0.44415 
-1.0001e+06 0 1.035 0.433027 
-1.0001e+06 0 1.03365 0.42187 
-1.0001e+06 0 1.03249 0.410679 
-1.00009e+06 0 1.0315 0.399456 
-1.00009e+06 0 1.03069 0.388205 
-1.00009e+06 0 1.03006 0.376926 
-1.00009e+06 0 1.02962 0.365622 
-1.00009e+06 0 1.02944 0.359964 
-1.00009e+06 3.32002e+19 1.46345 0.348627 
-1.00009e+06 3.32e+19 1.46337 0.342943 
-1.00009e+06 3.31988e+19 1.46318 0.331559 
-1.00009e+06 3.31959e+19 1.4629 0.320141 
-1.00009e+06 3.31911e+19 1.46255 0.308695 
-1.00008e+06 3.31845e+19 1.46212 0.297224 
-1.00008e+06 3.31761e+19 1.46162 0.285732 
-1.00008e+06 3.3166e+19 1.46103 0.274224 
-1.00008e+06 3.3154e+19 1.46038 0.262704 
-1.00008e+06 3.31402e+19 1.45964 0.251176 
-1.00008e+06 3.31247e+19 1.45883 0.239644 
-1.00008e+06 3.31073e+19 1.45794 0.228112 
-1.00008e+06 3.30882e+19 1.45698 0.216585 
-1.00008e+06 3.30673e+19 1.45594 0.205066 
-1.00008e+06 3.30447e+19 1.45483 0.193559 
-1.00008e+06 3.30204e+19 1.45365 0.182068 
-1.00007e+06 3.29944e+19 1.4524 0.170598 
-1.00007e+06 3.29667e+19 1.45107 0.159152 
-1.00007e+06 3.29373e+19 1.44968 0.147734 
-1.00007e+06 3.29063e+19 1.44821 0.136348 
-1.00007e+06 3.28736e+19 1.44668 0.124998 
-1.00007e+06 3.28394e+19 1.44508 0.113687 
-1.00007e+06 3.28037e+19 1.44341 0.102419 
-1.00007e+06 3.27664e+19 1.44168 0.0911982 
-1.00007e+06 3.27277e+19 1.43989 0.0800278 
-1.00006e+06 3.26875e+19 1.43804 0.0689114 
-1.00006e+06 3.2646e+19 1.43612 0.0578526 
-1.00006e+06 3.2603e+19 1.43415 0.0468548 
-1.00006e+06 3.25588e+19 1.43212 0.0359215 
-1.00006e+06 3.25132e+19 1.43004 0.025056 
-1.00006e+06 3.24665e+19 1.4279 0.0142615 
-1.00006e+06 3.24186e+19 1.42572 0.00354149 
-1.00006e+06 3.23695e+19 1.42348 -0.00710101 
-1.00006e+06 3.23193e+19 1.42119 -0.0176628 
-1.00006e+06 3.22682e+19 1.41886 -0.0281409 
-1.00006e+06 3.2216e+19 1.41649 -0.0385322 
-1.00005e+06 3.21629e+19 1.41407 -0.0488339 
-1.00005e+06 3.2109e+19 1.41161 -0.059043 
-1.00005e+06 3.20542e+19 1.40912 -0.0691567 
-1.00005e+06 3.19987e+19 1.40659 -0.0791722 
-1.00005e+06 3.19424e+19 1.40403 -0.089087 
-1.00005e+06 3.18855e+19 1.40144 -0.0988984 
