# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
485 0.361011 0.55555 0.083437
486 0.359599 0.557256 0.083144
487 0.35822 0.558925 0.082854
488 0.356815 0.560616 0.082567
489 0.355446 0.562274 0.082278
490 0.354054 0.563958 0.081987
491 0.352597 0.565682 0.081719
492 0.351146 0.5674 0.081452
493 0.349672 0.569144 0.081182
494 0.348233 0.57085 0.080915
495 0.346799 0.57255 0.080649
496 0.345343 0.574276 0.08038
497 0.343918 0.57596 0.08012
498 0.342501 0.577643 0.079855
499 0.341062 0.579349 0.079587
500 0.339657 0.581019 0.079322
501 0.338106 0.582815 0.079078
502 0.336564 0.584607 0.078828
503 0.335026 0.586388 0.078584
504 0.333469 0.588193 0.078337
505 0.331945 0.58996 0.078094
506 0.330429 0.591719 0.07785
507 0.328919 0.593472 0.077607
508 0.327417 0.595218 0.077364
509 0.325921 0.596956 0.077121
510 0.324434 0.598691 0.076874
511 0.323086 0.600272 0.07664
512 0.321745 0.601847 0.076407
513 0.320384 0.603448 0.076166
514 0.319054 0.605011 0.075934
515 0.317729 0.606568 0.075702
516 0.31641 0.608118 0.07547
517 0.315099 0.609666 0.075233
518 0.313791 0.611205 0.075003
519 0.312463 0.612766 0.074769
520 0.311169 0.614296 0.074534
521 0.310062 0.615629 0.074308
522 0.308936 0.616988 0.074075
523 0.307839 0.618315 0.073844
524 0.306721 0.619665 0.073612
525 0.305631 0.620979 0.073388
526 0.304522 0.62232 0.073157
527 0.303417 0.623656 0.072926
528 0.302339 0.624955 0.072704
529 0.301243 0.626282 0.072474
530 0.300175 0.627576 0.072247
531 0.29914 0.628845 0.072014
532 0.298084 0.630137 0.071778
533 0.297056 0.631397 0.071546
534 0.296032 0.632652 0.071314
535 0.295012 0.633904 0.071083
536 0.293996 0.635151 0.070852
537 0.292983 0.636393 0.070622
538 0.291974 0.637631 0.070393
539 0.290969 0.638865 0.070164
540 0.289944 0.640121 0.069933
541 0.288903 0.641557 0.069539
542 0.28789 0.642965 0.069143
543 0.286856 0.644391 0.068751
544 0.285825 0.645812 0.068361
545 0.2848 0.647231 0.067967
546 0.283778 0.648641 0.067579
547 0.282759 0.650047 0.067193
548 0.281745 0.65145 0.066803
549 0.280734 0.652845 0.06642
550 0.279749 0.654209 0.066041
551 0.278787 0.655536 0.065675
552 0.27783 0.656858 0.065311
553 0.276875 0.658175 0.064948
554 0.275923 0.659484 0.064592
555 0.274975 0.660792 0.064232
556 0.274031 0.662095 0.063873
557 0.27309 0.663393 0.063515
558 0.272151 0.664683 0.063164
559 0.271218 0.665972 0.062809
560 0.270309 0.667231 0.062458
561 0.269367 0.668398 0.062233
562 0.268428 0.669561 0.062009
563 0.267494 0.670723 0.061781
564 0.266563 0.671877 0.061559
565 0.265635 0.673026 0.061337
566 0.264711 0.674171 0.061116
567 0.263791 0.675312 0.060895
568 0.262876 0.676452 0.060671
569 0.261962 0.677584 0.060452
570 0.261053 0.678712 0.060234
571 0.260149 0.679765 0.060084
572 0.259272 0.680794 0.059933
573 0.258375 0.681839 0.059784
574 0.257483 0.68288 0.059636
575 0.256616 0.683898 0.059485
576 0.25573 0.684931 0.059338
577 0.254848 0.68596 0.05919
578 0.253991 0.686966 0.059041
579 0.253116 0.687988 0.058895
580 0.252245 0.689005 0.058748
581 0.251418 0.689973 0.058607
582 0.250594 0.690938 0.058467
583 0.249774 0.691899 0.058326
584 0.248956 0.692856 0.058186
585 0.248142 0.69381 0.058047
586 0.247331 0.69476 0.057907
587 0.246523 0.695707 0.057768
588 0.245718 0.696651 0.05763
589 0.244917 0.69759 0.057491
590 0.244118 0.698527 0.057353
591 0.243307 0.69934 0.057352
592 0.2425 0.700153 0.057345
593 0.241695 0.700961 0.057343
594 0.240895 0.701768 0.057336
595 0.240097 0.702569 0.057332
596 0.239303 0.703371 0.057324
597 0.238512 0.704166 0.057321
598 0.237724 0.704958 0.057316
599 0.23694 0.705751 0.057307
600 0.236159 0.706537 0.057302
601 0.2354 0.707299 0.0573
602 0.234663 0.708041 0.057294
603 0.23391 0.708798 0.057291
604 0.233178 0.709531 0.057289
605 0.232431 0.710282 0.057285
606 0.231687 0.711031 0.057281
607 0.230964 0.711756 0.057278
608 0.230226 0.712499 0.057273
609 0.22951 0.713219 0.05727
610 0.228777 0.713957 0.057264
611 0.228085 0.714655 0.057258
612 0.227396 0.71535 0.057252
613 0.226692 0.716063 0.057244
614 0.226008 0.716753 0.057237
615 0.225327 0.717441 0.057231
616 0.224649 0.718126 0.057224
617 0.223955 0.718829 0.057214
618 0.223282 0.71951 0.057206
619 0.222611 0.720188 0.057199
620 0.221926 0.720884 0.057188
621 0.221074 0.721792 0.057132
622 0.220208 0.722716 0.057074
623 0.219364 0.723616 0.057019
624 0.218506 0.724532 0.05696
625 0.217669 0.725421 0.056908
626 0.21682 0.726329 0.05685
627 0.215992 0.727213 0.056793
628 0.215151 0.728113 0.056734
629 0.214331 0.72899 0.056678
630 0.213498 0.729882 0.056619
631 0.212719 0.730712 0.056567
632 0.211928 0.731559 0.056512
633 0.21114 0.732404 0.056454
634 0.210356 0.733243 0.056399
635 0.209593 0.734063 0.056343
636 0.208816 0.734895 0.056288
637 0.208043 0.735726 0.056229
638 0.20729 0.736533 0.056176
639 0.206524 0.737354 0.056121
640 0.205762 0.738175 0.056062
641 0.205036 0.738955 0.056007
642 0.204313 0.739733 0.055953
643 0.203593 0.740507 0.055898
644 0.202877 0.741278 0.055844
645 0.202163 0.742046 0.055789
646 0.201454 0.742811 0.055734
647 0.200731 0.74359 0.055677
648 0.200027 0.744346 0.055626
649 0.199326 0.745101 0.055571
650 0.198629 0.745853 0.055516
651 0.197937 0.746682 0.05538
652 0.197263 0.747489 0.055246
653 0.196576 0.748307 0.055115
654 0.195893 0.749125 0.05498
655 0.195228 0.74992 0.054851
656 0.19455 0.750731 0.054717
657 0.193876 0.751539 0.054583
658 0.193204 0.752341 0.054453
659 0.192551 0.753125 0.054323
660 0.191884 0.753921 0.054194
661 0.191242 0.754719 0.054038
662 0.190601 0.75551 0.053887
663 0.189964 0.756299 0.053736
664 0.189329 0.757085 0.053585
665 0.188697 0.75787 0.053432
666 0.188067 0.758649 0.053283
667 0.18744 0.759425 0.053134
668 0.18683 0.760181 0.052987
669 0.186209 0.760954 0.052836
670 0.18559 0.76172 0.052689
671 0.184987 0.762468 0.052544
672 0.184401 0.763196 0.052402
673 0.183803 0.763934 0.052262
674 0.183222 0.764656 0.05212
675 0.182629 0.765392 0.051978
676 0.182053 0.766108 0.051837
677 0.181478 0.766819 0.051701
678 0.180892 0.767546 0.05156
679 0.180323 0.768255 0.051421
680 0.179742 0.768976 0.05128
681 0.179189 0.769655 0.051155
682 0.178638 0.770331 0.05103
683 0.178103 0.770988 0.050908
684 0.177556 0.771659 0.050783
685 0.177011 0.772328 0.050659
686 0.176469 0.772994 0.050536
687 0.175929 0.773657 0.050413
688 0.17539 0.774318 0.05029
689 0.174854 0.774976 0.050168
690 0.174321 0.775632 0.050046
691 0.173804 0.776209 0.049986
692 0.173302 0.776765 0.049932
693 0.172789 0.777338 0.049872
694 0.172279 0.777908 0.049812
695 0.17177 0.778476 0.049752
696 0.171276 0.779028 0.049695
697 0.170771 0.779592 0.049635
698 0.170269 0.780154 0.049576
699 0.169768 0.780714 0.049516
700 0.169269 0.78127 0.04946
701 0.168798 0.781799 0.049402
702 0.168315 0.782339 0.049345
703 0.167847 0.782862 0.04929
704 0.167368 0.783398 0.049233
705 0.166904 0.783917 0.049178
706 0.166428 0.784449 0.049121
707 0.165967 0.784965 0.049066
708 0.165496 0.785496 0.049006
709 0.165039 0.786008 0.048952
710 0.164571 0.786533 0.048895
711 0.164128 0.787027 0.048843
712 0.163689 0.787523 0.048787
713 0.163238 0.788028 0.048733
714 0.162801 0.78852 0.048677
715 0.162365 0.789008 0.048625
716 0.161919 0.789509 0.048571
717 0.161487 0.789996 0.048516
718 0.161056 0.790479 0.048464
719 0.160616 0.790977 0.048406
720 0.160188 0.791456 0.048355
721 0.159763 0.791942 0.048293
722 0.15934 0.792426 0.048232
723 0.15893 0.792895 0.048173
724 0.15851 0.793377 0.048112
725 0.158091 0.793853 0.048055
726 0.157673 0.794331 0.047994
727 0.157269 0.794794 0.047935
728 0.156855 0.795269 0.047875
729 0.156442 0.795742 0.047814
730 0.156031 0.796214 0.047754
731 0.155568 0.796838 0.047593
732 0.155119 0.797446 0.047434
733 0.15466 0.798065 0.047274
734 0.154203 0.798684 0.047112
735 0.153747 0.799298 0.046953
736 0.153294 0.79991 0.046795
737 0.152842 0.800519 0.046638
738 0.152402 0.801114 0.046482
739 0.151954 0.801721 0.046323
740 0.151507 0.802324 0.046167
741 0.151073 0.802909 0.046017
742 0.150651 0.803482 0.045866
743 0.150219 0.804063 0.045717
744 0.1498 0.804629 0.04557
745 0.149372 0.805208 0.045418
746 0.148956 0.80577 0.045273
747 0.148532 0.806344 0.045122
748 0.148108 0.806915 0.044976
749 0.147697 0.807473 0.044829
750 0.147277 0.808039 0.044683
751 0.146879 0.808578 0.044542
752 0.146482 0.809113 0.044404
753 0.146076 0.809661 0.044261
754 0.145683 0.810194 0.044121
755 0.14528 0.810738 0.04398
756 0.144889 0.811265 0.043844
757 0.1445 0.811793 0.043706
758 0.144101 0.812331 0.043566
759 0.143714 0.812853 0.043431
760 0.143329 0.813375 0.043294
761 0.142945 0.813893 0.043161
762 0.142572 0.814397 0.043029
763 0.142201 0.8149 0.042898
764 0.14183 0.815401 0.042768
765 0.141462 0.815902 0.042635
766 0.141084 0.816411 0.042503
767 0.140718 0.816907 0.042374
768 0.140353 0.817401 0.042245
769 0.139989 0.817893 0.042117
770 0.139616 0.818395 0.041987
771 0.139223 0.818902 0.041874
772 0.13883 0.819407 0.041761
773 0.13843 0.819921 0.041647
774 0.138041 0.820423 0.041535
775 0.137653 0.820922 0.041424
776 0.137257 0.821431 0.041311
777 0.136872 0.821927 0.0412
778 0.136488 0.822421 0.041089
779 0.136097 0.822924 0.040978
780 0.135716 0.823414 0.040868
781 0.135306 0.82392 0.040773
782 0.134898 0.824426 0.040675
783 0.134481 0.824939 0.040578
784 0.134076 0.825441 0.040481
785 0.133673 0.825939 0.040387
786 0.133271 0.826437 0.040291
787 0.132871 0.826931 0.040197
788 0.132472 0.827425 0.040101
789 0.132066 0.827926 0.040007
790 0.131671 0.828417 0.039911
791 0.131286 0.828892 0.039821
792 0.130902 0.829366 0.03973
793 0.13052 0.829838 0.03964
794 0.13014 0.830308 0.03955
795 0.12977 0.830768 0.03946
796 0.129393 0.831235 0.039371
797 0.129017 0.8317 0.039282
798 0.128643 0.832163 0.039193
799 0.12827 0.832627 0.039102
800 0.127898 0.833086 0.039014
801 0.127537 0.833534 0.038927
802 0.127177 0.83398 0.038841
803 0.126827 0.834414 0.038757
804 0.12647 0.834857 0.038672
805 0.126114 0.835298 0.038587
806 0.12576 0.835737 0.038502
807 0.125415 0.836165 0.038418
808 0.125063 0.836601 0.038334
809 0.124713 0.837036 0.03825
810 0.124364 0.837469 0.038166
811 0.124033 0.837881 0.038085
812 0.123694 0.838301 0.038003
813 0.123366 0.838709 0.037923
814 0.12303 0.839124 0.037844
815 0.122695 0.83954 0.037763
816 0.12237 0.839944 0.037684
817 0.122038 0.840357 0.037603
818 0.121708 0.840768 0.037523
819 0.121386 0.841168 0.037444
820 0.121058 0.841574 0.037367
821 0.120736 0.841952 0.037311
822 0.120407 0.842336 0.037256
823 0.120087 0.842709 0.037203
824 0.11976 0.843091 0.037148
825 0.119435 0.843473 0.037091
826 0.119118 0.843842 0.037038
827 0.118795 0.844219 0.036984
828 0.118481 0.844586 0.036932
829 0.118161 0.844963 0.036875
830 0.117849 0.845327 0.036823
831 0.117517 0.84567 0.036811
832 0.117195 0.846005 0.036798
833 0.116865 0.846346 0.036787
834 0.116545 0.846677 0.036776
835 0.116219 0.847018 0.036762
836 0.115901 0.847346 0.036751
837 0.115584 0.847674 0.036741
838 0.115262 0.848011 0.036726
839 0.114947 0.848336 0.036715
840 0.114627 0.848669 0.036703
841 0.114323 0.848985 0.036691
842 0.11402 0.849299 0.036679
843 0.113711 0.849622 0.036665
844 0.113411 0.849935 0.036653
845 0.113104 0.850255 0.036639
846 0.112806 0.850566 0.036627
847 0.112509 0.850875 0.036615
848 0.112205 0.851192 0.036601
849 0.11191 0.851498 0.036591
850 0.111616 0.851804 0.036578
851 0.111324 0.852111 0.036563
852 0.111039 0.852407 0.036552
