# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 1.5 -1.8 -0.0344976 -1.2 -3.7 0.270741 2.22265e+14 9.85908e-05 0.000613197 8.43854e-23 2.18364e-08 -19081.9 0 0 9.56313e-19 0 0 1.5757e-10 0 0 0 0 0 0 0 0 0 0 
9.79066e-05 1.49981 -1.80019 -0.0343866 -1.2 -3.69981 0.273874 2.21098e+14 9.85912e-05 0.000612052 8.4435e-23 2.16812e-08 -19081.4 0 0 9.56313e-19 0 0 1.5757e-10 0 0 0 0 0 0 0 0 0 0 
0.000214985 1.49959 -1.80041 -0.0342541 -1.2 -3.69959 0.277667 2.19711e+14 9.85917e-05 0.000610686 8.44949e-23 2.14971e-08 -19080 0 0 9.56315e-19 0 0 1.57571e-10 0 0 0 0 0 0 0 0 0 0 
0.000354988 1.49932 -1.80068 -0.0340957 -1.2 -3.69932 0.282271 2.18063e+14 9.85923e-05 0.000609058 8.45676e-23 2.1279e-08 -19078.5 0 0 9.56317e-19 0 0 1.57572e-10 0 0 0 0 0 0 0 0 0 0 
0.000522406 1.499 -1.801 -0.0339065 -1.2 -3.699 0.287874 2.16108e+14 9.8593e-05 0.000607119 8.46562e-23 2.10211e-08 -19076.6 0 0 9.56319e-19 0 0 1.57573e-10 0 0 0 0 0 0 0 0 0 0 
0.000722606 1.49862 -1.80138 -0.0336805 -1.2 -3.69862 0.294717 2.13792e+14 9.85938e-05 0.000604812 8.47643e-23 2.07168e-08 -19074.4 0 0 9.56321e-19 0 0 1.57575e-10 0 0 0 0 0 0 0 0 0 0 
0.000962009 1.49816 -1.80184 -0.0334106 -1.2 -3.69816 0.303108 2.11054e+14 9.85949e-05 0.00060207 8.48969e-23 2.03588e-08 -19071.7 0 0 9.56325e-19 0 0 1.57576e-10 0 0 0 0 0 0 0 0 0 0 
0.00124829 1.49762 -1.80238 -0.0330884 -1.2 -3.69762 0.313449 2.07824e+14 9.85961e-05 0.000598815 8.50603e-23 1.99388e-08 -19068.6 0 0 9.56329e-19 0 0 1.57578e-10 0 0 0 0 0 0 0 0 0 0 
0.00159063 1.49697 -1.80303 -0.032704 -1.2 -3.69697 0.326267 2.04023e+14 9.85976e-05 0.000594955 8.52629e-23 1.94479e-08 -19065 0 0 9.56334e-19 0 0 1.57581e-10 0 0 0 0 0 0 0 0 0 0 
0.002 1.49619 -1.80381 -0.0322455 -1.2 -3.69619 0.342267 1.99565e+14 9.85996e-05 0.000590387 8.55157e-23 1.8877e-08 -19062.8 0 0 9.56338e-19 0 0 1.57582e-10 0 0 0 0 0 0 0 0 0 0 
0.002 1.49619 -1.80381 -0.0322455 -1.2 -3.69619 0.342267 1.99565e+14 9.85992e-05 0.000590385 8.55157e-23 1.88769e-08 -19058.1 0 0 9.56345e-19 0 0 1.57585e-10 0 0 0 0 0 0 0 0 0 0 
0.0025 1.49523 -1.80477 -0.0316874 -1.2 -3.69523 0.362846 1.94247e+14 9.86017e-05 0.000584874 8.5841e-23 1.82024e-08 -19055.6 0 0 9.5635e-19 0 0 1.57586e-10 0 0 0 0 0 0 0 0 0 0 
0.003 1.49428 -1.80572 -0.0311315 -1.2 -3.69428 0.384627 1.89065e+14 9.86039e-05 0.000579435 8.61852e-23 1.7552e-08 -19050.7 0 0 9.5636e-19 0 0 1.5759e-10 0 0 0 0 0 0 0 0 0 0 
0.0035 1.49333 -1.80667 -0.0305778 -1.2 -3.69333 0.407676 1.84015e+14 9.86063e-05 0.000574069 8.65495e-23 1.6925e-08 -19045.8 0 0 9.5637e-19 0 0 1.57593e-10 0 0 0 0 0 0 0 0 0 0 
0.004 1.49238 -1.80762 -0.0300265 -1.2 -3.69238 0.432062 1.79095e+14 9.86086e-05 0.000568774 8.69349e-23 1.63205e-08 -19041.2 0 0 9.56381e-19 0 0 1.57596e-10 0 0 0 0 0 0 0 0 0 0 
0.0045 1.49142 -1.80858 -0.0294777 -1.2 -3.69142 0.457858 1.743e+14 9.8611e-05 0.000563549 8.73426e-23 1.57377e-08 -19036.6 0 0 9.56392e-19 0 0 1.57599e-10 0 0 0 0 0 0 0 0 0 0 
0.005 1.49047 -1.80953 -0.0289316 -1.2 -3.69047 0.48514 1.69629e+14 9.86135e-05 0.000558394 8.77739e-23 1.51757e-08 -19032.1 0 0 9.56405e-19 0 0 1.57603e-10 0 0 0 0 0 0 0 0 0 0 
0.0055 1.48952 -1.81048 -0.0283882 -1.2 -3.68952 0.513989 1.65077e+14 9.8616e-05 0.000553306 8.82299e-23 1.4634e-08 -19027.8 0 0 9.56417e-19 0 0 1.57606e-10 0 0 0 0 0 0 0 0 0 0 
0.006 1.48857 -1.81143 -0.0278477 -1.2 -3.68857 0.544488 1.60642e+14 9.86185e-05 0.000548286 8.8712e-23 1.41116e-08 -19023.6 0 0 9.56431e-19 0 0 1.57609e-10 0 0 0 0 0 0 0 0 0 0 
0.0065 1.48762 -1.81238 -0.0273101 -1.2 -3.68762 0.576724 1.56321e+14 9.8621e-05 0.000543331 8.92215e-23 1.3608e-08 -19019.5 0 0 9.56445e-19 0 0 1.57612e-10 0 0 0 0 0 0 0 0 0 0 
0.007 1.48667 -1.81333 -0.0267758 -1.2 -3.68667 0.61079 1.52112e+14 9.86236e-05 0.000538441 8.97601e-23 1.31224e-08 -19015.5 0 0 9.56459e-19 0 0 1.57615e-10 0 0 0 0 0 0 0 0 0 0 
0.0075 1.48572 -1.81428 -0.0262446 -1.2 -3.68572 0.646781 1.48011e+14 9.86263e-05 0.000533615 9.0329e-23 1.26541e-08 -19011.6 0 0 9.56473e-19 0 0 1.57618e-10 0 0 0 0 0 0 0 0 0 0 
0.008 1.48477 -1.81523 -0.025717 -1.2 -3.68477 0.684797 1.44016e+14 9.86289e-05 0.000528852 9.09301e-23 1.22027e-08 -19007.9 0 0 9.56488e-19 0 0 1.57621e-10 0 0 0 0 0 0 0 0 0 0 
0.0085 1.48382 -1.81618 -0.0251928 -1.2 -3.68382 0.724942 1.40124e+14 9.86316e-05 0.000524151 9.15647e-23 1.17674e-08 -19004.2 0 0 9.56502e-19 0 0 1.57624e-10 0 0 0 0 0 0 0 0 0 0 
0.009 1.48287 -1.81713 -0.0246724 -1.2 -3.68287 0.767324 1.36333e+14 9.86344e-05 0.00051951 9.22348e-23 1.13476e-08 -19000.6 0 0 9.56517e-19 0 0 1.57627e-10 0 0 0 0 0 0 0 0 0 0 
0.0095 1.48192 -1.81808 -0.0241559 -1.2 -3.68192 0.812056 1.3264e+14 9.86371e-05 0.00051493 9.29421e-23 1.09429e-08 -18997.1 0 0 9.56531e-19 0 0 1.5763e-10 0 0 0 0 0 0 0 0 0 0 
0.01 1.48097 -1.81903 -0.0236434 -1.2 -3.68097 0.859257 1.29042e+14 9.86399e-05 0.000510408 9.36884e-23 1.05526e-08 -18993.8 0 0 9.56544e-19 0 0 1.57633e-10 0 0 0 0 0 0 0 0 0 0 
0.0105 1.48002 -1.81998 -0.023135 -1.2 -3.68002 0.909049 1.25538e+14 9.86428e-05 0.000505945 9.44757e-23 1.01763e-08 -18990.5 0 0 9.56557e-19 0 0 1.57636e-10 0 0 0 0 0 0 0 0 0 0 
0.011 1.47907 -1.82093 -0.022631 -1.2 -3.67907 0.961558 1.22125e+14 9.86457e-05 0.000501539 9.5306e-23 9.81344e-09 -18987.3 0 0 9.56569e-19 0 0 1.57639e-10 0 0 0 0 0 0 0 0 0 0 
0.0115 1.47812 -1.82188 -0.0221314 -1.2 -3.67812 1.01692 1.18801e+14 9.86486e-05 0.000497189 9.61814e-23 9.46353e-09 -18984.2 0 0 9.5658e-19 0 0 1.57642e-10 0 0 0 0 0 0 0 0 0 0 
0.012 1.47717 -1.82283 -0.0216365 -1.2 -3.67717 1.07526 1.15564e+14 9.86515e-05 0.000492895 9.71041e-23 9.12613e-09 -18981.1 0 0 9.5659e-19 0 0 1.57644e-10 0 0 0 0 0 0 0 0 0 0 
0.0125 1.47622 -1.82378 -0.0211464 -1.2 -3.67622 1.13674 1.12411e+14 9.86545e-05 0.000488655 9.80764e-23 8.80076e-09 -18978.2 0 0 9.56598e-19 0 0 1.57647e-10 0 0 0 0 0 0 0 0 0 0 
0.013 1.47527 -1.82473 -0.0206612 -1.2 -3.67527 1.20149 1.0934e+14 9.86575e-05 0.000484469 9.91004e-23 8.48702e-09 -18975.3 0 0 9.56604e-19 0 0 1.5765e-10 0 0 0 0 0 0 0 0 0 0 
0.0135 1.47432 -1.82568 -0.0201812 -1.2 -3.67432 1.26968 1.06349e+14 9.86605e-05 0.000480337 1.00179e-22 8.18447e-09 -18972.5 0 0 9.56608e-19 0 0 1.57653e-10 0 0 0 0 0 0 0 0 0 0 
0.014 1.47337 -1.82663 -0.0197065 -1.2 -3.67337 1.34145 1.03437e+14 9.86636e-05 0.000476256 1.01314e-22 7.89272e-09 -18969.8 0 0 9.56609e-19 0 0 1.57656e-10 0 0 0 0 0 0 0 0 0 0 
0.0145 1.47242 -1.82758 -0.0192371 -1.2 -3.67242 1.41697 1.00601e+14 9.86667e-05 0.000472227 1.02509e-22 7.61137e-09 -18967.2 0 0 9.56608e-19 0 0 1.57658e-10 0 0 0 0 0 0 0 0 0 0 
0.015 1.47148 -1.82852 -0.0187734 -1.2 -3.67148 1.49641 9.78393e+13 9.86698e-05 0.000468248 1.03765e-22 7.34007e-09 -18964.6 0 0 9.56604e-19 0 0 1.57661e-10 0 0 0 0 0 0 0 0 0 0 
0.0155 1.47053 -1.82947 -0.0183153 -1.2 -3.67053 1.57995 9.51502e+13 9.86729e-05 0.00046432 1.05087e-22 7.07844e-09 -18962.1 0 0 9.56598e-19 0 0 1.57664e-10 0 0 0 0 0 0 0 0 0 0 
0.016 1.46958 -1.83042 -0.0178632 -1.2 -3.66958 1.66777 9.25318e+13 9.86761e-05 0.00046044 1.06476e-22 6.82614e-09 -18959.7 0 0 9.56588e-19 0 0 1.57667e-10 0 0 0 0 0 0 0 0 0 0 
0.0165 1.46863 -1.83137 -0.017417 -1.2 -3.66863 1.76005 8.99824e+13 9.86793e-05 0.000456609 1.07935e-22 6.58283e-09 -18957.3 0 0 9.56574e-19 0 0 1.57669e-10 0 0 0 0 0 0 0 0 0 0 
0.017 1.46768 -1.83232 -0.016977 -1.2 -3.66768 1.85698 8.75001e+13 9.86825e-05 0.000452826 1.09469e-22 6.3482e-09 -18955 0 0 9.56558e-19 0 0 1.57672e-10 0 0 0 0 0 0 0 0 0 0 
0.0175 1.46674 -1.83326 -0.0165433 -1.2 -3.66674 1.95877 8.50834e+13 9.86858e-05 0.00044909 1.11079e-22 6.12193e-09 -18952.8 0 0 9.56537e-19 0 0 1.57674e-10 0 0 0 0 0 0 0 0 0 0 
0.018 1.46579 -1.83421 -0.016116 -1.2 -3.66579 2.06561 8.27305e+13 9.86891e-05 0.000445399 1.1277e-22 5.90372e-09 -18950.6 0 0 9.56514e-19 0 0 1.57677e-10 0 0 0 0 0 0 0 0 0 0 
0.0185 1.46484 -1.83516 -0.0156952 -1.2 -3.66484 2.17773 8.04399e+13 9.86924e-05 0.000441755 1.14544e-22 5.69329e-09 -18948.5 0 0 9.56486e-19 0 0 1.5768e-10 0 0 0 0 0 0 0 0 0 0 
