# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 -3.25 -6.55 -4.34423 -5.94059 1.05 6.12933e+06 1.70187e+14 0.00029712 0.00158671 2.9178e-16 4.32649e-08 214411 0 0 2.04674e-10 0 0 0.00927775 0 0 0 0 0 0 1.01596e+12 1.01596e+12 1.01596e+12 1.01596e+12 
9.79066e-05 -3.2479 -6.5479 -4.33792 -5.93849 1.0479 7.1945e+06 1.70186e+14 0.000297707 0.00158671 3.43162e-16 4.32646e-08 214411 0 0 2.04677e-10 0 0 0.00927775 0 0 0 0 0 0 1.19288e+12 1.19288e+12 1.19288e+12 1.19288e+12 
0.000214985 -3.24539 -6.54539 -4.33147 -5.93598 1.04539 8.35827e+06 1.70184e+14 0.000298275 0.00158672 3.99433e-16 4.32644e-08 214412 0 0 2.04685e-10 0 0 0.00927775 0 0 0 0 0 0 1.38624e+12 1.38624e+12 1.38624e+12 1.38624e+12 
0.000354988 -3.24239 -6.54239 -4.3248 -5.93297 1.04239 9.60811e+06 1.70182e+14 0.00029882 0.00158673 4.6e-16 4.32641e-08 214413 0 0 2.04692e-10 0 0 0.00927775 0 0 0 0 0 0 1.59398e+12 1.59398e+12 1.59398e+12 1.59398e+12 
0.000522406 -3.2388 -6.5388 -4.31783 -5.92938 1.0388 1.09231e+07 1.70179e+14 0.000299337 0.00158675 5.23862e-16 4.32638e-08 214415 0 0 2.04699e-10 0 0 0.00927775 0 0 0 0 0 0 1.81263e+12 1.81263e+12 1.81263e+12 1.81263e+12 
0.000722606 -3.23451 -6.53451 -4.31047 -5.92509 1.03451 1.22732e+07 1.70176e+14 0.000299819 0.00158676 5.89559e-16 4.32635e-08 214417 0 0 2.04706e-10 0 0 0.00927775 0 0 0 0 0 0 2.03716e+12 2.03716e+12 2.03716e+12 2.03716e+12 
0.000962009 -3.22937 -6.52937 -4.3026 -5.91996 1.02937 1.36192e+07 1.70173e+14 0.000300262 0.00158678 6.55182e-16 4.32631e-08 214419 0 0 2.04715e-10 0 0 0.00927775 0 0 0 0 0 0 2.26108e+12 2.26108e+12 2.26108e+12 2.26108e+12 
0.00124829 -3.22323 -6.52323 -4.29406 -5.91382 1.02323 1.49149e+07 1.70168e+14 0.000300658 0.0015868 7.18463e-16 4.32626e-08 214421 0 0 2.04727e-10 0 0 0.00927775 0 0 0 0 0 0 2.47669e+12 2.47669e+12 2.47669e+12 2.47669e+12 
0.00159063 -3.21589 -6.51589 -4.28469 -5.90648 1.01589 1.6111e+07 1.70163e+14 0.000301002 0.00158683 7.76968e-16 4.3262e-08 214424 0 0 2.04741e-10 0 0 0.00927775 0 0 0 0 0 0 2.67575e+12 2.67575e+12 2.67575e+12 2.67575e+12 
0.002 -3.20712 -6.50712 -4.27425 -5.8977 1.00712 1.7161e+07 1.70157e+14 0.000301285 0.00158683 8.28383e-16 4.32605e-08 214426 0 0 2.0475e-10 0 0 0.00927775 0 0 0 0 0 0 2.85046e+12 2.85046e+12 2.85046e+12 2.85046e+12 
