# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 2.175 -1.125 5.59308e-06 -0.525 -4.375 4.73231e-12 2.22265e+14 0.000104829 0.0006535 8.01088e-23 2.32717e-08 -53668.3 0 0 2.76427e-29 0 0 2.84026e-16 0 0 0 0 0 0 0 0 0 0 
9.79066e-05 2.17447 -1.12553 5.59308e-06 -0.525 -4.37447 4.82947e-12 2.18999e+14 0.000104829 0.000650075 8.01088e-23 2.28095e-08 -53667.7 0 0 2.76427e-29 0 0 1.54677e-16 0 0 0 0 0 0 0 0 0 0 
0.000214985 2.17385 -1.12615 5.59308e-06 -0.525 -4.37385 4.94829e-12 2.15153e+14 0.000104828 0.000646011 8.01088e-23 2.22688e-08 -53666.4 0 0 2.76427e-29 0 0 6.16243e-17 0 0 0 0 0 0 0 0 0 0 
0.000354988 2.17309 -1.12691 5.59308e-06 -0.525 -4.37309 5.09421e-12 2.10638e+14 0.000104828 0.000641197 8.01088e-23 2.16391e-08 -53664.9 0 0 2.76427e-29 0 0 7.36912e-17 0 0 0 0 0 0 0 0 0 0 
0.000522406 2.1722 -1.1278 5.59308e-06 -0.525 -4.3722 5.27436e-12 2.05357e+14 0.000104828 0.000635507 8.01088e-23 2.09093e-08 -53663.1 0 0 2.76427e-29 0 0 5.75126e-17 0 0 0 0 0 0 0 0 0 0 
0.000722606 2.17112 -1.12888 5.59308e-06 -0.525 -4.37112 5.49816e-12 1.99206e+14 0.000104827 0.000628796 8.01088e-23 2.00689e-08 -53661 0 0 2.76427e-29 0 0 6.87743e-17 0 0 0 0 0 0 0 0 0 0 
0.000962009 2.16984 -1.13016 5.59308e-06 -0.525 -4.36984 5.77827e-12 1.92081e+14 0.000104826 0.000620902 8.01088e-23 1.91081e-08 -53658.6 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.00124829 2.1683 -1.1317 5.59308e-06 -0.525 -4.3683 6.132e-12 1.83878e+14 0.000104826 0.000611644 8.01088e-23 1.80193e-08 -53655.8 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.00159063 2.16646 -1.13354 5.59308e-06 -0.525 -4.36646 6.58353e-12 1.74504e+14 0.000104825 0.000600828 8.01088e-23 1.67984e-08 -53652.6 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.002 2.16427 -1.13573 5.59308e-06 -0.525 -4.36427 7.16728e-12 1.6389e+14 0.000104824 0.000588252 8.01088e-23 1.54464e-08 -53650.8 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.002 2.16427 -1.13573 5.59308e-06 -0.525 -4.36427 7.16728e-12 1.6389e+14 0.000104823 0.000588246 8.01088e-23 1.54462e-08 -53646.9 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0025 2.16159 -1.13841 5.59308e-06 -0.525 -4.36159 7.95088e-12 1.51757e+14 0.000104823 0.00057339 8.01088e-23 1.39415e-08 -53645 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.003 2.1589 -1.1411 5.59308e-06 -0.525 -4.3589 8.82008e-12 1.40481e+14 0.000104822 0.000559064 8.01088e-23 1.25831e-08 -53641.2 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0035 2.15622 -1.14378 5.59308e-06 -0.525 -4.35622 9.78424e-12 1.30003e+14 0.000104821 0.00054525 8.01088e-23 1.13568e-08 -53637.7 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.004 2.15354 -1.14646 5.59308e-06 -0.525 -4.35354 1.08537e-11 1.2027e+14 0.00010482 0.000531925 8.01088e-23 1.02499e-08 -53634.4 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0045 2.15086 -1.14914 5.59308e-06 -0.525 -4.35086 1.204e-11 1.11233e+14 0.000104819 0.00051907 8.01088e-23 9.25058e-09 -53631.5 0 0 2.76427e-29 0 0 0 0 0 0 0 0 0 0 0 0 0 
