#tmm Radiation results with respect to radial wave number (tmm_study)
# 0 ratio[1] 
# 1 kr value[1]
# 2 Emission angle [deg]
# 3 Power flow back
#  Powerflow front
# ratio  kr  Emission_angle  Power_back  Power_front
0.55  0.0312545  0.582349  7.34668e-05  7.34299e-05
0.555  0.0315386  0.588347  7.25234e-05  7.24869e-05
0.56  0.0318227  0.59437  7.15759e-05  7.15398e-05
0.565  0.0321069  0.600417  7.06246e-05  7.05887e-05
0.57  0.032391  0.606489  6.96694e-05  6.96339e-05
0.575  0.0326751  0.612587  6.87106e-05  6.86754e-05
0.58  0.0329593  0.618712  6.77483e-05  6.77135e-05
0.585  0.0332434  0.624863  6.67826e-05  6.67481e-05
0.59  0.0335275  0.631041  6.58138e-05  6.57796e-05
0.595  0.0338117  0.637248  6.48419e-05  6.48081e-05
0.6  0.0340958  0.643483  6.38671e-05  6.38337e-05
0.605  0.0343799  0.649747  6.28896e-05  6.28565e-05
0.61  0.0346641  0.656042  6.19095e-05  6.18768e-05
0.615  0.0349482  0.662367  6.0927e-05  6.08946e-05
0.62  0.0352323  0.668723  5.99423e-05  5.99103e-05
0.625  0.0355165  0.675112  5.89555e-05  5.89239e-05
0.63  0.0358006  0.681533  5.79668e-05  5.79355e-05
0.635  0.0360847  0.687988  5.69764e-05  5.69455e-05
0.64  0.0363689  0.694477  5.59844e-05  5.59539e-05
0.645  0.036653  0.701002  5.49911e-05  5.4961e-05
0.65  0.0369371  0.707563  5.39966e-05  5.39669e-05
0.655  0.0372212  0.714161  5.30011e-05  5.29718e-05
0.66  0.0375054  0.720796  5.20049e-05  5.19759e-05
0.665  0.0377895  0.727471  5.1008e-05  5.09794e-05
0.67  0.0380736  0.734185  5.00107e-05  4.99825e-05
0.675  0.0383578  0.740941  4.90133e-05  4.89855e-05
0.68  0.0386419  0.747738  4.80158e-05  4.79884e-05
0.685  0.038926  0.754579  4.70186e-05  4.69916e-05
0.69  0.0392102  0.761464  4.60218e-05  4.59952e-05
0.695  0.0394943  0.768394  4.50257e-05  4.49995e-05
0.7  0.0397784  0.775371  4.40305e-05  4.40047e-05
0.705  0.0400626  0.782396  4.30364e-05  4.3011e-05
0.71  0.0403467  0.789471  4.20436e-05  4.20186e-05
0.715  0.0406308  0.796596  4.10524e-05  4.10278e-05
0.72  0.040915  0.803774  4.0063e-05  4.00388e-05
0.725  0.0411991  0.811005  3.90757e-05  3.9052e-05
0.73  0.0414832  0.818292  3.80907e-05  3.80674e-05
0.735  0.0417674  0.825636  3.71084e-05  3.70855e-05
0.74  0.0420515  0.833039  3.61288e-05  3.61063e-05
0.745  0.0423356  0.840503  3.51524e-05  3.51304e-05
0.75  0.0426198  0.848029  3.41794e-05  3.41578e-05
0.755  0.0429039  0.85562  3.32101e-05  3.31889e-05
0.76  0.043188  0.863278  3.22448e-05  3.2224e-05
0.765  0.0434721  0.871006  3.12837e-05  3.12634e-05
0.77  0.0437563  0.878805  3.03272e-05  3.03073e-05
0.775  0.0440404  0.886678  2.93757e-05  2.93562e-05
0.78  0.0443245  0.894627  2.84293e-05  2.84103e-05
0.785  0.0446087  0.902656  2.74885e-05  2.74699e-05
0.79  0.0448928  0.910768  2.65535e-05  2.65354e-05
