# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
-1.00019e+06 0 1018.37 19547.6 0 0 0 
-1.00019e+06 0 1016.76 19537.6 0 0 0 
-1.00019e+06 0 1013.51 19516.2 0 0 0 
-1.00019e+06 0 1010.19 19492.3 0 0 0 
-1.00019e+06 0 1006.79 19465.8 0 0 0 
-1.00018e+06 0 1003.31 19436.8 0 0 0 
-1.00018e+06 0 999.77 19405.1 0 0 0 
-1.00018e+06 0 996.156 19370.9 0 0 0 
-1.00018e+06 0 992.474 19334.2 0 0 0 
-1.00018e+06 0 988.725 19294.8 0 0 0 
-1.00018e+06 0 984.912 19253 0 0 0 
-1.00018e+06 0 981.036 19208.5 0 0 0 
-1.00018e+06 0 977.098 19161.6 0 0 0 
-1.00018e+06 0 973.1 19112.1 0 0 0 
-1.00018e+06 0 969.045 19060 0 0 0 
-1.00018e+06 0 964.934 19005.5 0 0 0 
-1.00017e+06 0 960.769 18948.4 0 0 0 
-1.00017e+06 0 956.553 18888.9 0 0 0 
-1.00017e+06 0 952.287 18826.8 0 0 0 
-1.00017e+06 0 947.973 18762.3 0 0 0 
-1.00017e+06 0 943.614 18695.2 0 0 0 
-1.00017e+06 0 939.211 18625.7 0 0 0 
-1.00017e+06 0 934.768 18553.8 0 0 0 
-1.00017e+06 0 930.286 18479.4 0 0 0 
-1.00017e+06 0 925.768 18402.6 0 0 0 
-1.00016e+06 0 921.215 18323.4 0 0 0 
-1.00016e+06 0 916.632 18241.7 0 0 0 
-1.00016e+06 0 912.019 18157.7 0 0 0 
-1.00016e+06 0 907.379 18071.2 0 0 0 
-1.00016e+06 0 902.716 17982.5 0 0 0 
-1.00016e+06 0 898.031 17891.3 0 0 0 
-1.00016e+06 0 893.327 17797.8 0 0 0 
-1.00016e+06 0 888.606 17702 0 0 0 
-1.00016e+06 0 883.872 17603.9 0 0 0 
-1.00016e+06 0 879.127 17503.5 0 0 0 
-1.00016e+06 0 874.373 17400.8 0 0 0 
-1.00015e+06 0 869.614 17295.9 0 0 0 
-1.00015e+06 0 864.852 17188.7 0 0 0 
-1.00015e+06 0 860.089 17079.2 0 0 0 
-1.00015e+06 0 855.328 16967.6 0 0 0 
-1.00015e+06 0 850.573 16853.8 0 0 0 
-1.00015e+06 0 845.826 16737.8 0 0 0 
-1.00015e+06 0 841.089 16619.7 0 0 0 
-1.00015e+06 0 836.366 16499.4 0 0 0 
-1.00015e+06 0 831.659 16377 0 0 0 
-1.00014e+06 0 826.971 16252.6 0 0 0 
-1.00014e+06 0 822.305 16126 0 0 0 
-1.00014e+06 0 817.664 15997.4 0 0 0 
-1.00014e+06 0 813.049 15866.8 0 0 0 
-1.00014e+06 0 808.465 15734.2 0 0 0 
-1.00014e+06 0 803.914 15599.6 0 0 0 
-1.00014e+06 0 799.398 15463 0 0 0 
-1.00014e+06 0 794.92 15324.5 0 0 0 
-1.00014e+06 0 790.483 15184 0 0 0 
-1.00014e+06 0 786.09 15041.7 0 0 0 
-1.00014e+06 0 781.743 14897.5 0 0 0 
-1.00013e+06 0 777.446 14751.4 0 0 0 
-1.00013e+06 0 773.2 14603.5 0 0 0 
-1.00013e+06 0 769.008 14453.9 0 0 0 
-1.00013e+06 0 764.873 14302.4 0 0 0 
-1.00013e+06 0 760.797 14149.2 0 0 0 
-1.00013e+06 0 756.783 13994.3 0 0 0 
-1.00013e+06 0 752.833 13837.7 0 0 0 
-1.00013e+06 0 748.95 13679.4 0 0 0 
-1.00013e+06 0 745.136 13519.5 0 0 0 
-1.00012e+06 0 741.394 13357.9 0 0 0 
-1.00012e+06 0 737.726 13194.8 0 0 0 
-1.00012e+06 0 734.134 13030 0 0 0 
-1.00012e+06 0 730.62 12863.8 0 0 0 
-1.00012e+06 0 727.186 12696 0 0 0 
-1.00012e+06 0 723.836 12526.8 0 0 0 
-1.00012e+06 0 720.57 12356.1 0 0 0 
-1.00012e+06 0 717.391 12184 0 0 0 
-1.00012e+06 0 714.301 12010.5 0 0 0 
-1.00012e+06 0 711.301 11835.6 0 0 0 
-1.00012e+06 0 708.394 11659.4 0 0 0 
-1.00011e+06 0 705.582 11481.9 0 0 0 
-1.00011e+06 0 702.866 11303.1 0 0 0 
-1.00011e+06 0 700.247 11123 0 0 0 
-1.00011e+06 0 697.729 10941.7 0 0 0 
-1.00011e+06 0 695.311 10759.2 0 0 0 
-1.00011e+06 0 692.996 10575.6 0 0 0 
-1.00011e+06 0 690.785 10390.9 0 0 0 
-1.00011e+06 0 688.679 10205 0 0 0 
-1.00011e+06 0 686.68 10018.1 0 0 0 
-1.0001e+06 0 684.789 9830.09 0 0 0 
-1.0001e+06 0 683.007 9641.11 0 0 0 
-1.0001e+06 0 681.335 9451.15 0 0 0 
-1.0001e+06 0 679.775 9260.25 0 0 0 
-1.0001e+06 0 678.326 9068.43 0 0 0 
-1.0001e+06 0 676.991 8875.74 0 0 0 
-1.0001e+06 0 675.77 8682.18 0 0 0 
-1.0001e+06 0 674.663 8487.81 0 0 0 
-1.0001e+06 0 673.671 8292.65 0 0 0 
-1.0001e+06 0 672.795 8096.74 0 0 0 
-1.0001e+06 0 672.036 7900.1 0 0 0 
-1.00009e+06 0 671.393 7702.76 0 0 0 
-1.00009e+06 0 670.867 7504.77 0 0 0 
-1.00009e+06 0 670.459 7306.14 0 0 0 
-1.00009e+06 0 670.168 7106.92 0 0 0 
-1.00009e+06 0 670.052 7007.17 0 0 0 
-1.00009e+06 3.32476e+19 952.547 6807.11 0 0 0 
-1.00009e+06 3.32475e+19 952.496 6706.69 0 0 0 
-1.00009e+06 3.32463e+19 952.368 6505.37 0 0 0 
-1.00009e+06 3.32433e+19 952.189 6303.12 0 0 0 
-1.00009e+06 3.32385e+19 951.961 6099.99 0 0 0 
-1.00008e+06 3.32319e+19 951.682 5896.06 0 0 0 
-1.00008e+06 3.32235e+19 951.353 5691.39 0 0 0 
-1.00008e+06 3.32133e+19 950.974 5486.04 0 0 0 
-1.00008e+06 3.32013e+19 950.545 5280.09 0 0 0 
-1.00008e+06 3.31875e+19 950.066 5073.59 0 0 0 
-1.00008e+06 3.3172e+19 949.538 4866.61 0 0 0 
-1.00008e+06 3.31546e+19 948.961 4659.22 0 0 0 
