# tmm TMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
525 0 0.025897 0.974102
526 0 0.02332 0.976679
527 0 0.020879 0.97912
528 0 0.018526 0.981473
529 0 0.016361 0.983638
530 0 0.014333 0.985666
531 0 0.012443 0.987556
532 0 0.01069 0.989309
533 0 0.009042 0.990957
534 0 0.007568 0.992431
535 0 0.006262 0.993737
536 0 0.005061 0.994938
537 0 0.003997 0.996002
538 0 0.003069 0.99693
539 0 0.002292 0.997707
540 0 0.00163 0.998369
541 0 0.001099 0.9989
542 0 0.000708 0.999291
543 0 0.000441 0.999558
544 0 0.000294 0.999705
545 0 0.000273 0.999726
546 0 0.000371 0.999628
547 0 0.00059 0.999409
548 0 0.000922 0.999077
549 0 0.001367 0.998632
550 0 0.001922 0.998077
551 0 0.002586 0.997413
552 0 0.003357 0.996642
553 0 0.00423 0.995769
554 0 0.005205 0.994794
555 0 0.006278 0.993721
556 0 0.007447 0.992552
557 0 0.008708 0.991291
558 0 0.010061 0.989938
559 0 0.011468 0.988531
560 0 0.012991 0.987008
561 0 0.014599 0.9854
562 0 0.016247 0.983752
563 0 0.01801 0.981989
564 0 0.019848 0.980151
565 0 0.021713 0.978286
566 0 0.023689 0.97631
567 0 0.025685 0.974314
568 0 0.02779 0.972209
569 0 0.029905 0.970094
570 0 0.032128 0.967871
571 0 0.034353 0.965646
572 0 0.036683 0.963316
573 0 0.039007 0.960992
574 0 0.041377 0.958622
575 0 0.043847 0.956152
576 0 0.0463 0.953699
577 0 0.048792 0.951207
578 0 0.051319 0.94868
579 0 0.053943 0.946056
580 0 0.056537 0.943462
581 0 0.05916 0.940839
582 0 0.061811 0.938188
583 0 0.064487 0.935512
584 0 0.067187 0.932812
585 0 0.069908 0.930091
586 0 0.07265 0.927349
587 0 0.075409 0.92459
588 0 0.078254 0.921745
589 0 0.081044 0.918955
590 0 0.083846 0.916153
591 0 0.086661 0.913338
592 0 0.089413 0.910586
593 0 0.092243 0.907756
594 0 0.09508 0.904919
595 0 0.097921 0.902078
596 0 0.100764 0.899235
597 0 0.103608 0.896391
598 0 0.106453 0.893546
599 0 0.109296 0.890703
600 0 0.112137 0.887862
601 0 0.114901 0.885098
602 0 0.117733 0.882266
603 0 0.12056 0.879439
604 0 0.12338 0.876619
605 0 0.126192 0.873807
606 0 0.12892 0.871079
607 0 0.131713 0.868286
608 0 0.134494 0.865505
609 0 0.137265 0.862734
610 0 0.139951 0.860048
611 0 0.142697 0.857302
612 0 0.145429 0.85457
613 0 0.148076 0.851923
614 0 0.15078 0.849219
615 0 0.153469 0.84653
616 0 0.156072 0.843927
617 0 0.158729 0.84127
618 0 0.161371 0.838628
619 0 0.163924 0.836075
620 0 0.166532 0.833467
621 0 0.169051 0.830948
622 0 0.171622 0.828377
623 0 0.174174 0.825825
624 0 0.176638 0.823361
625 0 0.17915 0.820849
626 0 0.181571 0.818428
627 0 0.184039 0.81596
628 0 0.186485 0.813514
629 0 0.188841 0.811158
630 0 0.19124 0.808759
631 0 0.193556 0.806443
632 0 0.195914 0.804085
633 0 0.198183 0.801816
634 0 0.200493 0.799506
635 0 0.202717 0.797282
636 0 0.204979 0.79502
637 0 0.207155 0.792844
638 0 0.209372 0.790627
639 0 0.211505 0.788494
640 0 0.213677 0.786322
641 0 0.215768 0.784231
642 0 0.217898 0.782101
643 0 0.219945 0.780054
644 0 0.222029 0.77797
645 0 0.224031 0.775968
646 0 0.226069 0.77393
647 0 0.228024 0.771975
648 0 0.230013 0.769986
649 0 0.231919 0.76808
650 0 0.233801 0.766198
651 0 0.235711 0.764288
652 0 0.237539 0.76246
653 0 0.239398 0.760601
654 0 0.241178 0.758821
655 0 0.242988 0.757011
656 0 0.244724 0.755275
657 0 0.246489 0.75351
658 0 0.24818 0.751819
659 0 0.24985 0.750149
660 0 0.251549 0.74845
661 0 0.253173 0.746826
662 0 0.254826 0.745173
663 0 0.256408 0.743591
664 0 0.25797 0.742029
665 0 0.259557 0.740442
666 0 0.261076 0.738923
667 0 0.262618 0.737381
668 0 0.264092 0.735907
669 0 0.265587 0.734412
670 0 0.267015 0.732984
671 0 0.268422 0.731577
672 0 0.269849 0.73015
673 0 0.27121 0.728789
674 0 0.272592 0.727407
675 0 0.273908 0.726091
676 0 0.275202 0.724797
677 0 0.276515 0.723484
678 0 0.277767 0.722232
679 0 0.278999 0.721
680 0 0.28025 0.719749
681 0 0.281447 0.718552
682 0 0.282662 0.717337
683 0 0.28382 0.716179
684 0 0.284995 0.715004
685 0 0.286113 0.713886
686 0 0.287209 0.71279
687 0 0.28832 0.711679
688 0 0.289375 0.710624
689 0 0.290444 0.709555
690 0 0.291457 0.708542
691 0 0.292448 0.707551
692 0 0.293451 0.706548
693 0 0.294401 0.705598
694 0 0.295332 0.704667
695 0 0.296277 0.703722
696 0 0.297171 0.702828
697 0 0.29808 0.701919
698 0 0.298941 0.701058
699 0 0.299787 0.700212
700 0 0.300646 0.699353
701 0 0.301459 0.69854
702 0 0.302285 0.697714
703 0 0.303068 0.696931
704 0 0.303862 0.696137
705 0 0.304613 0.695386
706 0 0.305346 0.694653
707 0 0.306088 0.693911
708 0 0.306786 0.693213
709 0 0.30749 0.692509
710 0 0.308151 0.691848
711 0 0.308818 0.691181
712 0 0.309443 0.690556
713 0 0.31005 0.689949
714 0 0.310661 0.689338
715 0 0.311232 0.688767
716 0 0.311803 0.688196
717 0 0.312338 0.687661
718 0 0.312876 0.687123
719 0 0.31338 0.686619
720 0 0.31387 0.686129
721 0 0.314366 0.685633
722 0 0.31483 0.685168
723 0 0.315299 0.6847
724 0 0.315736 0.684263
725 0 0.316176 0.683822
726 0 0.316587 0.683412
727 0 0.316999 0.683
728 0 0.317383 0.682616
729 0 0.317768 0.682231
