# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
-300 0 1096.46 737.843 
-295 0 1077.99 734.061 
-290 0 1039.12 725.104 
-285 0 996.601 713.376 
-280 0 950.901 698.911 
-275 0 902.559 681.758 
-270 0 852.178 661.981 
-265 0 800.415 639.658 
-260 0 747.973 614.882 
-255 0 695.586 587.758 
-250 0 644.005 558.404 
-245 0 593.987 526.952 
-240 0 546.278 493.542 
-235 0 501.603 458.328 
-230 0 460.646 421.47 
-225 0 424.04 383.14 
-220 0 392.356 343.515 
-215 0 366.087 302.779 
-210 0 345.644 261.12 
-205 0 331.342 218.732 
-200 0 325.76 197.38 
-200 6.90345e+20 651.979 154.24 
-195 6.78994e+20 648.775 132.908 
-190 6.5361e+20 641.935 90.5104 
-185 6.24066e+20 634.443 49.012 
-180 5.93251e+20 626.753 9.10652 
-175 5.64754e+20 619.359 -28.6154 
-170 5.4233e+20 612.747 -63.6748 
-165 5.29268e+20 607.352 -95.7074 
-160 5.27795e+20 603.523 -124.464 
-155 5.38596e+20 601.515 -149.802 
-150 5.60554e+20 601.494 -171.683 
-145 5.9077e+20 603.565 -190.156 
-140 6.24885e+20 607.809 -205.343 
-135 6.5766e+20 614.325 -217.429 
-130 6.83759e+20 623.259 -226.644 
-125 6.98585e+20 634.823 -233.248 
-120 6.99065e+20 649.272 -237.515 
-115 6.84226e+20 666.863 -239.723 
-110 6.5546e+20 687.778 -240.14 
-105 6.16419e+20 712.018 -239.016 
-100 5.72533e+20 739.301 -236.577 
-95 5.30207e+20 768.953 -233.018 
-90 4.95816e+20 799.844 -228.503 
-85 4.74654e+20 830.355 -223.164 
-80 4.70012e+20 858.42 -217.1 
-75 4.82531e+20 881.635 -210.385 
-70 5.0996e+20 897.431 -203.069 
-65 5.47374e+20 903.311 -195.182 
-60 5.87835e+20 897.115 -186.742 
-55 6.23399e+20 877.3 -177.759 
-50 6.46338e+20 843.183 -168.241 
-45 6.50371e+20 795.132 -158.2 
-40 6.31715e+20 734.665 -147.65 
-35 5.89786e+20 664.436 -136.617 
-30 5.27425e+20 588.104 -125.139 
-25 4.50604e+20 510.093 -113.264 
-20 3.6765e+20 435.256 -101.053 
-15 2.88092e+20 368.472 -88.5754 
-10 2.21317e+20 314.234 -75.9117 
-5 1.75221e+20 276.245 -63.1471 
0 1.58196e+20 261.715 -56.7505 
0 2.22306e+21 507.504 -43.9887 
5.00036 2.02077e+21 505.109 -37.5311 
10.0015 1.68803e+21 500.771 -24.9979 
15.0033 1.47118e+21 497.173 -13.1382 
20.0059 1.3257e+21 494.059 -1.80387 
25.0093 1.22474e+21 491.269 9.06299 
30.0134 1.15197e+21 488.704 19.4184 
35.0182 1.09739e+21 486.302 29.1388 
40.0239 1.0548e+21 484.022 38.0587 
45.0302 1.0203e+21 481.839 46.0093 
50.0373 9.91418e+20 479.736 52.8488 
55.0452 9.6656e+20 477.701 58.4806 
60.0538 9.44672e+20 475.726 62.8585 
65.0632 9.25044e+20 473.804 65.9827 
70.0733 9.07189e+20 471.932 67.8893 
75.0841 8.90763e+20 470.107 68.6386 
80.0958 8.75516e+20 468.324 68.3038 
85.1081 8.61264e+20 466.581 66.9633 
90.1212 8.47865e+20 464.875 64.6963 
95.1351 8.35209e+20 463.205 61.5814 
100.15 8.23209e+20 461.566 57.6977 
105.165 8.11792e+20 459.958 53.1266 
110.181 8.009e+20 458.376 47.953 
115.198 7.90484e+20 456.819 42.2668 
120.216 7.80499e+20 455.284 36.1624 
125.234 7.70912e+20 453.769 29.7375 
130.253 7.61688e+20 452.272 23.0921 
135.273 7.52802e+20 450.792 16.326 
140.294 7.44229e+20 449.327 9.53766 
145.315 7.35946e+20 447.876 2.82253 
150.337 7.27935e+20 446.439 -3.72798 
155.36 7.20179e+20 445.015 -10.0273 
160.384 7.12661e+20 443.604 -15.9944 
165.408 7.05368e+20 442.207 -21.5545 
170.434 6.98287e+20 440.824 -26.64 
175.459 6.91405e+20 439.456 -31.1908 
180.486 6.84714e+20 438.103 -35.1554 
185.514 6.78202e+20 436.766 -38.4917 
190.542 6.71861e+20 435.447 -41.1671 
195.571 6.65683e+20 434.145 -43.1593 
200.6 6.59659e+20 432.861 -44.4561 
205.631 6.53782e+20 431.594 -45.0557 
210.662 6.48047e+20 430.346 -44.9663 
215.694 6.42446e+20 429.115 -44.2061 
220.727 6.36974e+20 427.9 -42.8028 
225.76 6.31625e+20 426.701 -40.7935 
230.794 6.26393e+20 425.516 -38.2237 
235.829 6.21275e+20 424.345 -35.1471 
240.865 6.16265e+20 423.185 -31.6243 
245.902 6.1136e+20 422.035 -27.7213 
250.939 6.06554e+20 420.894 -23.5087 
255.977 6.01845e+20 419.761 -19.0592 
261.016 5.97228e+20 418.634 -14.4465 
266.055 5.927e+20 417.512 -9.74351 
271.095 5.88257e+20 416.396 -5.02086 
276.136 5.83898e+20 415.284 -0.345938 
281.178 5.79619e+20 414.177 4.21789 
286.221 5.75417e+20 413.074 8.61157 
291.264 5.7129e+20 411.977 12.7805 
296.308 5.67235e+20 410.887 16.6743 
301.353 5.63251e+20 409.803 20.2471 
306.398 5.59335e+20 408.727 23.4572 
311.445 5.55485e+20 407.661 26.2671 
316.492 5.51699e+20 406.604 28.6446 
321.54 5.47975e+20 405.559 30.5623 
326.588 5.44312e+20 404.525 31.9993 
331.638 5.40708e+20 403.503 32.9413 
336.688 5.37162e+20 402.494 33.3812 
341.739 5.33671e+20 401.496 33.3198 
346.79 5.30233e+20 400.511 32.7658 
351.843 5.26849e+20 399.536 31.7356 
356.896 5.23515e+20 398.572 30.2532 
361.95 5.20231e+20 397.617 28.3491 
367.004 5.16994e+20 396.67 26.0599 
372.06 5.13805e+20 395.73 23.4274 
377.116 5.10661e+20 394.796 20.4974 
382.173 5.07561e+20 393.865 17.3194 
387.23 5.04503e+20 392.939 13.9451 
392.289 5.01488e+20 392.014 10.4283 
397.348 4.98513e+20 391.092 6.8235 
402.408 4.95578e+20 390.171 3.18574 
407.469 4.92681e+20 389.251 -0.430648 
412.53 4.89822e+20 388.333 -3.97261 
417.592 4.87e+20 387.418 -7.38922 
422.655 4.84214e+20 386.505 -10.6325 
427.719 4.81464e+20 385.596 -13.6581 
432.784 4.78748e+20 384.692 -16.4262 
437.849 4.76066e+20 383.793 -18.9016 
442.915 4.73418e+20 382.901 -21.0545 
447.982 4.70802e+20 382.017 -22.8608 
453.049 4.68219e+20 381.142 -24.3018 
458.118 4.65667e+20 380.276 -25.3643 
463.187 4.63145e+20 379.419 -26.0409 
468.257 4.60654e+20 378.572 -26.3293 
473.327 4.58192e+20 377.735 -26.2323 
478.399 4.5576e+20 376.906 -25.7579 
483.471 4.53355e+20 376.086 -24.9185 
488.544 4.50978e+20 375.273 -23.7314 
493.617 4.48628e+20 374.467 -22.2182 
498.692 4.46304e+20 373.666 -20.4048 
503.767 4.44006e+20 372.869 -18.3208 
508.843 4.41733e+20 372.075 -15.9996 
513.919 4.39484e+20 371.284 -13.4777 
518.997 4.37259e+20 370.493 -10.7942 
524.075 4.35058e+20 369.704 -7.99018 
529.154 4.32879e+20 368.914 -5.10818 
534.234 4.30723e+20 368.124 -2.19136 
539.314 4.28589e+20 367.335 0.71713 
544.395 4.26477e+20 366.546 3.57477 
549.478 4.24387e+20 365.758 6.34037 
554.56 4.22317e+20 364.973 8.9746 
559.644 4.20268e+20 364.19 11.4405 
564.728 4.1824e+20 363.41 13.704 
569.813 4.16232e+20 362.636 15.7341 
574.899 4.14245e+20 361.868 17.5038 
579.986 4.12277e+20 361.106 18.9898 
585.073 4.10328e+20 360.351 20.1732 
590.161 4.08399e+20 359.604 21.0398 
595.25 4.06488e+20 358.865 21.5804 
600.34 4.04596e+20 358.134 21.791 
605.43 4.02723e+20 357.411 21.6728 
610.521 4.00867e+20 356.695 21.2323 
615.613 3.99029e+20 355.985 20.4815 
620.706 3.97208e+20 355.281 19.4371 
625.799 3.95404e+20 354.582 18.1207 
630.894 3.93616e+20 353.886 16.5579 
635.989 3.91844e+20 353.193 14.7774 
641.084 3.90088e+20 352.501 12.8108 
646.181 3.88348e+20 351.81 10.6917 
651.278 3.86622e+20 351.118 8.4543 
656.376 3.84912e+20 350.427 6.1335 
661.475 3.83216e+20 349.735 3.76371 
666.575 3.81535e+20 349.042 1.37851 
671.675 3.79868e+20 348.349 -0.989726 
676.776 3.78214e+20 347.656 -3.31008 
681.878 3.76575e+20 346.963 -5.55324 
686.981 3.7495e+20 346.273 -7.6915 
692.084 3.73339e+20 345.585 -9.69877 
697.188 3.71741e+20 344.9 -11.5506 
702.293 3.70156e+20 344.22 -13.2241 
707.399 3.68586e+20 343.545 -14.6981 
712.505 3.67028e+20 342.876 -15.9533 
717.613 3.65483e+20 342.214 -16.9727 
722.721 3.63952e+20 341.558 -17.7416 
727.829 3.62433e+20 340.909 -18.2482 
732.939 3.60927e+20 340.267 -18.4842 
738.049 3.59433e+20 339.631 -18.445 
743.16 3.57951e+20 339 -18.1304 
748.272 3.56481e+20 338.375 -17.5444 
753.385 3.55023e+20 337.754 -16.6958 
758.498 3.53577e+20 337.136 -15.5983 
763.612 3.52141e+20 336.52 -14.2699 
768.727 3.50717e+20 335.906 -12.7333 
773.843 3.49303e+20 335.292 -11.0147 
778.959 3.479e+20 334.678 -9.14395 
784.076 3.46507e+20 334.063 -7.15317 
789.194 3.45124e+20 333.447 -5.07644 
794.313 3.43752e+20 332.831 -2.94871 
799.433 3.4239e+20 332.213 -0.805053 
804.553 3.41037e+20 331.595 1.32021 
809.674 3.39695e+20 330.977 3.39421 
814.796 3.38362e+20 330.361 5.38615 
819.918 3.37039e+20 329.745 7.26787 
825.042 3.35726e+20 329.132 9.01414 
830.166 3.34423e+20 328.523 10.6029 
835.291 3.33129e+20 327.918 12.0152 
840.416 3.31845e+20 327.318 13.2355 
845.543 3.30571e+20 326.723 14.2509 
850.67 3.29306e+20 326.133 15.0517 
855.798 3.2805e+20 325.55 15.6305 
860.927 3.26803e+20 324.973 15.9824 
866.056 3.25566e+20 324.401 16.1049 
871.186 3.24337e+20 323.835 15.9976 
876.317 3.23118e+20 323.273 15.6624 
881.449 3.21907e+20 322.714 15.1037 
886.582 3.20704e+20 322.159 14.3284 
891.715 3.19509e+20 321.605 13.3463 
896.849 3.18323e+20 321.053 12.1701 
901.984 3.17144e+20 320.502 10.8161 
907.12 3.15974e+20 319.95 9.30341 
912.256 3.14811e+20 319.397 7.65459 
917.394 3.13655e+20 318.843 5.8951 
922.532 3.12507e+20 318.289 4.05301 
927.67 3.11367e+20 317.733 2.15843 
932.81 3.10234e+20 317.176 0.242809 
937.95 3.09108e+20 316.619 -1.66179 
943.091 3.07989e+20 316.063 -3.52357 
948.233 3.06878e+20 315.507 -5.31179 
953.376 3.05774e+20 314.954 -6.99755 
958.519 3.04678e+20 314.403 -8.5545 
963.663 3.03589e+20 313.855 -9.95939 
968.808 3.02507e+20 313.311 -11.1925 
973.954 3.01432e+20 312.772 -12.2377 
979.1 3.00365e+20 312.238 -13.083 
984.247 2.99304e+20 311.709 -13.7199 
989.395 2.98251e+20 311.186 -14.1438 
994.544 2.97204e+20 310.667 -14.3533 
999.694 2.96165e+20 310.153 -14.35 
1004.84 2.95132e+20 309.643 -14.1384 
1010 2.94106e+20 309.136 -13.7253 
1015.15 2.93086e+20 308.632 -13.1198 
1020.3 2.92072e+20 308.13 -12.3326 
1025.45 2.91065e+20 307.629 -11.3763 
1030.61 2.90064e+20 307.129 -10.265 
1035.76 2.89069e+20 306.629 -9.01441 
1040.92 2.88079e+20 306.127 -7.64153 
1046.07 2.87096e+20 305.625 -6.16493 
1051.23 2.86118e+20 305.122 -4.6046 
