# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Internal_Source_ElectricField
# 3 Internal_Intensity
# x Internal_Source_ElectricField Internal_Intensity 
238 -0.25349 0.188612 
239 -0.24983 0.187819 
240 -0.245362 0.186436 
241 -0.240099 0.184481 
242 -0.234059 0.18198 
243 -0.227261 0.178966 
244 -0.219726 0.175479 
245 -0.211478 0.171565 
246 -0.202545 0.167274 
247 -0.192954 0.162663 
248 -0.182737 0.157792 
249 -0.171927 0.152725 
250 -0.160557 0.147528 
251 -0.148665 0.142268 
252 -0.136289 0.137014 
253 -0.123469 0.131835 
254 -0.110245 0.126798 
255 -0.0966617 0.121969 
256 -0.0827616 0.117411 
257 -0.0685898 0.113184 
258 -0.0541919 0.109342 
259 -0.0396145 0.105936 
260 -0.0249046 0.103011 
261 -0.0101097 0.100606 
262 0.00472234 0.0987509 
263 0.0195437 0.0974719 
264 0.0343065 0.0967858 
265 0.0489629 0.0967022 
266 0.0634656 0.0972228 
267 0.0777677 0.0983418 
268 0.0918228 0.100045 
269 0.105585 0.102312 
270 0.119011 0.105114 
271 0.132056 0.108415 
272 0.144679 0.112174 
273 0.156838 0.116343 
274 0.168493 0.120868 
275 0.179608 0.125692 
276 0.190146 0.130754 
277 0.200072 0.135989 
278 0.209355 0.141331 
279 0.217965 0.14671 
280 0.225872 0.152058 
281 0.233052 0.157308 
282 0.239481 0.162392 
283 0.245138 0.167245 
284 0.250005 0.171805 
285 0.254065 0.176014 
286 0.257306 0.179819 
287 0.259716 0.183172 
288 0.261287 0.186029 
289 0.262015 0.188355 
290 0.261895 0.19012 
291 0.26093 0.191303 
292 0.259121 0.191888 
293 0.256474 0.19187 
294 0.252998 0.191248 
295 0.248702 0.190032 
296 0.243602 0.188239 
297 0.237713 0.185891 
298 0.231054 0.183021 
299 0.223646 0.179665 
300 0.215513 0.175869 
301 0.206681 0.171681 
302 0.197179 0.167156 
303 0.187036 0.162355 
304 0.176286 0.157338 
305 0.164963 0.152172 
306 0.153103 0.146924 
307 0.140745 0.141663 
308 0.127928 0.136458 
309 0.114694 0.131375 
310 0.101085 0.126482 
311 0.0871453 0.121842 
312 0.0729196 0.117516 
313 0.0584538 0.113561 
314 0.0437946 0.110028 
315 0.0289894 0.106964 
316 0.014086 0.104408 
317 -0.000867637 0.102396 
318 -0.015823 0.100952 
319 -0.0307319 0.100098 
320 -0.0455461 0.099844 
321 -0.0602177 0.100195 
322 -0.0746992 0.101146 
323 -0.0889438 0.102687 
324 -0.102905 0.104798 
325 -0.116539 0.107452 
326 -0.1298 0.110617 
327 -0.142645 0.114252 
328 -0.155034 0.118311 
329 -0.166925 0.122742 
330 -0.178281 0.127489 
331 -0.189064 0.132491 
332 -0.199239 0.137685 
333 -0.208774 0.143004 
334 -0.217637 0.148381 
335 -0.225799 0.153747 
336 -0.233235 0.159033 
337 -0.239918 0.164172 
338 -0.245829 0.169098 
339 -0.250947 0.173749 
340 -0.255256 0.178065 
341 -0.258741 0.181992 
342 -0.261391 0.185479 
343 -0.263197 0.188482 
344 -0.264153 0.190964 
345 -0.264255 0.192892 
346 -0.263504 0.194243 
347 -0.261901 0.195001 
348 -0.259452 0.195156 
349 -0.256163 0.194706 
350 -0.252045 0.193659 
351 -0.247111 0.192029 
352 -0.241377 0.189838 
353 -0.234862 0.187114 
354 -0.227585 0.183893 
355 -0.219571 0.180219 
356 -0.210845 0.176138 
357 -0.201434 0.171705 
358 -0.19137 0.166977 
359 -0.180684 0.162016 
360 -0.169411 0.156887 
361 -0.157587 0.151657 
362 -0.14525 0.146395 
363 -0.13244 0.141168 
364 -0.119198 0.136044 
365 -0.105566 0.131092 
366 -0.0915897 0.126376 
367 -0.0773125 0.121956 
368 -0.062781 0.117891 
369 -0.0480422 0.114235 
370 -0.0331435 0.111035 
371 -0.0181331 0.108332 
372 -0.00305938 0.106164 
373 0.0120289 0.104558 
374 0.027083 0.103536 
375 0.0420543 0.103112 
376 0.0568943 0.103293 
377 0.0715551 0.104076 
378 0.0859892 0.105452 
379 0.10015 0.107405 
380 0.113991 0.10991 
381 0.127469 0.112935 
382 0.140539 0.116442 
383 0.153158 0.120387 
384 0.165287 0.124719 
385 0.176885 0.129384 
386 0.187915 0.134321 
387 0.198342 0.139469 
388 0.208131 0.144761 
389 0.21725 0.15013 
390 0.22567 0.155507 
391 0.233363 0.160824 
392 0.240305 0.166013 
393 0.246472 0.171008 
394 0.251845 0.175744 
395 0.256405 0.180163 
396 0.260139 0.184207 
397 0.263033 0.187825 
398 0.265077 0.190971 
399 0.266266 0.193606 
400 0.266595 0.195696 
401 0.266062 0.197215 
402 0.264669 0.198144 
403 0.262421 0.198472 
404 0.259324 0.198195 
405 0.255388 0.197318 
406 0.250625 0.195853 
407 0.245051 0.19382 
408 0.238683 0.191245 
409 0.231542 0.188163 
410 0.223651 0.184615 
411 0.215034 0.180646 
412 0.20572 0.176308 
413 0.195738 0.171659 
414 0.18512 0.16676 
415 0.173901 0.161674 
416 0.162116 0.156467 
417 0.149804 0.151208 
418 0.137004 0.145965 
419 0.123757 0.140807 
420 0.110106 0.135801 
421 0.0960949 0.131013 
422 0.0817689 0.126504 
423 0.0671742 0.122334 
424 0.0523578 0.118558 
425 0.0373675 0.115225 
426 0.0222518 0.112379 
427 0.00705951 0.110057 
428 -0.0081604 0.108291 
429 -0.0233587 0.107103 
430 -0.0384863 0.106509 
431 -0.0534943 0.106519 
432 -0.0683341 0.107133 
433 -0.0829577 0.108344 
434 -0.0973178 0.110137 
435 -0.111368 0.112489 
436 -0.125063 0.115371 
437 -0.138358 0.118747 
438 -0.151209 0.122574 
439 -0.163577 0.126803 
440 -0.175419 0.13138 
441 -0.186699 0.136248 
442 -0.197378 0.141344 
443 -0.207424 0.146604 
444 -0.216802 0.151959 
445 -0.225482 0.157342 
446 -0.233436 0.162685 
447 -0.240639 0.167919 
448 -0.247066 0.172977 
449 -0.252697 0.177794 
450 -0.257513 0.182311 
451 -0.261498 0.186468 
452 -0.26464 0.190214 
453 -0.266927 0.1935 
454 -0.268353 0.196285 
455 -0.268912 0.198534 
456 -0.268602 0.200219 
457 -0.267424 0.201318 
458 -0.265381 0.201819 
459 -0.26248 0.201716 
460 -0.25873 0.20101 
461 -0.254143 0.199712 
462 -0.248733 0.197839 
463 -0.242517 0.195417 
464 -0.235516 0.192477 
465 -0.227752 0.189057 
466 -0.219249 0.185204 
467 -0.210035 0.180967 
468 -0.200139 0.176402 
469 -0.189594 0.171569 
470 -0.178432 0.166531 
471 -0.166691 0.161353 
472 -0.154407 0.156103 
473 -0.14162 0.15085 
474 -0.128371 0.145663 
475 -0.114704 0.140609 
476 -0.100661 0.135753 
477 -0.0862891 0.13116 
478 -0.0716335 0.12689 
479 -0.0567418 0.122999 
480 -0.0416621 0.119537 
481 -0.0264429 0.116549 
482 -0.0111335 0.114077 
483 0.00421666 0.112151 
484 0.0195581 0.110798 
485 0.0348412 0.110036 
486 0.0500165 0.109876 
487 0.0650349 0.11032 
488 0.079848 0.111364 
489 0.0944077 0.112995 
490 0.108667 0.115192 
491 0.122579 0.117929 
492 0.1361 0.12117 
493 0.149186 0.124875 
494 0.161793 0.128997 
495 0.173882 0.133482 
496 0.185412 0.138275 
497 0.196347 0.143315 
498 0.206651 0.148536 
499 0.21629 0.153872 
500 0.225234 0.159256 
501 0.233452 0.164619 
502 0.240919 0.169892 
503 0.247609 0.175008 
504 0.253502 0.179902 
505 0.258577 0.184511 
506 0.262818 0.188778 
507 0.266211 0.192647 
508 0.268746 0.19607 
509 0.270412 0.199003 
510 0.271205 0.201409 
511 0.271122 0.203258 
512 0.270163 0.204527 
513 0.26833 0.2052 
514 0.26563 0.20527 
515 0.262071 0.204736 
516 0.257663 0.203606 
517 0.252422 0.201896 
518 0.246363 0.199629 
519 0.239506 0.196833 
520 0.231873 0.193547 
521 0.223489 0.189814 
522 0.214379 0.185682 
523 0.204574 0.181206 
524 0.194105 0.176445 
525 0.183005 0.171459 
526 0.17131 0.166316 
527 0.159058 0.161081 
528 0.146288 0.155824 
529 0.133041 0.150612 
530 0.11936 0.145515 
531 0.105289 0.140598 
532 0.0908735 0.135926 
533 0.0761596 0.13156 
534 0.0611949 0.127557 
535 0.0460278 0.123969 
536 0.0307071 0.120844 
537 0.0152822 0.118223 
538 -0.000196845 0.116141 
539 -0.0156802 0.114625 
540 -0.0311179 0.113695 
541 -0.0464598 0.113365 
542 -0.0616566 0.113639 
543 -0.0766589 0.114515 
544 -0.0914182 0.115982 
545 -0.105887 0.118023 
546 -0.120018 0.120611 
547 -0.133766 0.123714 
548 -0.147086 0.127294 
549 -0.159934 0.131303 
550 -0.17227 0.135693 
551 -0.184054 0.140406 
552 -0.195246 0.145383 
553 -0.205811 0.150561 
554 -0.215714 0.155873 
555 -0.224924 0.161252 
556 -0.233409 0.166629 
557 -0.241143 0.171936 
558 -0.2481 0.177105 
559 -0.254258 0.18207 
560 -0.259596 0.186768 
561 -0.264096 0.191139 
562 -0.267745 0.195128 
563 -0.27053 0.198684 
564 -0.272441 0.201762 
565 -0.273473 0.204322 
566 -0.273621 0.206334 
567 -0.272886 0.207771 
568 -0.271268 0.208616 
569 -0.268773 0.208859 
570 -0.265408 0.208498 
571 -0.261185 0.207538 
572 -0.256117 0.205993 
573 -0.250219 0.203882 
574 -0.243511 0.201235 
575 -0.236014 0.198086 
576 -0.227752 0.194476 
577 -0.218751 0.190454 
578 -0.209041 0.186072 
579 -0.198652 0.181386 
580 -0.187618 0.17646 
581 -0.175973 0.171356 
582 -0.163757 0.166142 
583 -0.151007 0.160886 
584 -0.137766 0.155656 
585 -0.124075 0.150521 
586 -0.109978 0.145547 
587 -0.0955222 0.140801 
588 -0.0807527 0.136343 
589 -0.0657175 0.132233 
590 -0.0504652 0.128524 
591 -0.0350449 0.125265 
592 -0.0195064 0.122499 
593 -0.0038999 0.120262 
594 0.0117242 0.118584 
595 0.0273154 0.117487 
596 0.0428233 0.116987 
597 0.0581978 0.117091 
598 0.0733891 0.117799 
599 0.0883482 0.119101 
600 0.103027 0.120983 
601 0.117377 0.12342 
602 0.131352 0.126382 
603 0.144908 0.129832 
604 0.157999 0.133726 
605 0.170584 0.138015 
606 0.182622 0.142643 
607 0.194074 0.147554 
608 0.204902 0.152683 
609 0.215072 0.157965 
610 0.22455 0.163333 
611 0.233305 0.16872 
612 0.241309 0.174055 
613 0.248536 0.179272 
614 0.254963 0.184303 
615 0.260567 0.189084 
616 0.265331 0.193556 
617 0.26924 0.19766 
618 0.272279 0.201345 
619 0.27444 0.204565 
620 0.275299 0.206052 
620 0.275611 0.172209 
621 0.275767 0.155287 
622 0.276036 0.138365 
623 0.276062 0.138365 
624 0.27569 0.138365 
625 0.27492 0.138365 
626 0.273752 0.138365 
627 0.27219 0.138365 
628 0.270234 0.138365 
629 0.267888 0.138365 
630 0.265155 0.138365 
631 0.26204 0.138365 
632 0.258546 0.138365 
633 0.254679 0.138365 
634 0.250444 0.138365 
635 0.245847 0.138365 
636 0.240896 0.138365 
637 0.235596 0.138365 
638 0.229957 0.138365 
639 0.223985 0.138365 
640 0.21769 0.138365 
641 0.211081 0.138365 
642 0.204167 0.138365 
643 0.196958 0.138365 
644 0.189465 0.138365 
645 0.181698 0.138365 
646 0.173669 0.138365 
647 0.165389 0.138365 
648 0.15687 0.138365 
649 0.148125 0.138365 
650 0.139166 0.138365 
651 0.130006 0.138365 
652 0.120658 0.138365 
653 0.111136 0.138365 
654 0.101453 0.138365 
655 0.0916244 0.138365 
656 0.0816632 0.138365 
657 0.071584 0.138365 
658 0.0614015 0.138365 
659 0.0511303 0.138365 
660 0.0407853 0.138365 
661 0.0303814 0.138365 
662 0.0199336 0.138365 
663 0.00945703 0.138365 
664 -0.00103318 0.138365 
665 -0.0115219 0.138365 
666 -0.021994 0.138365 
667 -0.0324343 0.138365 
668 -0.0428278 0.138365 
669 -0.0531594 0.138365 
670 -0.0634143 0.138365 
671 -0.0735777 0.138365 
672 -0.0836348 0.138365 
673 -0.0935711 0.138365 
674 -0.103372 0.138365 
675 -0.113024 0.138365 
676 -0.122513 0.138365 
677 -0.131825 0.138365 
678 -0.140946 0.138365 
679 -0.149864 0.138365 
680 -0.158566 0.138365 
681 -0.167039 0.138365 
682 -0.17527 0.138365 
683 -0.183249 0.138365 
684 -0.190963 0.138365 
685 -0.198401 0.138365 
686 -0.205552 0.138365 
687 -0.212407 0.138365 
688 -0.218955 0.138365 
689 -0.225187 0.138365 
690 -0.231094 0.138365 
691 -0.236667 0.138365 
692 -0.241899 0.138365 
693 -0.246781 0.138365 
694 -0.251307 0.138365 
695 -0.25547 0.138365 
696 -0.259264 0.138365 
697 -0.262683 0.138365 
698 -0.265724 0.138365 
699 -0.268381 0.138365 
700 -0.27065 0.138365 
701 -0.272528 0.138365 
702 -0.274013 0.138365 
703 -0.275103 0.138365 
704 -0.275795 0.138365 
705 -0.276089 0.138365 
706 -0.275984 0.138365 
707 -0.275481 0.138365 
708 -0.27458 0.138365 
709 -0.273282 0.138365 
710 -0.27159 0.138365 
711 -0.269506 0.138365 
712 -0.267033 0.138365 
713 -0.264174 0.138365 
714 -0.260933 0.138365 
715 -0.257316 0.138365 
716 -0.253327 0.138365 
717 -0.248973 0.138365 
718 -0.244259 0.138365 
719 -0.239192 0.138365 
720 -0.23378 0.138365 
721 -0.228031 0.138365 
722 -0.221952 0.138365 
723 -0.215553 0.138365 
724 -0.208842 0.138365 
725 -0.20183 0.138365 
726 -0.194527 0.138365 
727 -0.186942 0.138365 
728 -0.179088 0.138365 
729 -0.170975 0.138365 
730 -0.162616 0.138365 
731 -0.154021 0.138365 
732 -0.145204 0.138365 
733 -0.136177 0.138365 
734 -0.126954 0.138365 
735 -0.117548 0.138365 
736 -0.107971 0.138365 
737 -0.0982393 0.138365 
738 -0.0883653 0.138365 
739 -0.0783637 0.138365 
740 -0.0682489 0.138365 
741 -0.0580356 0.138365 
742 -0.0477385 0.138365 
743 -0.0373725 0.138365 
744 -0.0269526 0.138365 
745 -0.0164937 0.138365 
746 -0.00601095 0.138365 
747 0.00448044 0.138365 
748 0.0149654 0.138365 
749 0.0254287 0.138365 
750 0.0358553 0.138365 
751 0.0462301 0.138365 
752 0.0565382 0.138365 
753 0.0667646 0.138365 
754 0.0768946 0.138365 
755 0.0869136 0.138365 
756 0.0968072 0.138365 
757 0.106561 0.138365 
758 0.116161 0.138365 
759 0.125593 0.138365 
760 0.134844 0.138365 
761 0.1439 0.138365 
762 0.152748 0.138365 
763 0.161376 0.138365 
764 0.169771 0.138365 
765 0.17792 0.138365 
766 0.185813 0.138365 
767 0.193437 0.138365 
768 0.200783 0.138365 
769 0.207838 0.138365 
770 0.214593 0.138365 
771 0.221038 0.138365 
772 0.227164 0.138365 
773 0.232962 0.138365 
774 0.238424 0.138365 
775 0.243542 0.138365 
776 0.248308 0.138365 
777 0.252715 0.138365 
778 0.256757 0.138365 
779 0.260429 0.138365 
780 0.263725 0.138365 
781 0.266639 0.138365 
782 0.269169 0.138365 
783 0.27131 0.138365 
784 0.27306 0.138365 
785 0.274415 0.138365 
786 0.275374 0.138365 
787 0.275935 0.138365 
788 0.276098 0.138365 
789 0.275863 0.138365 
790 0.275228 0.138365 
791 0.274197 0.138365 
792 0.27277 0.138365 
793 0.270948 0.138365 
794 0.268736 0.138365 
795 0.266136 0.138365 
796 0.263151 0.138365 
797 0.259786 0.138365 
798 0.256046 0.138365 
799 0.251937 0.138365 
800 0.247463 0.138365 
801 0.242633 0.138365 
802 0.237452 0.138365 
803 0.231928 0.138365 
804 0.226069 0.138365 
805 0.219884 0.138365 
806 0.213382 0.138365 
807 0.206571 0.138365 
808 0.199462 0.138365 
809 0.192065 0.138365 
810 0.184391 0.138365 
811 0.17645 0.138365 
812 0.168255 0.138365 
813 0.159817 0.138365 
814 0.151148 0.138365 
815 0.142261 0.138365 
816 0.133168 0.138365 
817 0.123883 0.138365 
818 0.114419 0.138365 
819 0.10479 0.138365 
820 0.0950098 0.138365 
821 0.0850923 0.138365 
822 0.075052 0.138365 
823 0.0649032 0.138365 
824 0.0546608 0.138365 
825 0.0443394 0.138365 
826 0.033954 0.138365 
827 0.0235196 0.138365 
828 0.0130512 0.138365 
829 0.00256393 0.138365 
830 -0.007927 0.138365 
831 -0.0184065 0.138365 
832 -0.0288594 0.138365 
833 -0.0392706 0.138365 
834 -0.0496252 0.138365 
835 -0.0599081 0.138365 
836 -0.0701045 0.138365 
837 -0.0801996 0.138365 
838 -0.090179 0.138365 
839 -0.100028 0.138365 
840 -0.109733 0.138365 
841 -0.119279 0.138365 
842 -0.128653 0.138365 
843 -0.137841 0.138365 
844 -0.146831 0.138365 
845 -0.155608 0.138365 
846 -0.164161 0.138365 
847 -0.172476 0.138365 
848 -0.180543 0.138365 
849 -0.188348 0.138365 
850 -0.195882 0.138365 
851 -0.203133 0.138365 
852 -0.210091 0.138365 
853 -0.216745 0.138365 
854 -0.223087 0.138365 
855 -0.229106 0.138365 
856 -0.234795 0.138365 
857 -0.240144 0.138365 
858 -0.245147 0.138365 
859 -0.249796 0.138365 
860 -0.254084 0.138365 
861 -0.258005 0.138365 
862 -0.261553 0.138365 
863 -0.264725 0.138365 
864 -0.267513 0.138365 
865 -0.269916 0.138365 
866 -0.271929 0.138365 
867 -0.273549 0.138365 
868 -0.274774 0.138365 
869 -0.275602 0.138365 
870 -0.276033 0.138365 
871 -0.276065 0.138365 
872 -0.275698 0.138365 
873 -0.274933 0.138365 
874 -0.273772 0.138365 
875 -0.272215 0.138365 
876 -0.270264 0.138365 
877 -0.267924 0.138365 
878 -0.265197 0.138365 
879 -0.262087 0.138365 
880 -0.258598 0.138365 
881 -0.254736 0.138365 
882 -0.250507 0.138365 
883 -0.245915 0.138365 
884 -0.240969 0.138365 
885 -0.235674 0.138365 
886 -0.23004 0.138365 
887 -0.224073 0.138365 
888 -0.217782 0.138365 
889 -0.211177 0.138365 
890 -0.204268 0.138365 
891 -0.197063 0.138365 
892 -0.189574 0.138365 
893 -0.181811 0.138365 
894 -0.173785 0.138365 
895 -0.165509 0.138365 
896 -0.156993 0.138365 
897 -0.148251 0.138365 
898 -0.139295 0.138365 
899 -0.130138 0.138365 
900 -0.120792 0.138365 
901 -0.111273 0.138365 
902 -0.101593 0.138365 
903 -0.0917656 0.138365 
904 -0.0818061 0.138365 
905 -0.0717286 0.138365 
906 -0.0615474 0.138365 
907 -0.0512774 0.138365 
908 -0.0409333 0.138365 
909 -0.0305301 0.138365 
910 -0.0200829 0.138365 
911 -0.00960663 0.138365 
912 0.000883486 0.138365 
913 0.0113723 0.138365 
914 0.0218448 0.138365 
915 0.0322856 0.138365 
916 0.0426799 0.138365 
917 0.0530125 0.138365 
918 0.0632686 0.138365 
919 0.0734334 0.138365 
920 0.0834921 0.138365 
921 0.0934302 0.138365 
922 0.103233 0.138365 
923 0.112888 0.138365 
924 0.122379 0.138365 
925 0.131693 0.138365 
926 0.140818 0.138365 
927 0.149739 0.138365 
928 0.158444 0.138365 
929 0.16692 0.138365 
930 0.175155 0.138365 
931 0.183137 0.138365 
932 0.190854 0.138365 
933 0.198296 0.138365 
934 0.205452 0.138365 
935 0.212311 0.138365 
936 0.218864 0.138365 
937 0.225101 0.138365 
938 0.231012 0.138365 
939 0.23659 0.138365 
940 0.241826 0.138365 
941 0.246714 0.138365 
942 0.251245 0.138365 
943 0.255413 0.138365 
944 0.259212 0.138365 
945 0.262637 0.138365 
946 0.265683 0.138365 
947 0.268345 0.138365 
948 0.27062 0.138365 
949 0.272504 0.138365 
950 0.273995 0.138365 
951 0.27509 0.138365 
952 0.275788 0.138365 
953 0.276087 0.138365 
954 0.275988 0.138365 
955 0.275491 0.138365 
956 0.274595 0.138365 
957 0.273304 0.138365 
958 0.271617 0.138365 
959 0.269538 0.138365 
960 0.267071 0.138365 
961 0.264217 0.138365 
962 0.260982 0.138365 
963 0.25737 0.138365 
964 0.253387 0.138365 
965 0.249038 0.138365 
966 0.244329 0.138365 
967 0.239267 0.138365 
968 0.23386 0.138365 
969 0.228115 0.138365 
970 0.222041 0.138365 
971 0.215646 0.138365 
972 0.20894 0.138365 
973 0.201932 0.138365 
974 0.194633 0.138365 
975 0.187053 0.138365 
976 0.179202 0.138365 
977 0.171093 0.138365 
978 0.162736 0.138365 
979 0.154145 0.138365 
980 0.145331 0.138365 
981 0.136308 0.138365 
982 0.127087 0.138365 
983 0.117683 0.138365 
984 0.108109 0.138365 
985 0.0983791 0.138365 
986 0.0885071 0.138365 
987 0.0785072 0.138365 
988 0.068394 0.138365 
