# tmm TMMM (tmm_study)
# WaveLength[nm]  Transmission[1]  Reflection[1]  Absorption[1] 
520 3e-06 0.098479 0.901517
521 3e-06 0.099043 0.900952
522 4e-06 0.099622 0.900373
523 4e-06 0.100151 0.899843
524 4e-06 0.100722 0.899272
525 4e-06 0.101295 0.898699
526 5e-06 0.10182 0.898174
527 5e-06 0.102337 0.897657
528 5e-06 0.102882 0.897111
529 5e-06 0.103394 0.896599
530 6e-06 0.103912 0.896081
531 6e-06 0.104387 0.895606
532 6e-06 0.104855 0.895137
533 7e-06 0.10534 0.894652
534 7e-06 0.105785 0.894207
535 7e-06 0.106219 0.893773
536 8e-06 0.106605 0.893386
537 8e-06 0.106981 0.89301
538 8e-06 0.107348 0.892642
539 9e-06 0.107676 0.892314
540 9e-06 0.107962 0.892028
541 9e-06 0.108211 0.891778
542 1e-05 0.108389 0.8916
543 1e-05 0.108552 0.891436
544 1.1e-05 0.108704 0.891284
545 1.1e-05 0.108799 0.891188
546 1.1e-05 0.108859 0.891129
547 1.2e-05 0.108866 0.891121
548 1.2e-05 0.108877 0.89111
549 1.2e-05 0.108833 0.891153
550 1.3e-05 0.108712 0.891274
551 1.3e-05 0.108559 0.891426
552 1.3e-05 0.108371 0.891614
553 1.4e-05 0.108125 0.89186
554 1.4e-05 0.107882 0.892102
555 1.4e-05 0.107633 0.892351
556 1.5e-05 0.107349 0.892635
557 1.5e-05 0.107033 0.892951
558 1.5e-05 0.106682 0.893301
559 1.5e-05 0.106364 0.893619
560 1.6e-05 0.10603 0.893953
561 1.6e-05 0.105699 0.894284
562 1.6e-05 0.10537 0.894612
563 1.6e-05 0.105074 0.894908
564 1.6e-05 0.104794 0.895189
565 1.7e-05 0.104501 0.895481
566 1.7e-05 0.104195 0.895786
567 1.7e-05 0.103928 0.896054
568 1.7e-05 0.103648 0.896333
569 1.7e-05 0.103431 0.89655
570 1.7e-05 0.103241 0.89674
571 1.8e-05 0.103075 0.896906
572 1.8e-05 0.102842 0.897138
573 1.8e-05 0.102681 0.8973
574 1.8e-05 0.10259 0.897391
575 1.8e-05 0.1025 0.89748
576 1.8e-05 0.102314 0.897666
577 1.9e-05 0.102141 0.897839
578 1.9e-05 0.10204 0.897939
579 1.9e-05 0.101939 0.89804
580 1.9e-05 0.101821 0.898158
581 2e-05 0.101707 0.898272
582 2e-05 0.10162 0.898358
583 2e-05 0.101564 0.898414
584 2e-05 0.10146 0.898518
585 2.1e-05 0.101441 0.898537
586 2.1e-05 0.101395 0.898583
587 2.1e-05 0.101335 0.898642
588 2.2e-05 0.101281 0.898696
589 2.2e-05 0.101233 0.898743
590 2.3e-05 0.101148 0.898828
591 2.3e-05 0.101141 0.898834
592 2.3e-05 0.10118 0.898795
593 2.4e-05 0.101181 0.898794
594 2.4e-05 0.101227 0.898747
595 2.5e-05 0.101235 0.898739
596 2.5e-05 0.101241 0.898733
597 2.6e-05 0.101293 0.89868
598 2.7e-05 0.101346 0.898626
599 2.7e-05 0.101485 0.898486
600 2.8e-05 0.10161 0.898361
601 2.8e-05 0.101803 0.898167
602 2.9e-05 0.10205 0.897919
603 3e-05 0.102264 0.897705
604 3e-05 0.102582 0.897386
605 3.1e-05 0.102977 0.896991
606 3.2e-05 0.103425 0.896542
607 3.2e-05 0.103882 0.896084
608 3.3e-05 0.10438 0.895585
609 3.4e-05 0.105029 0.894936
610 3.5e-05 0.105717 0.894246
611 3.5e-05 0.106513 0.89345
612 3.6e-05 0.107356 0.892606
613 3.7e-05 0.108285 0.891676
614 3.8e-05 0.10929 0.890671
615 3.8e-05 0.11036 0.8896
616 3.9e-05 0.111504 0.888455
617 4e-05 0.112711 0.887247
618 4.1e-05 0.113943 0.886015
619 4.1e-05 0.115274 0.884683
620 4.2e-05 0.116661 0.883295
621 4.2e-05 0.118145 0.881811
622 4.3e-05 0.119721 0.880235
623 4.4e-05 0.121343 0.878611
624 4.4e-05 0.123053 0.876901
625 4.5e-05 0.12477 0.875183
626 4.6e-05 0.126595 0.873358
627 4.6e-05 0.128432 0.87152
628 4.6e-05 0.130193 0.869759
629 4.7e-05 0.132106 0.867846
630 4.8e-05 0.134112 0.865839
631 4.8e-05 0.135963 0.863988
632 4.9e-05 0.138102 0.861848
633 4.9e-05 0.1399 0.86005
634 4.9e-05 0.14168 0.858269
635 5e-05 0.143622 0.856327
636 5e-05 0.145488 0.85446
637 5e-05 0.14732 0.852628
638 5.1e-05 0.14925 0.850697
639 5.1e-05 0.150843 0.849105
640 5.1e-05 0.152569 0.847378
641 5.2e-05 0.154058 0.845889
642 5.2e-05 0.155895 0.844051
643 5.3e-05 0.157491 0.842455
644 5.3e-05 0.159095 0.84085
645 5.3e-05 0.160737 0.839208
646 5.4e-05 0.162017 0.837928
647 5.4e-05 0.163164 0.836781
648 5.4e-05 0.164066 0.835878
649 5.4e-05 0.16535 0.834595
650 5.5e-05 0.166526 0.833418
651 5.5e-05 0.167267 0.832677
652 5.5e-05 0.168399 0.831545
653 5.5e-05 0.169245 0.830699
654 5.5e-05 0.169776 0.830167
655 5.6e-05 0.170109 0.829834
656 5.6e-05 0.170239 0.829704
657 5.6e-05 0.170404 0.829538
658 5.6e-05 0.17069 0.829253
659 5.6e-05 0.171482 0.82846
660 5.7e-05 0.171949 0.827993
661 5.7e-05 0.17178 0.828162
662 5.7e-05 0.171756 0.828185
663 5.8e-05 0.171635 0.828306
664 5.8e-05 0.17091 0.829031
665 5.8e-05 0.17042 0.82952
666 5.8e-05 0.169786 0.830154
667 5.8e-05 0.169226 0.830714
668 5.8e-05 0.168207 0.831733
669 5.8e-05 0.166421 0.833519
670 5.8e-05 0.165247 0.834694
671 5.9e-05 0.164448 0.835492
672 5.9e-05 0.163717 0.836222
673 5.9e-05 0.162375 0.837564
674 6e-05 0.160936 0.839003
675 6e-05 0.159305 0.840633
676 6e-05 0.157768 0.84217
677 6e-05 0.156019 0.84392
678 6e-05 0.153612 0.846326
679 6.1e-05 0.151578 0.848359
680 6.1e-05 0.149096 0.850841
681 6.1e-05 0.146419 0.853518
682 6.2e-05 0.144262 0.855675
683 6.2e-05 0.142606 0.857331
684 6.2e-05 0.141299 0.858637
685 6.3e-05 0.140078 0.859858
686 6.3e-05 0.139267 0.860668
687 6.4e-05 0.138042 0.861893
688 6.4e-05 0.136087 0.863848
689 6.4e-05 0.133305 0.866629
690 6.4e-05 0.131424 0.86851
691 6.4e-05 0.129624 0.87031
692 6.5e-05 0.128695 0.871238
693 6.6e-05 0.127697 0.872235
694 6.6e-05 0.125832 0.874101
695 6.6e-05 0.123846 0.876087
696 6.6e-05 0.121829 0.878103
697 6.7e-05 0.119766 0.880166
698 6.7e-05 0.117212 0.88272
699 6.7e-05 0.114558 0.885374
700 6.8e-05 0.112059 0.887872
701 6.8e-05 0.109461 0.890469
702 6.8e-05 0.106882 0.893048
703 6.9e-05 0.104242 0.895688
704 6.9e-05 0.10172 0.89821
705 6.9e-05 0.099094 0.900835
706 7e-05 0.096572 0.903357
707 7e-05 0.094062 0.905866
708 7e-05 0.091668 0.908261
709 7e-05 0.08911 0.910818
710 7.1e-05 0.086521 0.913407
711 7.1e-05 0.083908 0.91602
712 7.1e-05 0.081565 0.918362
713 7.2e-05 0.079276 0.920651
714 7.2e-05 0.077014 0.922913
715 7.3e-05 0.0748 0.925126
716 7.3e-05 0.072443 0.927483
717 7.3e-05 0.07044 0.929485
718 7.3e-05 0.068624 0.931301
719 7.3e-05 0.066739 0.933187
720 7.4e-05 0.065215 0.93471
721 7.4e-05 0.063907 0.936017
722 7.5e-05 0.062652 0.937272
723 7.5e-05 0.061544 0.938379
724 7.5e-05 0.060517 0.939407
725 7.6e-05 0.059496 0.940427
726 7.7e-05 0.058535 0.941386
727 7.7e-05 0.057535 0.942386
728 7.8e-05 0.056599 0.943322
729 7.8e-05 0.055708 0.944212
730 7.9e-05 0.054968 0.944952
731 8e-05 0.054593 0.945325
732 8.2e-05 0.054371 0.945546
733 8.3e-05 0.054262 0.945654
734 8.4e-05 0.05433 0.945584
735 8.6e-05 0.054612 0.9453
736 8.8e-05 0.055274 0.944636
737 9.1e-05 0.056019 0.943889
738 9.5e-05 0.056937 0.942967
739 9.7e-05 0.05784 0.942061
740 0.000101 0.059124 0.940774
741 0.000105 0.060598 0.939296
742 0.000109 0.06222 0.93767
743 0.000114 0.064383 0.935501
744 0.00012 0.066653 0.933225
745 0.000127 0.069159 0.930713
746 0.000134 0.072157 0.927708
747 0.000143 0.07589 0.923966
748 0.000152 0.080358 0.919489
749 0.000163 0.085993 0.913843
750 0.000173 0.091525 0.908301
751 0.000184 0.098188 0.901627
752 0.000195 0.106588 0.893215
753 0.000208 0.116829 0.882962
754 0.000221 0.129564 0.870214
755 0.000235 0.145221 0.854543
756 0.000249 0.164306 0.835444
757 0.000263 0.187131 0.812605
