# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# x GenerationRate Intensity External_Source_ElectricField 
1619.87 0 871.875 -25.7795 
1653.17 0 872.654 -7.21354 
1687.13 0 870.761 10.069 
1721.78 0 866.773 22.4974 
1757.14 0 863.062 30.4638 
1793.2 0 862.373 36.655 
1829.99 0 865.742 41.8421 
1867.53 0 871.448 42.8585 
1905.82 0 875.808 35.6959 
1944.88 0 875.494 20.7031 
1984.74 0 870.231 3.49855 
2025.39 0 863.581 -10.2996 
2066.87 0 860.539 -20.2948 
2109.19 0 863.673 -29.3446 
2152.36 0 870.718 -36.7876 
2196.4 0 875.907 -37.0625 
2241.33 0 874.735 -27.0443 
2287.16 0 868.236 -11.5831 
2333.92 0 862.521 2.17515 
2381.62 0 863.045 13.4119 
2430.29 0 868.889 24.7565 
2479.94 0 873.639 32.8697 
2530.59 0 872.415 30.6958 
2582.26 0 867.368 19.0755 
2634.98 0 864.831 5.91385 
2688.76 0 867.287 -6.28447 
2743.62 0 870.66 -19.5343 
2799.59 0 870.31 -28.5992 
2856.7 0 867.576 -26.1571 
2914.95 0 867.292 -15.9556 
2974.38 0 869.637 -4.42848 
3035.01 0 869.964 9.5484 
3096.86 0 867.314 22.3891 
3159.96 0 866.686 24.5736 
3224.33 0 869.892 17.6959 
3290 0 871.181 7.33202 
3357 0 867.615 -7.53243 
3425.35 0 865.646 -19.8812 
3495.08 0 869.298 -21.099 
3566.22 0 871.584 -15.1198 
3638.79 0 868.033 -2.92293 
3712.82 0 865.957 12.2931 
3788.35 0 869.28 19.0001 
3865.41 0 870.652 16.9886 
3944.02 0 867.777 6.99573 
4024.21 0 867.374 -8.12821 
4106.03 0 869.402 -16.5943 
4189.49 0 869.044 -16.286 
4274.64 0 868.211 -5.8968 
4361.51 0 868.602 8.16885 
4450.13 0 868.391 15.7055 
4540.54 0 868.874 13.4596 
4632.77 0 869.022 1.03461 
4726.87 0 867.741 -11.1356 
4822.86 0 868.895 -14.916 
4920.79 0 869.297 -6.70114 
5020.7 0 867.659 6.52789 
5122.62 0 868.922 13.7601 
5226.6 0 869.025 8.91283 
5332.68 0 867.997 -3.97769 
5440.9 0 868.845 -12.3081 
5551.3 0 868.811 -8.91352 
5663.93 0 868.352 3.86238 
5778.83 0 868.635 11.4939 
5896.06 0 868.893 6.98064 
6015.64 0 868.203 -5.38739 
6137.65 0 868.926 -11.1832 
6262.11 0 868.495 -2.69554 
6389.08 0 868.558 7.81509 
6518.62 0 868.761 8.55239 
6650.77 0 868.412 -2.11565 
6785.59 0 868.765 -10.0418 
6923.13 0 868.525 -2.56302 
7063.44 0 868.616 8.19279 
7206.59 0 868.626 5.39581 
7352.62 0 868.614 -5.3097 
7501.6 0 868.565 -6.61323 
7653.59 0 868.734 3.00561 
7808.64 0 868.371 6.769 
7966.83 0 868.873 -1.8351 
8128.2 0 868.379 -6.55773 
8292.84 0 868.641 1.71112 
8460.79 0 868.781 6.5924 
8632.13 0 868.283 -2.08329 
8806.94 0 868.917 -6.51001 
8985.26 0 868.529 2.23772 
9167.19 0 868.515 4.71107 
9352.79 0 868.629 -3.47433 
9542.14 0 868.758 -2.06113 
9735.3 0 868.784 5.43236 
9932.37 0 867.901 0.535924 
10133.4 0 868.795 -3.58884 
10338.5 0 869.092 3.58797 
10547.7 0 868.282 2.3333 
10761.2 0 868.62 -3.29968 
10979 0 868.362 2.31109 
11201.1 0 868.202 1.80052 
11427.8 0 869.339 -3.48769 
11659 0 869.442 1.54931 
11894.9 0 868.447 0.227063 
12135.5 0 868.394 -2.20007 
12381 0 868.74 2.7761 
12631.5 0 868.134 -1.12438 
12887 0 867.361 -0.755861 
13147.6 0 867.622 1.53194 
13413.6 0 868.62 -1.4965 
13684.9 0 869.256 1.23427 
13961.6 0 869.037 -0.714192 
14244 0 868.425 0.230964 
14532 0 868.02 0.296289 
14825.9 0 867.952 -0.452735 
15125.7 0 867.999 0.550103 
15431.5 0 867.969 -0.651465 
15743.5 0 867.769 0.362135 
16061.8 0 867.608 -0.323588 
16386.6 0 867.852 0.158102 
16717.9 0 868.095 0.216497 
17055.8 0 867.787 -0.300037 
17400.6 0 867.547 0.436756 
17752.4 0 867.953 -0.267743 
18111.2 0 868.517 0.196393 
18477.3 0 868.894 -0.506293 
