# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
421.5 2.29301 0.31875
422 2.2931 0.3177
422.5 2.29321 0.31593
423 2.2931 0.31553
423.5 2.29258 0.31498
424 2.29174 0.31368
424.5 2.29069 0.31232
425 2.28947 0.3112
425.5 2.28818 0.31023
426 2.28712 0.30853
426.5 2.28659 0.30795
427 2.2864 0.30705
427.5 2.28634 0.3061
428 2.2864 0.30587
428.5 2.28653 0.304
429 2.2864 0.30225
429.5 2.28573 0.30023
430 2.28473 0.2984
430.5 2.28366 0.29688
431 2.2825 0.29633
431.5 2.28124 0.2957
432 2.28023 0.29507
432.5 2.27979 0.2946
433 2.2797 0.29263
433.5 2.27962 0.29078
434 2.27915 0.28952
434.5 2.27807 0.28832
435 2.27699 0.28725
435.5 2.2765 0.28652
436 2.2764 0.28537
436.5 2.27637 0.28407
437 2.2764 0.28303
437.5 2.2765 0.28198
438 2.2764 0.28038
438.5 2.27585 0.2793
439 2.27496 0.27837
439.5 2.2739 0.27748
440 2.27276 0.27668
440.5 2.27164 0.27625
441 2.27066 0.27552
441.5 2.26997 0.27375
442 2.2697 0.27268
442.5 2.26981 0.27142
443 2.2697 0.2709
443.5 2.26884 0.27015
444 2.26763 0.26903
444.5 2.26652 0.26777
445 2.26552 0.26648
445.5 2.26449 0.26572
446 2.26345 0.26507
446.5 2.26243 0.26392
447 2.2614 0.2623
447.5 2.26039 0.26152
448 2.2597 0.26007
448.5 2.25957 0.2593
449 2.2597 0.25925
449.5 2.25974 0.25827
450 2.2597 0.25753
450.5 2.25969 0.25642
451 2.2597 0.255
451.5 2.25971 0.25415
452 2.2597 0.25357
452.5 2.25968 0.25292
453 2.2597 0.25213
453.5 2.25978 0.25128
454 2.2597 0.25063
454.5 2.25923 0.24998
455 2.25845 0.24922
455.5 2.25747 0.2489
456 2.25644 0.24872
456.5 2.25542 0.24842
457 2.25445 0.24748
457.5 2.25356 0.2462
458 2.253 0.24507
458.5 2.25296 0.24395
459 2.253 0.24368
459.5 2.25267 0.24362
460 2.25189 0.24232
460.5 2.25079 0.24177
461 2.24988 0.2414
461.5 2.24957 0.24068
462 2.2496 0.2405
462.5 2.24962 0.23982
463 2.2496 0.23918
463.5 2.2496 0.2386
464 2.2496 0.23842
464.5 2.24958 0.23857
465 2.2496 0.23837
465.5 2.24969 0.2378
466 2.2496 0.2369
466.5 2.24911 0.2356
467 2.24833 0.23495
467.5 2.24742 0.23495
468 2.24646 0.23452
468.5 2.24551 0.23465
469 2.24454 0.2343
469.5 2.24357 0.23287
470 2.2429 0.2327
470.5 2.24278 0.23177
471 2.2429 0.2308
471.5 2.24293 0.2312
472 2.2429 0.23057
472.5 2.24289 0.23007
473 2.2429 0.22952
473.5 2.2429 0.2282
474 2.2429 0.22715
474.5 2.24291 0.22642
475 2.2429 0.2257
475.5 2.24287 0.22555
476 2.2429 0.22487
476.5 2.24303 0.22425
477 2.2429 0.22383
477.5 2.24222 0.22413
478 2.24125 0.2245
478.5 2.24032 0.22488
479 2.23944 0.22533
479.5 2.23853 0.22465
480 2.23761 0.22433
480.5 2.23675 0.22407
481 2.2362 0.22353
481.5 2.23612 0.22307
482 2.2362 0.22255
482.5 2.23606 0.22175
483 2.23555 0.22123
483.5 2.23467 0.2212
484 2.23375 0.22148
484.5 2.23311 0.22175
485 2.2328 0.22208
485.5 2.23275 0.22218
486 2.2328 0.22177
486.5 2.23281 0.22158
487 2.2328 0.22105
487.5 2.2328 0.22083
488 2.2328 0.22038
488.5 2.23277 0.22012
489 2.2328 0.2201
489.5 2.2329 0.2189
490 2.2328 0.21918
490.5 2.23227 0.21958
491 2.23157 0.21948
491.5 2.2309 0.21973
492 2.22987 0.21967
492.5 2.22804 0.21952
493 2.22548 0.22005
493.5 2.22258 0.22063
494 2.22033 0.22128
494.5 2.21954 0.2212
495 2.2195 0.2215
495.5 2.21942 0.22167
496 2.2195 0.22163
496.5 2.22006 0.22163
497 2.22097 0.22095
497.5 2.22195 0.22077
498 2.22268 0.22023
498.5 2.22292 0.22005
499 2.2229 0.21988
499.5 2.22289 0.21978
500 2.2229 0.22042
500.5 2.2229 0.22135
501 2.2229 0.22262
501.5 2.22289 0.22378
502 2.2229 0.22475
502.5 2.22293 0.22567
503 2.2229 0.22642
503.5 2.22281 0.22755
504 2.2229 0.22835
504.5 2.22341 0.22927
505 2.22417 0.23037
505.5 2.22497 0.23143
506 2.22577 0.23223
506.5 2.22657 0.23297
507 2.22736 0.23378
507.5 2.22816 0.23452
508 2.22896 0.23583
508.5 2.22975 0.237
509 2.23054 0.23882
509.5 2.23132 0.24095
510 2.23211 0.24265
510.5 2.23291 0.24402
511 2.23371 0.24492
511.5 2.23451 0.24605
512 2.23532 0.24755
512.5 2.23613 0.25032
513 2.23693 0.25292
513.5 2.2377 0.2547
514 2.23853 0.25667
514.5 2.2395 0.25827
515 2.24062 0.2598
515.5 2.24195 0.26192
516 2.24375 0.26357
516.5 2.24596 0.26527
517 2.24687 0.26672
517.5 2.24606 0.26782
518 2.24996 0.26918
518.5 2.26516 0.2696
519 2.29205 0.2707
519.5 2.32685 0.27145
520 2.35525 0.27237
520.5 2.3656 0.27235
521 2.36748 0.27077
521.5 2.37257 0.26937
522 2.37968 0.26705
522.5 2.3856 0.26518
523 2.39186 0.2627
523.5 2.39979 0.25898
524 2.40529 0.25335
524.5 2.4063 0.24732
525 2.41434 0.24065
525.5 2.43755 0.23302
526 2.4568 0.22562
526.5 2.4545 0.21723
527 2.44624 0.2078
527.5 2.44953 0.1978
528 2.45644 0.1872
528.5 2.45597 0.1759
529 2.45044 0.16485
529.5 2.4452 0.15345
530 2.44445 0.14165
530.5 2.44981 0.13002
531 2.45376 0.11853
531.5 2.44944 0.10802
532 2.44186 0.09865
532.5 2.4373 0.09017
533 2.4352 0.08262
533.5 2.43368 0.07482
534 2.43228 0.06787
534.5 2.43094 0.06108
535 2.42979 0.05478
535.5 2.42896 0.04912
536 2.42835 0.04313
536.5 2.42777 0.038
537 2.42691 0.03335
537.5 2.42547 0.02955
538 2.42319 0.02667
538.5 2.41994 0.02367
539 2.41597 0.0209
539.5 2.41158 0.0179
540 2.40696 0.01527
540.5 2.40218 0.0135
541 2.39703 0.0118
541.5 2.39111 0.0108
542 2.38358 0.00985
542.5 2.37376 0.0091
543 2.36203 0.0081
543.5 2.34969 0.00728
544 2.34048 0.0066
544.5 2.33698 0.00552
545 2.33468 0.00527
545.5 2.32898 0.00452
546 2.32213 0.00413
546.5 2.31716 0.00438
547 2.31338 0.0043
547.5 2.30977 0.00418
548 2.30773 0.00407
548.5 2.30834 0.00357
549 2.30915 0.0036
549.5 2.30768 0.00403
550 2.30501 0.00408
550.5 2.30271 0.00372
551 2.30087 0.00317
551.5 2.29924 0.00247
552 2.29778 0.00182
552.5 2.29645 0.00155
553 2.29506 0.00123
553.5 2.29333 0.00156
554 2.29081 0.00193
554.5 2.28716 0.00193
555 2.28263 0.00183
555.5 2.27787 9.58E-4
556 2.27446 3.07E-4
556.5 2.2735 1.03E-4
557 2.27316 4E-4
557.5 2.2715 5.47E-4
558 2.26909 3.94E-4
558.5 2.26685 1.19E-4
559 2.26464 0
559.5 2.26213 0
560 2.25938 0
560.5 2.25658 0
561 2.25412 0
561.5 2.25232 0
562 2.25093 0
562.5 2.24962 0
563 2.24831 0
563.5 2.24703 0
564 2.24599 0
564.5 2.24529 0
565 2.24465 0
565.5 2.24384 0
566 2.24332 0
566.5 2.24337 0
567 2.24283 0
567.5 2.24064 0
568 2.23759 0
568.5 2.23476 0
569 2.23258 0
569.5 2.23116 0
570 2.23006 0
570.5 2.22885 0
571 2.22754 0
