# DOI:Calculated + 10.1002/adma.201703080 
# | wavelength | n | k
831 1.56025 1.17602
831.5 1.55952 1.17933
832 1.55874 1.18264
832.5 1.55789 1.18595
833 1.55701 1.18926
833.5 1.55608 1.19257
834 1.55511 1.19588
834.5 1.55413 1.19919
835 1.55315 1.2025
835.5 1.55218 1.20581
836 1.55123 1.20913
836.5 1.55032 1.21244
837 1.54947 1.21575
837.5 1.54867 1.21906
838 1.54794 1.22265
838.5 1.54729 1.22661
839 1.54673 1.23058
839.5 1.54624 1.23454
840 1.54586 1.23851
840.5 1.54556 1.24247
841 1.54537 1.24644
841.5 1.54528 1.2504
842 1.54531 1.25437
842.5 1.54544 1.25836
843 1.54571 1.26245
843.5 1.54611 1.26653
844 1.54663 1.27062
844.5 1.54728 1.27471
845 1.54809 1.2788
845.5 1.54903 1.28289
846 1.55014 1.28698
846.5 1.5514 1.29106
847 1.55282 1.29515
847.5 1.55438 1.30397
848 1.55612 1.31289
848.5 1.55802 1.32182
849 1.5601 1.32538
849.5 1.56235 1.32835
850 1.56477 1.33132
850.5 1.56738 1.3343
851 1.57017 1.33727
851.5 1.57315 1.34024
852 1.57631 1.34321
852.5 1.57965 1.34619
853 1.58314 1.34916
853.5 1.58674 1.35213
854 1.59042 1.3551
854.5 1.59418 1.35873
855 1.59798 1.36349
855.5 1.60178 1.36825
856 1.60558 1.37301
856.5 1.60932 1.37777
857 1.61301 1.38252
857.5 1.6166 1.38728
858 1.62006 1.39204
858.5 1.62338 1.39811
859 1.62654 1.40481
859.5 1.62968 1.4115
860 1.633 1.41582
860.5 1.63676 1.41858
861 1.64114 1.42134
861.5 1.64639 1.4241
862 1.65273 1.42686
862.5 1.66038 1.42962
863 1.66955 1.43238
863.5 1.6805 1.43514
864 1.69346 1.4379
864.5 1.70868 1.44066
865 1.72638 1.44342
865.5 1.74631 1.44677
866 1.76734 1.45024
866.5 1.78828 1.45371
867 1.80787 1.45718
867.5 1.82499 1.46049
868 1.83944 1.46325
868.5 1.85159 1.46601
869 1.86177 1.46877
869.5 1.87037 1.47153
870 1.87771 1.47429
870.5 1.88422 1.47677
871 1.89025 1.4792
871.5 1.89617 1.48163
872 1.90238 1.48407
872.5 1.90912 1.4865
873 1.91655 1.48893
873.5 1.92477 1.49136
874 1.93393 1.49379
874.5 1.94414 1.49592
875 1.95554 1.49755
875.5 1.96825 1.49918
876 1.98242 1.50082
876.5 1.9982 1.50245
877 2.01574 1.50408
877.5 2.03516 1.50571
878 2.05669 1.50735
878.5 2.08022 1.50833
879 2.10511 1.50902
879.5 2.13056 1.50971
880 2.15574 1.5104
880.5 2.1798 1.51109
881 2.20194 1.51178
881.5 2.22205 1.51247
882 2.24043 1.51316
882.5 2.25735 1.51385
883 2.27309 1.51454
883.5 2.28796 1.51523
884 2.30224 1.51573
884.5 2.31628 1.51523
885 2.33032 1.51473
885.5 2.34463 1.51423
886 2.35918 1.51373
886.5 2.37396 1.51323
887 2.38897 1.51273
887.5 2.40418 1.51218
888 2.41959 1.51148
888.5 2.43519 1.51079
889 2.45097 1.51009
889.5 2.4669 1.50939
890 2.48298 1.50869
890.5 2.49915 1.50799
891 2.51526 1.5073
891.5 2.53116 1.5066
892 2.54675 1.5059
892.5 2.56183 1.5052
893 2.57625 1.5045
893.5 2.58987 1.50267
894 2.60252 1.50036
894.5 2.61408 1.49806
895 2.62497 1.49575
895.5 2.63576 1.49345
896 2.64711 1.49115
896.5 2.65961 1.48884
897 2.67395 1.48654
897.5 2.69073 1.48386
898 2.7107 1.48005
898.5 2.73452 1.47625
899 2.76171 1.47244
899.5 2.78951 1.46863
900 2.81483 1.46483
900.5 2.83581 1.46102
901 2.85304 1.45705
901.5 2.86752 1.45276
902 2.88016 1.44846
902.5 2.89207 1.44417
903 2.90425 1.43988
903.5 2.91747 1.43558
904 2.93166 1.43129
904.5 2.94634 1.427
905 2.96127 1.42271
905.5 2.97604 1.41841
906 2.99026 1.41412
906.5 3.00353 1.40982
907 3.0158 1.40553
907.5 3.02794 1.40108
908 3.041 1.39617
908.5 3.05611 1.39127
909 3.07433 1.38636
909.5 3.09692 1.38146
910 3.1243 1.37655
910.5 3.15245 1.37164
911 3.17576 1.36674
911.5 3.19251 1.36183
912 3.20437 1.35692
912.5 3.21305 1.35202
913 3.2203 1.34711
913.5 3.22684 1.34221
914 3.23279 1.33672
914.5 3.23829 1.32874
915 3.2434 1.32075
915.5 3.24829 1.31277
916 3.25303 1.30478
916.5 3.25772 1.29679
917 3.26246 1.28881
917.5 3.26714 1.28082
918 3.27171 1.27283
918.5 3.27605 1.26554
919 3.28022 1.2585
919.5 3.28411 1.25146
920 3.28767 1.24442
920.5 3.29082 1.23739
921 3.29351 1.23035
921.5 3.29571 1.22331
922 3.29739 1.21627
922.5 3.29867 1.20923
923 3.29953 1.20219
923.5 3.30011 1.19515
924 3.30041 1.18812
924.5 3.30057 1.18108
925 3.30054 1.17404
925.5 3.30036 1.167
926 3.29989 1.15996
926.5 3.29914 1.15292
927 3.29805 1.14604
927.5 3.29651 1.13919
928 3.29446 1.13234
928.5 3.2919 1.12549
929 3.28874 1.11864
929.5 3.2849 1.11179
930 3.28038 1.10494
930.5 3.27511 1.09777
931 3.26904 1.08841
931.5 3.26241 1.07903
932 3.25524 1.06966
932.5 3.24777 1.06029
933 3.24002 1.05092
933.5 3.23216 1.04155
934 3.22439 1.03218
934.5 3.21671 1.02281
935 3.20931 1.01344
935.5 3.20219 1.00407
936 3.19527 0.9947
936.5 3.18862 0.98533
937 3.18215 0.97598
937.5 3.17576 0.96691
938 3.16952 0.95784
938.5 3.16329 0.94877
939 3.1571 0.9397
939.5 3.15091 0.93064
940 3.14466 0.92157
940.5 3.13829 0.9125
941 3.13185 0.90343
941.5 3.12523 0.89326
942 3.11842 0.88234
942.5 3.11139 0.87143
943 3.10416 0.86051
943.5 3.09669 0.84959
944 3.08907 0.83868
944.5 3.08131 0.82776
945 3.07346 0.81684
945.5 3.06551 0.80592
946 3.05751 0.79627
946.5 3.04945 0.78878
947 3.04139 0.78128
947.5 3.03334 0.77378
948 3.02534 0.76629
948.5 3.01739 0.75879
949 3.00951 0.7513
949.5 3.00179 0.7438
950 2.99414 0.7363
950.5 2.9867 0.72881
951 2.97944 0.72131
951.5 2.97234 0.71381
952 2.96539 0.70632
952.5 2.95858 0.69882
953 2.95182 0.69133
953.5 2.94509 0.68383
954 2.93835 0.67634
954.5 2.93157 0.66884
955 2.92471 0.66134
955.5 2.91776 0.65385
956 2.91061 0.64635
956.5 2.90328 0.63886
957 2.89574 0.63131
957.5 2.88793 0.62303
958 2.87983 0.61476
958.5 2.87137 0.60649
959 2.86258 0.59822
959.5 2.85354 0.58995
960 2.84427 0.58168
960.5 2.83496 0.57353
961 2.82562 0.56608
961.5 2.81634 0.55864
962 2.80722 0.55119
962.5 2.79829 0.54375
963 2.78968 0.53631
963.5 2.78146 0.52886
964 2.7737 0.52142
964.5 2.76649 0.51397
965 2.75981 0.50653
965.5 2.75364 0.50007
966 2.74794 0.49369
966.5 2.74263 0.4873
967 2.73762 0.48092
967.5 2.73288 0.47454
968 2.72835 0.46816
968.5 2.72396 0.46178
969 2.71967 0.4554
969.5 2.71538 0.44901
970 2.71105 0.44263
970.5 2.70703 0.43641
971 2.70333 0.43102
971.5 2.69983 0.42564
972 2.69648 0.42026
972.5 2.69317 0.41487
973 2.68983 0.40949
973.5 2.68642 0.40411
974 2.68295 0.39872
974.5 2.67947 0.39334
975 2.67597 0.38795
975.5 2.67248 0.38253
976 2.66901 0.37689
976.5 2.6656 0.37125
977 2.66223 0.36561
977.5 2.65897 0.35998
978 2.65579 0.35434
978.5 2.65273 0.3487
979 2.64981 0.34306
979.5 2.64705 0.33743
980 2.64446 0.33179
980.5 2.64206 0.32615
981 2.63984 0.32089
981.5 2.63775 0.31619
982 2.63574 0.3115
982.5 2.63376 0.3068
983 2.63178 0.3021
983.5 2.62975 0.2974
984 2.6276 0.2927
984.5 2.62531 0.28801
985 2.62283 0.28331
985.5 2.62011 0.27861
986 2.61711 0.27428
986.5 2.61388 0.27047
987 2.61075 0.26666
987.5 2.60772 0.26286
988 2.60474 0.25905
988.5 2.60183 0.25524
989 2.59895 0.25144
989.5 2.5961 0.24821
990 2.59323 0.2456
990.5 2.59035 0.24299
991 2.58744 0.24039
991.5 2.58448 0.23778
992 2.58146 0.23517
992.5 2.57835 0.23256
993 2.57517 0.22995
993.5 2.5719 0.22734
994 2.56858 0.22473
994.5 2.56521 0.22213
995 2.5618 0.21952
995.5 2.55835 0.21691
996 2.55487 0.2143
996.5 2.55138 0.21169
997 2.54786 0.20909
997.5 2.54435 0.20648
998 2.54084 0.20387
998.5 2.53734 0.20127
999 2.53387 0.19882
999.5 2.53043 0.19637
1000 2.52702 0.19392

