# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
300.0 2.159561 0.604633
300.5 2.161817 0.571300
301.0 2.164072 0.503917
301.5 2.166297 0.470750
302.0 2.168522 0.463733
302.5 2.173154 0.461433
303.0 2.177787 0.445783
303.5 2.181663 0.443467
304.0 2.185540 0.445867
304.5 2.186796 0.437483
305.0 2.188051 0.454633
305.5 2.188906 0.465500
306.0 2.189762 0.465950
306.5 2.190994 0.474550
307.0 2.192225 0.467983
307.5 2.193019 0.447200
308.0 2.193813 0.435083
308.5 2.194300 0.436000
309.0 2.194787 0.437983
309.5 2.194369 0.447100
310.0 2.193952 0.449233
310.5 2.194012 0.454483
311.0 2.194073 0.444267
311.5 2.194268 0.437667
312.0 2.194462 0.444100
312.5 2.195131 0.441250
313.0 2.195800 0.448200
313.5 2.196401 0.448783
314.0 2.197002 0.442700
314.5 2.197385 0.436550
315.0 2.197767 0.432467
315.5 2.197794 0.431917
316.0 2.197822 0.430983
316.5 2.197202 0.433300
317.0 2.196583 0.435583
317.5 2.195754 0.438100
318.0 2.194925 0.442750
318.5 2.194098 0.444100
319.0 2.193272 0.446633
319.5 2.192467 0.449450
320.0 2.191661 0.443567
320.5 2.190739 0.443750
321.0 2.189817 0.443717
321.5 2.188985 0.443750
322.0 2.188153 0.447950
322.5 2.187924 0.448083
323.0 2.187696 0.451700
323.5 2.187078 0.448967
324.0 2.186459 0.444967
324.5 2.185805 0.445167
325.0 2.185150 0.440717
325.5 2.185248 0.442983
326.0 2.185345 0.451067
326.5 2.185734 0.452567
327.0 2.186123 0.453533
327.5 2.186498 0.451517
328.0 2.186874 0.444533
328.5 2.187718 0.442083
329.0 2.188563 0.442983
329.5 2.189649 0.442533
330.0 2.190735 0.443167
330.5 2.191811 0.441733
331.0 2.192887 0.439133
331.5 2.194379 0.439333
332.0 2.195870 0.440983
332.5 2.197610 0.441600
333.0 2.199349 0.442350
333.5 2.201073 0.443417
334.0 2.202796 0.444833
334.5 2.204505 0.448267
335.0 2.206214 0.450700
335.5 2.207856 0.452250
336.0 2.209498 0.451050
336.5 2.211067 0.448650
337.0 2.212636 0.446783
337.5 2.214176 0.445083
338.0 2.215717 0.445200
338.5 2.217245 0.443933
339.0 2.218772 0.443600
339.5 2.220295 0.441250
340.0 2.221817 0.441517
340.5 2.223377 0.444617
341.0 2.224938 0.445883
341.5 2.226282 0.447850
342.0 2.227626 0.447983
342.5 2.228449 0.446683
343.0 2.229272 0.444983
343.5 2.230523 0.446283
344.0 2.231774 0.444800
344.5 2.233380 0.443217
345.0 2.234986 0.443733
345.5 2.236600 0.443083
346.0 2.238214 0.443283
346.5 2.239800 0.445383
347.0 2.241386 0.446783
347.5 2.242967 0.447483
348.0 2.244548 0.448150
348.5 2.246116 0.448333
349.0 2.247683 0.448250
349.5 2.249247 0.447500
350.0 2.250811 0.447583
350.5 2.251764 0.446433
351.0 2.252716 0.447400
351.5 2.252992 0.445567
352.0 2.253268 0.444233
352.5 2.253359 0.442350
353.0 2.253450 0.443067
353.5 2.253541 0.444800
354.0 2.253633 0.445067
354.5 2.253871 0.448733
355.0 2.254110 0.447267
355.5 2.255044 0.446567
356.0 2.255977 0.446883
356.5 2.257245 0.445033
357.0 2.258512 0.445700
357.5 2.259050 0.443683
358.0 2.259588 0.442400
358.5 2.259630 0.442133
359.0 2.259672 0.439117
359.5 2.259671 0.439683
360.0 2.259669 0.439617
360.5 2.259667 0.437500
361.0 2.259666 0.435167
361.5 2.259665 0.433117
362.0 2.259663 0.431500
362.5 2.259662 0.432317
363.0 2.259661 0.434633
363.5 2.259659 0.434067
364.0 2.259658 0.435233
364.5 2.260366 0.434333
365.0 2.261074 0.433000
365.5 2.262247 0.432450
366.0 2.263420 0.431883
366.5 2.264225 0.430800
367.0 2.265030 0.430383
367.5 2.265471 0.428900
368.0 2.265912 0.426500
368.5 2.266738 0.425650
369.0 2.267565 0.425217
369.5 2.267966 0.418983
370.0 2.268367 0.415433
370.5 2.268334 0.409317
371.0 2.268302 0.403850
371.5 2.268244 0.402283
372.0 2.268186 0.401033
372.5 2.268121 0.401050
373.0 2.268056 0.398900
373.5 2.267991 0.396567
374.0 2.267927 0.396433
374.5 2.267862 0.395333
375.0 2.267798 0.397300
375.5 2.267735 0.398100
376.0 2.267672 0.397833
376.5 2.267611 0.398233
377.0 2.267550 0.396717
377.5 2.267489 0.395500
378.0 2.267428 0.392967
378.5 2.267368 0.392667
379.0 2.267307 0.390617
379.5 2.267247 0.388817
380.0 2.267186 0.388800
380.5 2.267128 0.385667
381.0 2.267070 0.382717
381.5 2.267015 0.382067
382.0 2.266961 0.379350
382.5 2.266907 0.377850
383.0 2.266853 0.378467
383.5 2.266799 0.376683
384.0 2.266745 0.375850
384.5 2.266691 0.375883
385.0 2.266637 0.374967
385.5 2.266578 0.373983
386.0 2.266519 0.373683
386.5 2.266455 0.373000
387.0 2.266390 0.370850
387.5 2.266324 0.368383
388.0 2.266258 0.366917
388.5 2.266192 0.365167
389.0 2.266126 0.365267
389.5 2.266060 0.365467
390.0 2.265994 0.363850
390.5 2.265916 0.363233
391.0 2.265837 0.361533
391.5 2.265745 0.360133
392.0 2.265653 0.359383
392.5 2.264982 0.358583
393.0 2.264312 0.357383
393.5 2.263212 0.355983
394.0 2.262113 0.354283
394.5 2.261031 0.352783
395.0 2.259950 0.352317
395.5 2.259505 0.351350
396.0 2.259061 0.350033
396.5 2.258498 0.347450
397.0 2.257935 0.346550
397.5 2.257101 0.345233
398.0 2.256267 0.344433
398.5 2.255899 0.344600
399.0 2.255531 0.342483
399.5 2.254868 0.341250
400.0 2.254206 0.341000
