# DOI:10.1080/14686996.2018.1530050 + 10.1002/aenm.201702854 
# | wavelength | n | k
405.5 1.513909 0.049467
406.0 1.513057 0.049423
406.5 1.512163 0.049380
407.0 1.511224 0.049336
407.5 1.510235 0.049293
408.0 1.509194 0.049249
408.5 1.508098 0.049206
409.0 1.506945 0.049163
409.5 1.505740 0.049119
410.0 1.504487 0.049076
410.5 1.503189 0.049032
411.0 1.501850 0.048988
411.5 1.500475 0.048941
412.0 1.499067 0.048895
412.5 1.497629 0.048849
413.0 1.496166 0.048803
413.5 1.494681 0.048757
414.0 1.493179 0.048711
414.5 1.491662 0.048665
415.0 1.490136 0.048619
415.5 1.488602 0.048573
416.0 1.487061 0.048527
416.5 1.485515 0.048481
417.0 1.483964 0.048435
417.5 1.482408 0.048389
418.0 1.480848 0.048343
418.5 1.479284 0.048297
419.0 1.477718 0.048251
419.5 1.476149 0.048205
420.0 1.474579 0.048159
420.5 1.473007 0.048113
421.0 1.471436 0.048067
421.5 1.469864 0.048020
422.0 1.468293 0.047982
422.5 1.466724 0.047995
423.0 1.465156 0.048008
423.5 1.463591 0.048020
424.0 1.462030 0.048033
424.5 1.460472 0.048046
425.0 1.458919 0.048059
425.5 1.457374 0.048072
426.0 1.455837 0.048085
426.5 1.454312 0.048098
427.0 1.452799 0.048111
427.5 1.451300 0.048124
428.0 1.449817 0.048137
428.5 1.448353 0.048150
429.0 1.446908 0.048163
429.5 1.445485 0.048176
430.0 1.444085 0.048189
430.5 1.442710 0.048202
431.0 1.441363 0.048215
431.5 1.440044 0.048228
432.0 1.438756 0.048241
432.5 1.437500 0.048254
433.0 1.436279 0.048267
433.5 1.435094 0.048366
434.0 1.433946 0.048490
434.5 1.432838 0.048615
435.0 1.431772 0.048740
435.5 1.430749 0.048865
436.0 1.429767 0.048990
436.5 1.428825 0.049115
437.0 1.427919 0.049240
437.5 1.427046 0.049365
438.0 1.426205 0.049490
438.5 1.425391 0.049615
439.0 1.424604 0.049740
439.5 1.423838 0.049865
440.0 1.423093 0.049990
440.5 1.422365 0.050115
441.0 1.421651 0.050240
441.5 1.420949 0.050365
442.0 1.420255 0.050490
442.5 1.419568 0.050614
443.0 1.418885 0.050739
443.5 1.418202 0.050864
444.0 1.417517 0.050989
444.5 1.416827 0.051114
445.0 1.416130 0.051239
445.5 1.415422 0.051364
446.0 1.414702 0.051551
446.5 1.413965 0.051775
447.0 1.413210 0.051998
447.5 1.412436 0.052221
448.0 1.411643 0.052445
448.5 1.410836 0.052668
449.0 1.410016 0.052891
449.5 1.409188 0.053115
450.0 1.408353 0.053338
450.5 1.407514 0.053562
451.0 1.406675 0.053785
451.5 1.405838 0.054008
452.0 1.405006 0.054232
452.5 1.404182 0.054455
453.0 1.403369 0.054678
453.5 1.402569 0.054902
454.0 1.401785 0.055125
454.5 1.401021 0.055351
455.0 1.400279 0.055578
455.5 1.399561 0.055804
456.0 1.398870 0.056031
456.5 1.398201 0.056257
457.0 1.397551 0.056484
457.5 1.396916 0.056711
458.0 1.396293 0.056937
458.5 1.395678 0.057164
459.0 1.395067 0.057390
459.5 1.394457 0.057617
460.0 1.393842 0.057843
460.5 1.393221 0.058070
461.0 1.392589 0.058296
461.5 1.391942 0.058523
462.0 1.391277 0.058749
462.5 1.390590 0.058976
463.0 1.389877 0.059203
463.5 1.389134 0.059429
464.0 1.388358 0.059656
464.5 1.387546 0.059882
465.0 1.386692 0.060109
465.5 1.385794 0.060335
466.0 1.384847 0.060562
466.5 1.383849 0.060788
467.0 1.382795 0.061041
467.5 1.381681 0.061301
468.0 1.380506 0.061561
468.5 1.379270 0.061821
469.0 1.377980 0.062081
469.5 1.376639 0.062341
470.0 1.375252 0.062601
470.5 1.373824 0.062861
471.0 1.372360 0.063121
471.5 1.370863 0.063381
472.0 1.369339 0.063641
472.5 1.367792 0.063901
473.0 1.366228 0.064161
473.5 1.364649 0.064422
474.0 1.363062 0.064682
474.5 1.361470 0.064988
475.0 1.359878 0.065300
475.5 1.358291 0.065612
476.0 1.356714 0.065923
476.5 1.355151 0.066235
477.0 1.353606 0.066547
477.5 1.352085 0.066859
478.0 1.350592 0.067171
478.5 1.349131 0.067483
479.0 1.347707 0.067795
479.5 1.346325 0.068107
480.0 1.344986 0.068419
480.5 1.343685 0.068730
481.0 1.342417 0.069042
481.5 1.341176 0.069354
482.0 1.339958 0.069666
482.5 1.338756 0.069978
483.0 1.337567 0.070291
483.5 1.336384 0.070608
484.0 1.335203 0.070926
484.5 1.334017 0.071243
485.0 1.332823 0.071560
485.5 1.331614 0.071877
486.0 1.330385 0.072195
486.5 1.329131 0.072512
487.0 1.327847 0.072829
487.5 1.326531 0.073146
488.0 1.325183 0.073464
488.5 1.323802 0.073776
489.0 1.322389 0.074012
489.5 1.320944 0.074249
490.0 1.319467 0.074485
490.5 1.317959 0.074721
491.0 1.316419 0.074958
491.5 1.314847 0.075194
492.0 1.313244 0.075431
492.5 1.311609 0.075667
493.0 1.309944 0.075904
493.5 1.308247 0.076140
494.0 1.306519 0.076327
494.5 1.304761 0.076504
495.0 1.302971 0.076681
495.5 1.301151 0.076858
496.0 1.299301 0.077035
496.5 1.297420 0.077213
497.0 1.295510 0.077390
497.5 1.293579 0.077567
498.0 1.291641 0.077744
498.5 1.289713 0.077921
499.0 1.287806 0.078098
499.5 1.285937 0.078275
500.0 1.284119 0.078452
500.5 1.282367 0.078629
501.0 1.280695 0.078806
501.5 1.279118 0.078983
502.0 1.277650 0.079160
502.5 1.276304 0.079337
503.0 1.275082 0.079514
503.5 1.273974 0.079694
504.0 1.272973 0.079882
504.5 1.272070 0.080070
505.0 1.271257 0.080258
505.5 1.270524 0.080446
506.0 1.269863 0.080634
506.5 1.269267 0.080822
507.0 1.268725 0.081010
507.5 1.268231 0.081198
508.0 1.267774 0.081387
508.5 1.267348 0.081575
509.0 1.266942 0.081763
509.5 1.266549 0.081951
