# DOI:Calculated from 10.1116/1.5121604 
# | wavelength | n | k
229.0 2.621244 NaN
229.5 2.610289 0.383599
230.0 2.599151 0.384954
230.5 2.588372 0.386364
231.0 2.578351 0.389191
231.5 2.568949 0.392009
232.0 2.560042 0.394788
232.5 2.551634 0.397990
233.0 2.543654 0.401597
233.5 2.535987 0.405257
234.0 2.528537 0.409087
234.5 2.521222 0.412912
235.0 2.514005 0.416716
235.5 2.506875 0.420462
236.0 2.499817 0.424228
236.5 2.492803 0.428118
237.0 2.485734 0.432190
237.5 2.478483 0.436593
238.0 2.470910 0.441320
238.5 2.463165 0.446089
239.0 2.455810 0.450827
239.5 2.449244 0.455464
240.0 2.443535 0.459755
240.5 2.438786 0.463783
241.0 2.435012 0.467653
241.5 2.431752 0.471433
242.0 2.428362 0.475234
242.5 2.424205 0.479250
243.0 2.418725 0.483582
243.5 2.412579 0.488045
244.0 2.407114 0.492364
244.5 2.403357 0.496344
245.0 2.400891 0.500084
245.5 2.398825 0.503263
246.0 2.396412 0.506450
246.5 2.393026 0.509813
247.0 2.389202 0.513269
247.5 2.386052 0.516977
248.0 2.384342 0.520906
248.5 2.383574 0.524664
249.0 2.383076 0.528355
249.5 2.382085 0.531759
250.0 2.380379 0.534869
250.5 2.378496 0.537811
251.0 2.377028 0.540562
251.5 2.376609 0.544739
252.0 2.376734 0.549001
252.5 2.377052 0.553010
253.0 2.377068 0.555661
253.5 2.376982 0.558305
254.0 2.376946 0.560939
254.5 2.377072 0.563505
255.0 2.377505 0.566000
255.5 2.378375 0.568407
256.0 2.379724 0.570755
256.5 2.381459 0.573105
257.0 2.383415 0.575394
257.5 2.385451 0.577583
258.0 2.387482 0.579419
258.5 2.389512 0.580816
259.0 2.391705 0.582168
259.5 2.394052 0.583350
260.0 2.396280 0.583983
260.5 2.398331 0.584657
261.0 2.400015 0.585400
261.5 2.401218 0.586055
262.0 2.402130 0.586563
262.5 2.402950 0.586607
263.0 2.404032 0.586594
263.5 2.405477 0.586492
264.0 2.407170 0.586495
264.5 2.409018 0.587052
265.0 2.410677 0.587635
265.5 2.412043 0.588323
266.0 2.413073 0.588660
266.5 2.413690 0.587995
267.0 2.414214 0.587361
267.5 2.414695 0.586724
268.0 2.415079 0.586088
268.5 2.415272 0.585480
269.0 2.415214 0.584939
269.5 2.414810 0.584355
270.0 2.414013 0.583329
270.5 2.412993 0.582199
271.0 2.411920 0.581090
271.5 2.410909 0.580068
272.0 2.409984 0.579021
272.5 2.409077 0.577962
273.0 2.408094 0.576875
273.5 2.406844 0.575325
274.0 2.405393 0.573825
274.5 2.403727 0.572381
275.0 2.401827 0.570988
275.5 2.399800 0.570093
276.0 2.397527 0.569339
276.5 2.394939 0.568652
277.0 2.391998 0.568034
277.5 2.388758 0.567960
278.0 2.385267 0.568246
278.5 2.381756 0.568529
279.0 2.378526 0.568758
279.5 2.375826 0.568869
280.0 2.373601 0.568981
280.5 2.371608 0.569278
281.0 2.369538 0.569605
281.5 2.367157 0.570010
282.0 2.364211 0.570537
282.5 2.360610 0.571211
283.0 2.356667 0.572310
283.5 2.352624 0.573794
284.0 2.348652 0.575264
284.5 2.344904 0.576696
285.0 2.341354 0.578075
285.5 2.337991 0.579407
286.0 2.334782 0.580699
286.5 2.331704 0.582168
287.0 2.328676 0.583666
287.5 2.325644 0.585173
288.0 2.322576 0.586800
288.5 2.319464 0.588452
289.0 2.316345 0.590122
289.5 2.313323 0.592017
290.0 2.310465 0.594231
290.5 2.307737 0.596421
291.0 2.305159 0.598576
291.5 2.302678 0.600704
292.0 2.300290 0.602960
292.5 2.297895 0.605266
293.0 2.295419 0.607591
293.5 2.292795 0.610003
294.0 2.289959 0.612457
294.5 2.286944 0.614965
295.0 2.283777 0.617507
295.5 2.280542 0.620194
296.0 2.277337 0.623198
296.5 2.274131 0.626216
297.0 2.270973 0.629234
