# DOI:Calculated from 10.1116/1.5121604 
# | wavelength | n | k
342.0 2.233567 1.338619
342.5 2.243686 1.342905
343.0 2.253709 1.347303
343.5 2.263455 1.351915
344.0 2.273022 1.356653
344.5 2.282556 1.361400
345.0 2.292202 1.366044
345.5 2.302106 1.370475
346.0 2.312329 1.374644
346.5 2.322767 1.378618
347.0 2.333310 1.382463
347.5 2.343862 1.386235
348.0 2.354329 1.389884
348.5 2.364697 1.393409
349.0 2.375101 1.396898
349.5 2.385619 1.400307
350.0 2.396318 1.403591
350.5 2.407262 1.406708
351.0 2.418333 1.409344
351.5 2.429599 1.411484
352.0 2.441204 1.413392
352.5 2.453078 1.415117
353.0 2.465125 1.416693
353.5 2.477122 1.417829
354.0 2.489149 1.418852
354.5 2.501257 1.419792
355.0 2.513373 1.420437
355.5 2.525527 1.420754
356.0 2.537883 1.420897
356.5 2.550481 1.420918
357.0 2.563272 1.420849
357.5 2.576206 1.420716
358.0 2.589150 1.420391
358.5 2.601971 1.419736
359.0 2.614832 1.419066
359.5 2.627753 1.418378
360.0 2.640751 1.417659
360.5 2.653650 1.416585
361.0 2.666371 1.414922
361.5 2.679217 1.413219
362.0 2.692193 1.411472
362.5 2.704984 1.409158
363.0 2.717479 1.406059
363.5 2.730013 1.402751
364.0 2.742660 1.399414
364.5 2.755409 1.396055
365.0 2.768153 1.392485
365.5 2.780861 1.388648
366.0 2.793558 1.384542
366.5 2.806339 1.380425
367.0 2.818819 1.375595
367.5 2.831301 1.370610
368.0 2.843839 1.365588
368.5 2.856353 1.360312
369.0 2.868932 1.355040
369.5 2.881573 1.349781
370.0 2.893944 1.343870
370.5 2.906354 1.337859
371.0 2.918849 1.331843
371.5 2.931441 1.325831
372.0 2.944025 1.319575
372.5 2.956417 1.312667
373.0 2.968817 1.305398
373.5 2.981345 1.298136
374.0 2.993943 1.290908
374.5 3.006432 1.283438
375.0 3.018460 1.275134
375.5 3.030392 1.266928
376.0 3.042151 1.258785
376.5 3.053623 1.250596
377.0 3.064593 1.241909
377.5 3.075227 1.232991
378.0 3.085609 1.224104
378.5 3.095785 1.215364
379.0 3.105272 1.205575
379.5 3.113700 1.193789
380.0 3.122049 1.182248
380.5 3.130658 1.171738
381.0 3.139117 1.161234
381.5 3.147447 1.150845
382.0 3.155772 1.140947
382.5 3.163917 1.131039
383.0 3.171756 1.120851
383.5 3.179386 1.110787
384.0 3.186793 1.100855
384.5 3.193945 1.090987
385.0 3.200826 1.081177
385.5 3.207464 1.071496
386.0 3.213848 1.061934
386.5 3.219974 1.052495
387.0 3.225860 1.043270
387.5 3.231002 1.032814
388.0 3.235440 1.021144
388.5 3.239643 1.009580
389.0 3.243623 0.998110
389.5 3.247390 0.986731
390.0 3.250731 0.974585
390.5 3.253883 0.962432
391.0 3.256987 0.950745
391.5 3.259905 0.939132
392.0 3.262673 0.927793
392.5 3.265308 0.916919
393.0 3.267679 0.906144
393.5 3.269738 0.895473
394.0 3.271434 0.884919
394.5 3.272717 0.874491
395.0 3.273605 0.864447
395.5 3.274098 0.854560
396.0 3.274129 0.843990
396.5 3.273705 0.832091
397.0 3.273367 0.820159
397.5 3.273280 0.808148
398.0 3.273355 0.795893
398.5 3.273365 0.783623
399.0 3.273055 0.771431
399.5 3.272310 0.759348
400.0 3.271218 0.747340
400.5 3.269864 0.735400
401.0 3.268361 0.723550
401.5 3.266816 0.711689
402.0 3.265886 0.702507
402.5 3.264909 0.693402
403.0 3.263840 0.684310
403.5 3.262637 0.675280
404.0 3.261255 0.666297
404.5 3.259643 0.657357
405.0 3.257766 0.648461
405.5 3.255636 0.639607
406.0 3.253292 0.630786
406.5 3.250802 0.622125
407.0 3.248239 0.613643
407.5 3.245632 0.605158
408.0 3.243021 0.596667
408.5 3.240657 0.589722
409.0 3.238224 0.583371
409.5 3.235490 0.577101
410.0 3.232399 0.571231
410.5 3.228916 0.565412
411.0 3.225161 0.559623
411.5 3.221259 0.553847
412.0 3.217317 0.548059
412.5 3.213393 0.542257
413.0 3.209531 0.536434
413.5 3.205744 0.530530
414.0 3.202013 0.524541
414.5 3.198305 0.518536
415.0 3.194725 0.513377
415.5 3.191129 0.508788
416.0 3.187344 0.504409
416.5 3.183303 0.500452
417.0 3.178873 0.496555
417.5 3.174060 0.492711
418.0 3.168989 0.488899
418.5 3.163802 0.485080
419.0 3.158632 0.481237
419.5 3.153615 0.477360
420.0 3.148794 0.473584
420.5 3.144186 0.470016
421.0 3.139711 0.466417
421.5 3.135355 0.463054
422.0 3.131062 0.459875
422.5 3.126820 0.456926
423.0 3.122619 0.454315
423.5 3.118378 0.451697
424.0 3.114080 0.449075
424.5 3.109723 0.446455
425.0 3.105332 0.443824
425.5 3.100928 0.441189
426.0 3.096526 0.438567
426.5 3.092164 0.436221
427.0 3.087808 0.433918
427.5 3.083460 0.431610
428.0 3.079124 0.429298
428.5 3.074794 0.426967
429.0 3.070464 0.424629
429.5 3.066137 0.422285
430.0 3.061898 0.420389
430.5 3.057802 0.419181
431.0 3.053778 0.417962
431.5 3.049840 0.416729
432.0 3.046018 0.415473
432.5 3.042326 0.414193
433.0 3.038782 0.412885
433.5 3.035353 0.411553
434.0 3.032007 0.410264
434.5 3.028743 0.409279
435.0 3.025481 0.408301
435.5 3.022197 0.407461
436.0 3.018838 0.406626
436.5 3.015377 0.405865
437.0 3.011783 0.405183
437.5 3.008055 0.404518
438.0 3.004192 0.403869
438.5 3.000226 0.403236
439.0 2.996203 0.402769
439.5 2.992251 0.403135
440.0 2.988291 0.403603
440.5 2.984354 0.404203
441.0 2.980456 0.404804
441.5 2.976602 0.405405
442.0 2.972800 0.406063
442.5 2.969084 0.407010
443.0 2.965420 0.407953
443.5 2.961848 0.408893
444.0 2.958420 0.409813
444.5 2.955190 0.410705
445.0 2.952217 0.411606
445.5 2.949554 0.412485
446.0 2.947205 0.413337
446.5 2.945132 0.414143
447.0 2.943294 0.414914
447.5 2.941647 0.415654
448.0 2.940157 0.416368
448.5 2.938778 0.417067
449.0 2.937473 0.417751
449.5 2.936197 0.418421
450.0 2.934928 0.419245
450.5 2.933611 0.420077
451.0 2.932230 0.420918
451.5 2.930813 0.421765
452.0 2.929385 0.422613
452.5 2.927989 0.423521
453.0 2.926648 0.424438
453.5 2.925393 0.425348
454.0 2.924245 0.426244
454.5 2.923206 0.427181
455.0 2.922259 0.428147
455.5 2.921380 0.429107
456.0 2.920554 0.430101
456.5 2.919788 0.431304
457.0 2.919027 0.432498
457.5 2.918293 0.433688
458.0 2.917604 0.434870
458.5 2.916993 0.436039
459.0 2.916485 0.437191
459.5 2.916110 0.438322
460.0 2.915889 0.439432
460.5 2.915857 0.440519
461.0 2.916027 0.441503
461.5 2.916403 0.442372
462.0 2.916982 0.443207
462.5 2.917733 0.444018
463.0 2.918641 0.444801
463.5 2.919674 0.445558
464.0 2.920812 0.446298
464.5 2.922034 0.447014
465.0 2.923339 0.447714
465.5 2.924736 0.448333
466.0 2.926202 0.448658
466.5 2.927790 0.448967
467.0 2.929516 0.449254
467.5 2.931394 0.449524
468.0 2.933398 0.449775
468.5 2.935485 0.450019
469.0 2.937613 0.450259
469.5 2.939759 0.450501
470.0 2.941918 0.450738
470.5 2.944110 0.450991
471.0 2.946337 0.451210
471.5 2.948611 0.451330
472.0 2.950956 0.451432
472.5 2.953383 0.451515
473.0 2.955876 0.451583
473.5 2.958389 0.451643
474.0 2.960879 0.451701
474.5 2.963354 0.451764
475.0 2.965809 0.451804
475.5 2.968231 0.451722
476.0 2.970629 0.451523
476.5 2.973067 0.451324
477.0 2.975612 0.451119
477.5 2.978311 0.450900
478.0 2.981155 0.450664
478.5 2.984135 0.450415
479.0 2.987235 0.450149
479.5 2.990440 0.449865
480.0 2.993693 0.449289
480.5 2.996988 0.448529
481.0 3.000297 0.447762
481.5 3.003611 0.446990
482.0 3.006919 0.446222
482.5 3.010219 0.445450
483.0 3.013501 0.444684
483.5 3.016754 0.443905
484.0 3.019919 0.442721
484.5 3.023022 0.441191
485.0 3.026120 0.439665
485.5 3.029229 0.438143
486.0 3.032359 0.436622
486.5 3.035524 0.435099
487.0 3.038743 0.433573
487.5 3.042017 0.432030
488.0 3.045305 0.430146
488.5 3.048632 0.428262
489.0 3.051970 0.426362
489.5 3.055278 0.424342
490.0 3.058542 0.422336
490.5 3.061730 0.420346
491.0 3.064827 0.418370
491.5 3.067744 0.415990
492.0 3.070486 0.413383
492.5 3.073083 0.410796
493.0 3.075538 0.408237
493.5 3.077837 0.405660
494.0 3.079901 0.402306
494.5 3.081845 0.398936
495.0 3.083691 0.395581
495.5 3.085453 0.392240
496.0 3.087150 0.388913
496.5 3.088715 0.385000
497.0 3.090224 0.380966
497.5 3.091683 0.376848
498.0 3.093073 0.372728
498.5 3.094384 0.368620
499.0 3.095587 0.364478
499.5 3.096662 0.360282
500.0 3.097593 0.356108
500.5 3.098368 0.351950
501.0 3.098961 0.347807
501.5 3.099329 0.343584
502.0 3.099471 0.339436
502.5 3.099378 0.335581
503.0 3.099017 0.331747
503.5 3.098441 0.327926
504.0 3.097704 0.324118
504.5 3.096854 0.320316
505.0 3.095946 0.316516
505.5 3.095039 0.312766
506.0 3.094200 0.309388
506.5 3.093437 0.306046
507.0 3.092731 0.302725
507.5 3.092061 0.299403
508.0 3.091404 0.296080
508.5 3.090741 0.292758
509.0 3.090050 0.289435
509.5 3.089317 0.286114
510.0 3.088520 0.282797
510.5 3.087662 0.279487
511.0 3.086757 0.276174
511.5 3.085816 0.272813
512.0 3.084834 0.269207
512.5 3.083865 0.265882
513.0 3.082917 0.262685
513.5 3.081992 0.259482
514.0 3.081098 0.256282
514.5 3.080224 0.253078
515.0 3.079362 0.249872
515.5 3.078510 0.246667
516.0 3.077659 0.243488
