# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
413.0 2.166940 0.285983
413.5 2.166701 0.284467
414.0 2.166461 0.283850
414.5 2.166101 0.282567
415.0 2.165742 0.281417
415.5 2.164973 0.279583
416.0 2.164203 0.277717
416.5 2.163247 0.276517
417.0 2.162290 0.274933
417.5 2.161401 0.274883
418.0 2.160511 0.274783
418.5 2.159907 0.274783
419.0 2.159303 0.274550
419.5 2.158989 0.273133
420.0 2.158675 0.272217
420.5 2.157975 0.270800
421.0 2.157275 0.269683
421.5 2.156511 0.268167
422.0 2.155747 0.266567
422.5 2.155490 0.265783
423.0 2.155233 0.265583
423.5 2.155051 0.264917
424.0 2.154870 0.264033
424.5 2.154689 0.262583
425.0 2.154508 0.261133
425.5 2.154331 0.260750
426.0 2.154154 0.260267
426.5 2.153869 0.260217
427.0 2.153584 0.259417
427.5 2.152899 0.258767
428.0 2.152213 0.258250
428.5 2.151359 0.256700
429.0 2.150504 0.255350
429.5 2.149665 0.254333
430.0 2.148825 0.252783
430.5 2.148217 0.252317
431.0 2.147610 0.251800
431.5 2.147452 0.251367
432.0 2.147295 0.251167
432.5 2.147138 0.250300
433.0 2.146980 0.249333
433.5 2.146822 0.248217
434.0 2.146665 0.247517
434.5 2.146508 0.246850
435.0 2.146350 0.246667
435.5 2.146186 0.245833
436.0 2.146021 0.245550
436.5 2.145833 0.245417
437.0 2.145644 0.244300
437.5 2.145288 0.243533
438.0 2.144931 0.242217
438.5 2.144108 0.241050
439.0 2.143284 0.240667
439.5 2.142415 0.239783
440.0 2.141545 0.238833
440.5 2.140707 0.238733
441.0 2.139869 0.238167
441.5 2.139272 0.237667
442.0 2.138676 0.237417
442.5 2.138399 0.236817
443.0 2.138121 0.236533
443.5 2.137555 0.236667
444.0 2.136989 0.236133
444.5 2.136189 0.235383
445.0 2.135389 0.234333
445.5 2.134914 0.233400
446.0 2.134439 0.232617
446.5 2.134224 0.232267
447.0 2.134009 0.232400
447.5 2.133793 0.232467
448.0 2.133578 0.232683
448.5 2.133363 0.232183
449.0 2.133148 0.232267
449.5 2.132933 0.231433
450.0 2.132718 0.231117
450.5 2.132385 0.230567
451.0 2.132051 0.229800
451.5 2.131335 0.229850
452.0 2.130619 0.229700
452.5 2.129517 0.230267
453.0 2.128416 0.229800
453.5 2.126503 0.229167
454.0 2.124590 0.228483
454.5 2.122885 0.227900
455.0 2.121179 0.228133
455.5 2.120736 0.228417
456.0 2.120293 0.228517
456.5 2.120219 0.228050
457.0 2.120144 0.227500
457.5 2.120495 0.226983
458.0 2.120846 0.226850
458.5 2.121119 0.226350
459.0 2.121393 0.226367
459.5 2.121239 0.226533
460.0 2.121086 0.226483
460.5 2.120871 0.227400
461.0 2.120655 0.227967
461.5 2.120439 0.228800
462.0 2.120224 0.229283
462.5 2.120008 0.229300
463.0 2.119793 0.229667
463.5 2.119578 0.229550
464.0 2.119363 0.230117
464.5 2.119269 0.230400
465.0 2.119176 0.230883
465.5 2.119471 0.231117
466.0 2.119766 0.231067
466.5 2.120180 0.231117
467.0 2.120594 0.231033
467.5 2.121017 0.232133
468.0 2.121440 0.233367
468.5 2.121861 0.234667
469.0 2.122282 0.235633
469.5 2.122701 0.235450
470.0 2.123120 0.235833
470.5 2.123546 0.236700
471.0 2.123973 0.237700
471.5 2.124433 0.239633
472.0 2.124892 0.240467
472.5 2.125365 0.241683
473.0 2.125838 0.242950
473.5 2.126308 0.243617
474.0 2.126779 0.245400
474.5 2.127296 0.247250
475.0 2.127813 0.248850
475.5 2.128566 0.251000
476.0 2.129318 0.252800
476.5 2.130351 0.253517
477.0 2.131384 0.255783
477.5 2.132413 0.258217
478.0 2.133442 0.260533
478.5 2.138216 0.263667
479.0 2.142991 0.266633
479.5 2.160471 0.269400
480.0 2.177952 0.271950
480.5 2.196309 0.275317
481.0 2.214667 0.277167
481.5 2.219068 0.280250
482.0 2.223470 0.283883
482.5 2.227858 0.287183
483.0 2.232246 0.291683
483.5 2.236751 0.294733
484.0 2.241255 0.297567
484.5 2.245680 0.300150
485.0 2.250104 0.302483
485.5 2.256546 0.305517
486.0 2.262989 0.307583
486.5 2.273475 0.308800
487.0 2.283961 0.309783
487.5 2.281928 0.310067
488.0 2.279895 0.309450
488.5 2.281988 0.308350
489.0 2.284082 0.305700
489.5 2.281741 0.300867
490.0 2.279399 0.295167
490.5 2.278537 0.288933
491.0 2.277675 0.281067
491.5 2.278987 0.271850
492.0 2.280298 0.262283
492.5 2.276318 0.250933
493.0 2.272337 0.238667
493.5 2.270148 0.225850
494.0 2.267959 0.211333
494.5 2.266836 0.196150
495.0 2.265713 0.181150
495.5 2.264808 0.166167
496.0 2.263903 0.151183
496.5 2.263286 0.136617
497.0 2.262670 0.122450
497.5 2.261834 0.109383
498.0 2.260999 0.097600
498.5 2.259202 0.086567
499.0 2.257405 0.076583
499.5 2.254478 0.067767
500.0 2.251550 0.059917
500.5 2.248045 0.052833
501.0 2.244540 0.046183
501.5 2.240443 0.039983
502.0 2.236346 0.034467
502.5 2.230507 0.029617
503.0 2.224669 0.025483
503.5 2.216610 0.021550
504.0 2.208552 0.017900
504.5 2.202009 0.015050
505.0 2.195467 0.012617
505.5 2.192588 0.010950
506.0 2.189710 0.009233
506.5 2.185348 0.007533
507.0 2.180986 0.006400
507.5 2.177963 0.005083
508.0 2.174941 0.004433
508.5 2.173446 0.003833
509.0 2.171951 0.003200
509.5 2.171858 0.002850
510.0 2.171766 0.002383
510.5 2.170151 0.002133
511.0 2.168535 0.001640
511.5 2.167021 0.001258
512.0 2.165507 0.000915
512.5 2.164315 0.000817
513.0 2.163124 0.000767
513.5 2.161886 0.000743
514.0 2.160649 0.000000
514.5 2.158615 0.000000
515.0 2.156581 0.000000
515.5 2.153473 0.000000
516.0 2.150364 0.000000
516.5 2.147917 0.000000
517.0 2.145470 0.000000
517.5 2.144638 0.000000
518.0 2.143806 0.000000
518.5 2.142180 0.000000
519.0 2.140554 0.000000
519.5 2.138747 0.000000
520.0 2.136940 0.000000
520.5 2.134912 0.000000
521.0 2.132883 0.000000
521.5 2.131060 0.000000
522.0 2.129237 0.000000
522.5 2.128037 0.000000
523.0 2.126838 0.000000
523.5 2.125822 0.000000
524.0 2.124806 0.000000
524.5 2.123968 0.000000
525.0 2.123130 0.000000
