# DOI:10.1039/C6TC02135B + experimental 
# | wavelength | n | k
300.0 2.156157 0.850000
300.5 2.157210 0.835333
301.0 2.158264 0.833200
301.5 2.159096 0.830950
302.0 2.159929 0.830167
302.5 2.161483 0.802400
303.0 2.163037 0.793150
303.5 2.164025 0.788133
304.0 2.165012 0.761300
304.5 2.165944 0.745467
305.0 2.166876 0.738133
305.5 2.167090 0.733350
306.0 2.167304 0.723417
306.5 2.166993 0.718667
307.0 2.166682 0.714067
307.5 2.166403 0.689850
308.0 2.166123 0.689550
308.5 2.165834 0.656950
309.0 2.165546 0.668483
309.5 2.165230 0.682667
310.0 2.164915 0.687883
310.5 2.164391 0.681100
311.0 2.163868 0.654900
311.5 2.163647 0.626900
312.0 2.163425 0.601233
312.5 2.163591 0.606150
313.0 2.163758 0.600267
313.5 2.163232 0.608800
314.0 2.162705 0.622267
314.5 2.162752 0.609250
315.0 2.162800 0.608500
315.5 2.163423 0.599933
316.0 2.164047 0.596333
316.5 2.164624 0.584550
317.0 2.165202 0.590517
317.5 2.165916 0.592267
318.0 2.166631 0.590417
318.5 2.167883 0.590533
319.0 2.169135 0.593750
319.5 2.170342 0.588233
320.0 2.171548 0.570800
320.5 2.172845 0.573750
321.0 2.174142 0.567250
321.5 2.175903 0.562717
322.0 2.177664 0.572167
322.5 2.179427 0.565117
323.0 2.181190 0.561867
323.5 2.182930 0.560717
324.0 2.184669 0.563967
324.5 2.186373 0.565700
325.0 2.188077 0.566817
325.5 2.189639 0.572117
326.0 2.191201 0.566150
326.5 2.192697 0.564400
327.0 2.194193 0.560400
327.5 2.195676 0.559033
328.0 2.197160 0.561633
328.5 2.198635 0.556567
329.0 2.200110 0.558183
329.5 2.201607 0.550300
330.0 2.203103 0.543917
330.5 2.204626 0.546900
331.0 2.206148 0.543450
331.5 2.207302 0.546017
332.0 2.208457 0.547367
332.5 2.209357 0.543783
333.0 2.210256 0.545433
333.5 2.211908 0.545717
334.0 2.213561 0.543167
334.5 2.215186 0.548450
335.0 2.216812 0.552283
335.5 2.218446 0.553967
336.0 2.220081 0.557417
336.5 2.221669 0.556467
337.0 2.223257 0.547267
337.5 2.224861 0.543217
338.0 2.226465 0.539800
338.5 2.228042 0.537167
339.0 2.229620 0.538500
339.5 2.231018 0.543367
340.0 2.232416 0.542467
340.5 2.232946 0.541333
341.0 2.233476 0.545567
341.5 2.233617 0.543233
342.0 2.233757 0.547950
342.5 2.233897 0.550583
343.0 2.234037 0.546900
343.5 2.234221 0.547400
344.0 2.234404 0.541017
344.5 2.234929 0.539917
345.0 2.235454 0.537933
345.5 2.236648 0.537517
346.0 2.237842 0.541617
346.5 2.238785 0.536283
347.0 2.239728 0.530750
347.5 2.239813 0.525217
348.0 2.239898 0.520483
348.5 2.239896 0.520467
349.0 2.239893 0.522017
349.5 2.239891 0.523000
350.0 2.239889 0.522717
350.5 2.239886 0.519917
351.0 2.239884 0.523250
351.5 2.239882 0.520050
352.0 2.239880 0.517983
352.5 2.239877 0.517317
353.0 2.239875 0.514550
353.5 2.240080 0.511983
354.0 2.240285 0.511217
354.5 2.241332 0.509983
355.0 2.242379 0.507033
355.5 2.243364 0.508600
356.0 2.244349 0.509283
356.5 2.244832 0.512133
357.0 2.245314 0.511833
357.5 2.245779 0.510900
358.0 2.246243 0.506967
358.5 2.247044 0.502483
359.0 2.247845 0.501083
359.5 2.247820 0.500800
360.0 2.247795 0.501533
360.5 2.247718 0.500250
361.0 2.247640 0.496517
361.5 2.247541 0.492533
362.0 2.247442 0.487383
362.5 2.247343 0.487500
363.0 2.247243 0.486200
363.5 2.247143 0.480700
364.0 2.247044 0.480450
364.5 2.246945 0.476283
365.0 2.246847 0.474417
365.5 2.246752 0.475183
366.0 2.246657 0.472717
366.5 2.246563 0.465500
367.0 2.246470 0.461650
367.5 2.246377 0.458500
368.0 2.246283 0.455467
368.5 2.246190 0.457350
369.0 2.246097 0.454150
369.5 2.246005 0.453583
370.0 2.245913 0.450150
370.5 2.245827 0.447883
371.0 2.245742 0.449850
371.5 2.245659 0.445517
372.0 2.245576 0.447467
372.5 2.245493 0.448633
373.0 2.245410 0.447750
373.5 2.245327 0.450733
374.0 2.245244 0.446950
374.5 2.245158 0.439867
375.0 2.245072 0.434600
375.5 2.244975 0.429533
376.0 2.244879 0.427533
376.5 2.244778 0.428000
377.0 2.244676 0.425367
377.5 2.244575 0.422667
378.0 2.244473 0.421333
378.5 2.244372 0.419200
379.0 2.244270 0.419050
379.5 2.244162 0.421500
380.0 2.244055 0.422517
380.5 2.243920 0.422600
381.0 2.243785 0.422317
381.5 2.243470 0.415350
382.0 2.243156 0.411233
382.5 2.242143 0.410200
383.0 2.241130 0.406550
383.5 2.240031 0.407000
384.0 2.238933 0.404367
384.5 2.238092 0.402167
385.0 2.237251 0.402517
385.5 2.236967 0.401117
386.0 2.236684 0.399300
386.5 2.235856 0.396117
387.0 2.235028 0.393367
387.5 2.234339 0.391883
388.0 2.233651 0.390417
388.5 2.233339 0.389400
389.0 2.233026 0.386917
389.5 2.232111 0.384600
390.0 2.231195 0.383367
390.5 2.230611 0.379867
391.0 2.230027 0.378633
391.5 2.229821 0.376867
392.0 2.229616 0.376900
392.5 2.229302 0.377500
393.0 2.228987 0.375367
393.5 2.228165 0.374250
394.0 2.227343 0.370367
394.5 2.226221 0.367667
395.0 2.225098 0.366850
395.5 2.224060 0.365400
396.0 2.223022 0.366300
396.5 2.222555 0.366017
397.0 2.222089 0.365033
397.5 2.221853 0.363417
398.0 2.221618 0.361083
398.5 2.221248 0.359567
399.0 2.220879 0.357217
399.5 2.219926 0.354533
400.0 2.218974 0.352717
400.5 2.217824 0.351800
401.0 2.216675 0.350317
401.5 2.215645 0.349500
402.0 2.214615 0.348433
402.5 2.214137 0.345533
403.0 2.213660 0.343533
403.5 2.213049 0.341467
404.0 2.212438 0.338983
404.5 2.211433 0.337717
405.0 2.210428 0.335783
405.5 2.209967 0.334117
406.0 2.209507 0.331450
406.5 2.209231 0.329033
407.0 2.208955 0.328183
407.5 2.208564 0.327133
408.0 2.208173 0.327083
408.5 2.207261 0.326400
409.0 2.206348 0.324933
409.5 2.205204 0.324100
410.0 2.204061 0.323133
410.5 2.203055 0.321683
411.0 2.202050 0.320283
411.5 2.201496 0.317450
412.0 2.200942 0.315533
412.5 2.200528 0.314150
413.0 2.200115 0.313100
413.5 2.199034 0.312567
414.0 2.197954 0.311267
414.5 2.196868 0.309333
415.0 2.195782 0.307100
415.5 2.194720 0.305217
416.0 2.193659 0.304517
416.5 2.192633 0.303650
417.0 2.191607 0.302683
417.5 2.190828 0.301600
418.0 2.190050 0.300033
418.5 2.189817 0.298650
419.0 2.189583 0.297433
419.5 2.189356 0.295583
420.0 2.189129 0.293933
420.5 2.188932 0.293033
421.0 2.188736 0.291833
421.5 2.188552 0.290967
422.0 2.188368 0.290533
422.5 2.188184 0.289867
423.0 2.188000 0.289100
423.5 2.187716 0.288133
424.0 2.187432 0.287167
424.5 2.186690 0.285400
425.0 2.185948 0.284100
425.5 2.184979 0.283400
426.0 2.184011 0.281717
426.5 2.183102 0.281183
427.0 2.182192 0.280800
427.5 2.181568 0.280383
428.0 2.180944 0.280283
428.5 2.180696 0.278700
429.0 2.180448 0.276717
429.5 2.179775 0.275500
430.0 2.179102 0.274417
430.5 2.178292 0.274083
431.0 2.177482 0.274150
431.5 2.177254 0.273067
432.0 2.177026 0.272150
432.5 2.176887 0.271150
433.0 2.176748 0.269800
433.5 2.176608 0.269250
434.0 2.176469 0.268400
434.5 2.176332 0.268133
435.0 2.176195 0.267600
435.5 2.175968 0.266867
436.0 2.175741 0.265833
436.5 2.175064 0.264850
437.0 2.174386 0.263967
437.5 2.173513 0.262683
438.0 2.172639 0.261900
438.5 2.171774 0.260867
439.0 2.170908 0.259483
439.5 2.170261 0.258867
440.0 2.169615 0.258367
440.5 2.169493 0.257533
441.0 2.169372 0.257100
441.5 2.169251 0.256100
442.0 2.169130 0.255533
442.5 2.169009 0.254950
443.0 2.168888 0.254333
443.5 2.168767 0.254000
444.0 2.168645 0.252783
444.5 2.168520 0.252133
445.0 2.168394 0.251717
445.5 2.168250 0.250667
446.0 2.168106 0.250050
446.5 2.167822 0.249517
447.0 2.167538 0.249150
447.5 2.166714 0.248800
448.0 2.165889 0.248033
448.5 2.165011 0.247367
449.0 2.164132 0.246600
449.5 2.163279 0.246567
450.0 2.162427 0.246033
450.5 2.161814 0.245117
451.0 2.161201 0.244683
451.5 2.160984 0.243733
452.0 2.160767 0.244017
452.5 2.160249 0.244433
453.0 2.159732 0.243450
453.5 2.158914 0.242967
454.0 2.158096 0.241967
454.5 2.157627 0.240683
455.0 2.157157 0.240650
455.5 2.156992 0.240367
456.0 2.156826 0.239767
456.5 2.156661 0.239517
457.0 2.156495 0.239217
457.5 2.156330 0.239267
458.0 2.156165 0.238950
458.5 2.156000 0.238233
459.0 2.155834 0.237900
459.5 2.155569 0.237183
460.0 2.155305 0.236867
460.5 2.154610 0.237067
461.0 2.153915 0.236950
461.5 2.152856 0.237083
462.0 2.151796 0.236967
462.5 2.149814 0.236767
463.0 2.147831 0.236900
463.5 2.145951 0.236933
464.0 2.144071 0.237533
464.5 2.143639 0.237433
465.0 2.143207 0.236733
465.5 2.143159 0.236000
466.0 2.143110 0.235583
466.5 2.143551 0.235517
467.0 2.143992 0.235950
467.5 2.144391 0.237000
468.0 2.144789 0.237383
468.5 2.144695 0.237967
