# DOI:10.1002/adom.202000319 + 10.1002/aenm.201702854 
# | wavelength | n | k
410.5 1.546651 0.089598
411.0 1.547543 0.089898
411.5 1.548499 0.090199
412.0 1.549507 0.090491
412.5 1.550557 0.090782
413.0 1.551639 0.091073
413.5 1.552742 0.091364
414.0 1.553856 0.091656
414.5 1.554970 0.091947
415.0 1.556075 0.092238
415.5 1.557159 0.092530
416.0 1.558212 0.092821
416.5 1.559224 0.093112
417.0 1.560184 0.093321
417.5 1.561082 0.093494
418.0 1.561908 0.093667
418.5 1.562652 0.093840
419.0 1.563315 0.094014
419.5 1.563904 0.094187
420.0 1.564425 0.094360
420.5 1.564885 0.094533
421.0 1.565289 0.094706
421.5 1.565644 0.094880
422.0 1.565956 0.095053
422.5 1.566232 0.095226
423.0 1.566478 0.095399
423.5 1.566700 0.095572
424.0 1.566905 0.095745
424.5 1.567099 0.095919
425.0 1.567287 0.096092
425.5 1.567477 0.096265
426.0 1.567668 0.096438
426.5 1.567859 0.096611
427.0 1.568050 0.096784
427.5 1.568238 0.096958
428.0 1.568422 0.097131
428.5 1.568602 0.097239
429.0 1.568776 0.097261
429.5 1.568943 0.097282
430.0 1.569101 0.097304
430.5 1.569249 0.097325
431.0 1.569386 0.097346
431.5 1.569511 0.097368
432.0 1.569622 0.097389
432.5 1.569718 0.097411
433.0 1.569799 0.097432
433.5 1.569861 0.097454
434.0 1.569906 0.097475
434.5 1.569930 0.097497
435.0 1.569933 0.097518
435.5 1.569915 0.097540
436.0 1.569875 0.097561
436.5 1.569815 0.097583
437.0 1.569734 0.097604
437.5 1.569635 0.097626
438.0 1.569516 0.097647
438.5 1.569380 0.097668
439.0 1.569226 0.097690
439.5 1.569055 0.097726
440.0 1.568867 0.097763
440.5 1.568664 0.097799
441.0 1.568446 0.097835
441.5 1.568214 0.097872
442.0 1.567967 0.097908
442.5 1.567708 0.097944
443.0 1.567436 0.097981
443.5 1.567151 0.098017
444.0 1.566856 0.098054
444.5 1.566550 0.098090
445.0 1.566234 0.098126
445.5 1.565909 0.098163
446.0 1.565576 0.098199
446.5 1.565235 0.098235
447.0 1.564888 0.098272
447.5 1.564534 0.098325
448.0 1.564176 0.098434
448.5 1.563812 0.098544
449.0 1.563445 0.098654
449.5 1.563075 0.098764
450.0 1.562703 0.098873
450.5 1.562329 0.098983
451.0 1.561954 0.099093
451.5 1.561580 0.099203
452.0 1.561206 0.099313
452.5 1.560833 0.099422
453.0 1.560463 0.099532
453.5 1.560096 0.099642
454.0 1.559733 0.099752
454.5 1.559374 0.099861
455.0 1.559020 0.099971
455.5 1.558670 0.100081
456.0 1.558324 0.100236
