# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 External_Source_ElectricField
# 5 Transmission
# 6 Reflection
# 7 Absorption
# x GenerationRate Intensity External_Source_ElectricField Transmission Reflection Absorption 
261.016 5.96871e+20 418.556 -195.401 0 0 0 
266.055 5.92325e+20 417.435 -77.447 0 0 0 
271.095 5.87866e+20 416.32 38.4695 0 0 0 
276.136 5.83491e+20 415.208 150.31 0 0 0 
281.178 5.79197e+20 414.102 256.284 0 0 0 
286.221 5.74981e+20 413 354.894 0 0 0 
291.264 5.70841e+20 411.904 444.962 0 0 0 
296.308 5.66775e+20 410.814 525.609 0 0 0 
301.353 5.6278e+20 409.73 596.225 0 0 0 
306.398 5.58853e+20 408.655 656.407 0 0 0 
311.445 5.54994e+20 407.59 705.907 0 0 0 
316.492 5.51199e+20 406.534 744.578 0 0 0 
321.54 5.47468e+20 405.489 772.33 0 0 0 
326.588 5.43798e+20 404.456 789.108 0 0 0 
331.638 5.40187e+20 403.435 794.889 0 0 0 
336.688 5.36635e+20 402.427 789.692 0 0 0 
341.739 5.33138e+20 401.43 773.606 0 0 0 
346.79 5.29696e+20 400.446 746.816 0 0 0 
351.843 5.26307e+20 399.473 709.641 0 0 0 
356.896 5.22969e+20 398.51 662.554 0 0 0 
361.95 5.19681e+20 397.557 606.2 0 0 0 
367.004 5.16442e+20 396.611 541.402 0 0 0 
372.06 5.1325e+20 395.673 469.153 0 0 0 
377.116 5.10103e+20 394.74 390.6 0 0 0 
382.173 5.07001e+20 393.811 307.017 0 0 0 
387.23 5.03942e+20 392.885 219.778 0 0 0 
392.289 5.00925e+20 391.962 130.323 0 0 0 
397.348 4.97949e+20 391.041 40.1245 0 0 0 
402.408 4.95013e+20 390.122 -49.3395 0 0 0 
407.469 4.92116e+20 389.203 -136.622 0 0 0 
412.53 4.89257e+20 388.286 -220.332 0 0 0 
417.592 4.86435e+20 387.372 -299.168 0 0 0 
422.655 4.8365e+20 386.46 -371.936 0 0 0 
427.719 4.809e+20 385.552 -437.582 0 0 0 
432.784 4.78185e+20 384.649 -495.207 0 0 0 
437.849 4.75504e+20 383.751 -544.08 0 0 0 
442.915 4.72857e+20 382.86 -583.656 0 0 0 
447.982 4.70242e+20 381.977 -613.566 0 0 0 
453.049 4.6766e+20 381.103 -633.617 0 0 0 
458.118 4.65109e+20 380.238 -643.781 0 0 0 
463.187 4.6259e+20 379.382 -644.17 0 0 0 
468.257 4.60101e+20 378.536 -635.022 0 0 0 
473.327 4.57641e+20 377.7 -616.676 0 0 0 
478.399 4.5521e+20 376.873 -589.561 0 0 0 
483.471 4.52808e+20 376.054 -554.179 0 0 0 
488.544 4.50433e+20 375.243 -511.105 0 0 0 
493.617 4.48086e+20 374.438 -460.984 0 0 0 
498.692 4.45765e+20 373.638 -404.544 0 0 0 
503.767 4.43469e+20 372.843 -342.596 0 0 0 
508.843 4.41199e+20 372.051 -276.049 0 0 0 
513.919 4.38953e+20 371.261 -205.909 0 0 0 
518.997 4.36731e+20 370.472 -133.277 0 0 0 
524.075 4.34532e+20 369.684 -59.3311 0 0 0 
529.154 4.32357e+20 368.895 14.6898 0 0 0 
534.234 4.30204e+20 368.107 87.5228 0 0 0 
539.314 4.28074e+20 367.319 157.915 0 0 0 
544.395 4.25965e+20 366.531 224.665 0 0 0 
549.478 4.23877e+20 365.744 286.659 0 0 0 
554.56 4.21811e+20 364.959 342.906 0 0 0 
559.644 4.19766e+20 364.177 392.562 0 0 0 
564.728 4.17741e+20 363.398 434.946 0 0 0 
569.813 4.15737e+20 362.625 469.546 0 0 0 
574.899 4.13753e+20 361.857 496.017 0 0 0 
579.986 4.11788e+20 361.096 514.17 0 0 0 
585.073 4.09843e+20 360.342 523.958 0 0 0 
590.161 4.07917e+20 359.597 525.46 0 0 0 
595.25 4.06011e+20 358.859 518.87 0 0 0 
600.34 4.04123e+20 358.129 504.482 0 0 0 
605.43 4.02253e+20 357.407 482.683 0 0 0 
610.521 4.00401e+20 356.692 453.953 0 0 0 
615.613 3.98566e+20 355.984 418.854 0 0 0 
620.706 3.96749e+20 355.281 378.04 0 0 0 
625.799 3.94949e+20 354.583 332.242 0 0 0 
630.894 3.93165e+20 353.888 282.268 0 0 0 
635.989 3.91397e+20 353.196 228.991 0 0 0 
641.084 3.89645e+20 352.506 173.327 0 0 0 
646.181 3.87908e+20 351.816 116.221 0 0 0 
651.278 3.86186e+20 351.126 58.6156 0 0 0 
656.376 3.8448e+20 350.435 1.43269 0 0 0 
661.475 3.82788e+20 349.744 -54.455 0 0 0 
666.575 3.8111e+20 349.052 -108.242 0 0 0 
671.675 3.79447e+20 348.36 -159.205 0 0 0 
676.776 3.77797e+20 347.668 -206.712 0 0 0 
681.878 3.76162e+20 346.976 -250.226 0 0 0 
686.981 3.74541e+20 346.286 -289.295 0 0 0 
692.084 3.72933e+20 345.599 -323.551 0 0 0 
697.188 3.71339e+20 344.915 -352.694 0 0 0 
702.293 3.69758e+20 344.236 -376.484 0 0 0 
707.399 3.68191e+20 343.561 -394.728 0 0 0 
712.505 3.66637e+20 342.893 -407.275 0 0 0 
717.613 3.65096e+20 342.231 -414.012 0 0 0 
722.721 3.63568e+20 341.576 -414.868 0 0 0 
727.829 3.62053e+20 340.928 -409.817 0 0 0 
732.939 3.60551e+20 340.287 -398.893 0 0 0 
738.049 3.59061e+20 339.652 -382.195 0 0 0 
743.16 3.57583e+20 339.023 -359.905 0 0 0 
748.272 3.56117e+20 338.399 -332.297 0 0 0 
753.385 3.54662e+20 337.779 -299.743 0 0 0 
758.498 3.53219e+20 337.162 -262.721 0 0 0 
763.612 3.51787e+20 336.547 -221.812 0 0 0 
768.727 3.50367e+20 335.934 -177.691 0 0 0 
773.843 3.48956e+20 335.321 -131.121 0 0 0 
778.959 3.47557e+20 334.708 -82.9308 0 0 0 
784.076 3.46168e+20 334.094 -33.9921 0 0 0 
789.194 3.44789e+20 333.48 14.8025 0 0 0 
794.313 3.4342e+20 332.864 62.569 0 0 0 
