# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 ElectricField
# x GenerationRate Intensity ElectricField 
0 0 475.848 435.303 
1 0 475.516 434.963 
2 0 474.925 434.358 
3 0 474.481 433.904 
4 0 474.185 433.601 
5 0 474.074 433.488 
5 5.49133e+16 722.479 433.412 
6 5.49131e+16 722.475 433.41 
7 5.49121e+16 722.461 433.4 
8 5.49102e+16 722.432 433.38 
9 5.49072e+16 722.388 433.351 
10 5.49034e+16 722.331 433.311 
11 5.48985e+16 722.259 433.263 
12 5.48928e+16 722.173 433.204 
13 5.48861e+16 722.072 433.137 
14 5.48784e+16 721.958 433.059 
15 5.48699e+16 721.831 432.973 
16 5.48605e+16 721.69 432.878 
17 5.48503e+16 721.535 432.774 
18 5.48392e+16 721.368 432.662 
19 5.48273e+16 721.188 432.541 
20 5.48146e+16 720.996 432.412 
21 5.48012e+16 720.791 432.275 
22 5.4787e+16 720.574 432.131 
23 5.47721e+16 720.346 431.979 
24 5.47566e+16 720.107 431.821 
25 5.47404e+16 719.857 431.656 
26 5.47236e+16 719.597 431.484 
27 5.47062e+16 719.326 431.306 
28 5.46883e+16 719.046 431.123 
29 5.46699e+16 718.757 430.935 
30 5.4651e+16 718.459 430.741 
31 5.46317e+16 718.153 430.543 
32 5.4612e+16 717.839 430.34 
33 5.4592e+16 717.517 430.134 
34 5.45716e+16 717.189 429.924 
35 5.4551e+16 716.854 429.712 
36 5.45301e+16 716.514 429.496 
37 5.4509e+16 716.168 429.278 
38 5.44878e+16 715.817 429.059 
39 5.44664e+16 715.461 428.838 
40 5.4445e+16 715.102 428.615 
41 5.44235e+16 714.74 428.392 
42 5.4402e+16 714.375 428.169 
43 5.43804e+16 714.007 427.945 
44 5.4359e+16 713.638 427.722 
45 5.43376e+16 713.267 427.5 
46 5.43163e+16 712.895 427.279 
47 5.42952e+16 712.524 427.059 
48 5.42743e+16 712.152 426.842 
49 5.42535e+16 711.782 426.626 
50 5.4233e+16 711.412 426.413 
51 5.42127e+16 711.045 426.203 
52 5.41927e+16 710.679 425.996 
53 5.4173e+16 710.316 425.792 
54 5.41536e+16 709.957 425.592 
55 5.41346e+16 709.601 425.396 
56 5.41159e+16 709.249 425.204 
57 5.40976e+16 708.902 425.017 
58 5.40796e+16 708.559 424.834 
59 5.4062e+16 708.222 424.657 
60 5.40449e+16 707.891 424.484 
61 5.40281e+16 707.566 424.317 
62 5.40118e+16 707.247 424.155 
63 5.39958e+16 706.935 423.999 
64 5.39803e+16 706.63 423.849 
65 5.39653e+16 706.333 423.704 
66 5.39506e+16 706.044 423.566 
67 5.39364e+16 705.762 423.433 
68 5.39225e+16 705.49 423.307 
69 5.39091e+16 705.225 423.187 
70 5.38961e+16 704.97 423.073 
71 5.38835e+16 704.724 422.966 
72 5.38713e+16 704.487 422.865 
73 5.38594e+16 704.259 422.77 
74 5.38479e+16 704.042 422.681 
75 5.38368e+16 703.834 422.599 
76 5.38259e+16 703.636 422.523 
77 5.38154e+16 703.448 422.453 
78 5.38053e+16 703.27 422.389 
79 5.37953e+16 703.103 422.331 
80 5.37857e+16 702.946 422.279 
81 5.37763e+16 702.799 422.233 
82 5.37671e+16 702.663 422.192 
83 5.37582e+16 702.537 422.157 
84 5.37494e+16 702.422 422.128 
85 5.37408e+16 702.317 422.103 
86 5.37323e+16 702.222 422.084 
87 5.3724e+16 702.138 422.07 
88 5.37158e+16 702.063 422.06 
89 5.37077e+16 701.999 422.055 
90 5.36997e+16 701.946 422.055 
91 5.36917e+16 701.902 422.059 
92 5.36837e+16 701.867 422.066 
93 5.36758e+16 701.843 422.078 
94 5.36678e+16 701.828 422.093 
95 5.36599e+16 701.822 422.112 
96 5.36519e+16 701.826 422.134 
97 5.36438e+16 701.839 422.159 
98 5.36357e+16 701.86 422.187 
99 5.36276e+16 701.89 422.217 
100 5.36193e+16 701.929 422.25 
101 5.3611e+16 701.975 422.286 
102 5.36025e+16 702.03 422.323 
103 5.3594e+16 702.092 422.362 
104 5.35853e+16 702.162 422.403 
105 5.35765e+16 702.238 422.445 
106 5.35676e+16 702.322 422.489 
107 5.35585e+16 702.413 422.534 
108 5.35494e+16 702.51 422.579 
109 5.35401e+16 702.613 422.626 
110 5.35307e+16 702.722 422.673 
111 5.35212e+16 702.836 422.721 
112 5.35115e+16 702.956 422.769 
113 5.35018e+16 703.08 422.817 
114 5.3492e+16 703.21 422.865 
115 5.3482e+16 703.344 422.913 
116 5.3472e+16 703.482 422.961 
117 5.3462e+16 703.624 423.009 
118 5.34519e+16 703.77 423.057 
119 5.34418e+16 703.919 423.104 
120 5.34317e+16 704.071 423.15 
121 5.34216e+16 704.226 423.196 
122 5.34115e+16 704.383 423.242 
123 5.34014e+16 704.543 423.286 
124 5.33915e+16 704.705 423.33 
125 5.33816e+16 704.868 423.373 
126 5.33718e+16 705.033 423.416 
127 5.33622e+16 705.199 423.457 
128 5.33528e+16 705.366 423.498 
129 5.33435e+16 705.534 423.538 
130 5.33345e+16 705.703 423.577 
131 5.33257e+16 705.871 423.615 
132 5.33172e+16 706.04 423.652 
133 5.3309e+16 706.209 423.689 
134 5.33011e+16 706.378 423.724 
135 5.32935e+16 706.546 423.76 
136 5.32864e+16 706.713 423.794 
137 5.32796e+16 706.88 423.828 
138 5.32733e+16 707.045 423.861 
139 5.32675e+16 707.209 423.894 
140 5.32621e+16 707.372 423.926 
141 5.32573e+16 707.534 423.958 
142 5.3253e+16 707.694 423.99 
143 5.32493e+16 707.852 424.021 
144 5.32461e+16 708.008 424.052 
145 5.32436e+16 708.162 424.083 
146 5.32417e+16 708.314 424.114 
147 5.32404e+16 708.464 424.145 
148 5.32398e+16 708.612 424.176 
149 5.32399e+16 708.757 424.208 
150 5.32407e+16 708.9 424.24 
151 5.32422e+16 709.04 424.272 
152 5.32444e+16 709.178 424.304 
153 5.32474e+16 709.313 424.337 
154 5.32512e+16 709.445 424.37 
155 5.32556e+16 709.575 424.405 
156 5.32609e+16 709.702 424.439 
157 5.32669e+16 709.826 424.475 
158 5.32737e+16 709.947 424.511 
159 5.32813e+16 710.065 424.549 
160 5.32896e+16 710.181 424.587 
161 5.32987e+16 710.293 424.626 
162 5.33086e+16 710.403 424.666 
163 5.33192e+16 710.51 424.708 
164 5.33306e+16 710.614 424.75 
165 5.33427e+16 710.715 424.793 
166 5.33555e+16 710.814 424.838 
167 5.33691e+16 710.909 424.884 
168 5.33833e+16 711.002 424.931 
169 5.33983e+16 711.092 424.979 
170 5.34139e+16 711.179 425.028 
171 5.34301e+16 711.264 425.078 
172 5.3447e+16 711.346 425.13 
173 5.34645e+16 711.425 425.182 
174 5.34825e+16 711.502 425.236 
175 5.35011e+16 711.576 425.291 
176 5.35202e+16 711.648 425.347 
177 5.35398e+16 711.717 425.404 
178 5.35598e+16 711.784 425.461 
179 5.35803e+16 711.849 425.52 
180 5.36011e+16 711.911 425.58 
181 5.36223e+16 711.971 425.64 
182 5.36439e+16 712.028 425.701 
183 5.36657e+16 712.084 425.763 
184 5.36878e+16 712.137 425.825 
185 5.37102e+16 712.188 425.888 
186 5.37327e+16 712.238 425.952 
187 5.37553e+16 712.285 426.016 
188 5.37781e+16 712.33 426.08 
189 5.3801e+16 712.374 426.144 
190 5.38239e+16 712.415 426.208 
191 5.38468e+16 712.455 426.273 
192 5.38696e+16 712.493 426.337 
193 5.38924e+16 712.529 426.401 
194 5.39151e+16 712.564 426.465 
195 5.39377e+16 712.597 426.529 
196 5.396e+16 712.628 426.592 
197 5.39822e+16 712.658 426.655 
198 5.40041e+16 712.687 426.717 
199 5.40258e+16 712.713 426.778 
200 5.40472e+16 712.739 426.839 
201 5.40682e+16 712.763 426.899 
202 5.40889e+16 712.785 426.957 
203 5.41091e+16 712.806 427.015 
204 5.4129e+16 712.826 427.071 
205 5.41485e+16 712.845 427.127 
206 5.41674e+16 712.862 427.181 
207 5.41859e+16 712.878 427.233 
208 5.42039e+16 712.893 427.285 
209 5.42214e+16 712.906 427.334 
210 5.42383e+16 712.919 427.382 
211 5.42547e+16 712.93 427.429 
212 5.42705e+16 712.94 427.474 
213 5.42858e+16 712.949 427.517 
214 5.43004e+16 712.956 427.558 
215 5.43145e+16 712.963 427.598 
216 5.43279e+16 712.969 427.636 
217 5.43408e+16 712.973 427.671 
218 5.4353e+16 712.976 427.705 
219 5.43647e+16 712.979 427.737 
220 5.43757e+16 712.98 427.768 
221 5.43861e+16 712.98 427.796 
222 5.43959e+16 712.98 427.822 
223 5.44051e+16 712.978 427.846 
224 5.44137e+16 712.975 427.868 
225 5.44217e+16 712.972 427.889 
226 5.44291e+16 712.967 427.907 
227 5.4436e+16 712.961 427.924 
228 5.44423e+16 712.955 427.938 
229 5.44481e+16 712.947 427.951 
230 5.44533e+16 712.939 427.962 
231 5.4458e+16 712.93 427.971 
232 5.44623e+16 712.919 427.979 
233 5.4466e+16 712.908 427.984 
234 5.44693e+16 712.896 427.988 
235 5.44722e+16 712.883 427.991 
236 5.44746e+16 712.87 427.992 
237 5.44767e+16 712.855 427.991 
238 5.44783e+16 712.84 427.989 
239 5.44797e+16 712.823 427.985 
240 5.44806e+16 712.806 427.981 
241 5.44813e+16 712.789 427.974 
242 5.44816e+16 712.77 427.967 
243 5.44817e+16 712.751 427.959 
