# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-73.3988 0.00768856 -1.88896 -0.00741643 -1.74955 3.30179e+17 7.56278e+16 3350.83 145.842 -1078.8 0 0 0 0 0 -99831.1 0 0 
-71.2236 0.00745295 -1.8892 -0.00752861 -1.75055 3.31535e+17 7.7887e+16 3350.83 145.842 -1087.58 0 0 0 0 0 -99831.1 0 0 
-69.0966 0.0072207 -1.88943 -0.00763759 -1.75152 3.32893e+17 8.01475e+16 3350.83 145.842 -1096.16 0 0 0 0 0 -99831.1 0 0 
-67.0165 0.00699182 -1.88966 -0.00774348 -1.75247 3.34254e+17 8.24082e+16 3350.83 145.842 -1104.5 0 0 0 0 0 -99831.1 0 0 
-64.9825 0.00676634 -1.88988 -0.00784635 -1.75339 3.35615e+17 8.46679e+16 3350.83 145.842 -1112.49 0 0 0 0 0 -99831.1 0 0 
-62.9934 0.00654429 -1.8901 -0.00794631 -1.7543 3.36975e+17 8.69255e+16 3350.83 145.842 -1120.03 0 0 0 0 0 -99831.1 0 0 
-61.0483 0.00632573 -1.89032 -0.00804342 -1.75518 3.38332e+17 8.918e+16 3350.83 145.842 -1126.98 0 0 0 0 0 -99831.1 0 0 
-59.1461 0.00611074 -1.89054 -0.00813778 -1.75604 3.39685e+17 9.14307e+16 3350.83 145.842 -1133.16 0 0 0 0 0 -99831.1 0 0 
-57.2861 0.00589944 -1.89075 -0.00822946 -1.75688 3.41031e+17 9.36768e+16 3350.83 145.842 -1138.3 0 0 0 0 0 -99831.1 0 0 
-55.4671 0.00569198 -1.89096 -0.00831855 -1.7577 3.42368e+17 9.5918e+16 3350.83 145.842 -1142.08 0 0 0 0 0 -99831.1 0 0 
-53.6883 0.00548856 -1.89116 -0.00840512 -1.7585 3.43692e+17 9.81541e+16 3350.83 145.842 -1144.08 0 0 0 0 0 -99831.1 0 0 
-51.9489 0.00528947 -1.89136 -0.00848925 -1.75928 3.44999e+17 1.00385e+17 3350.83 145.842 -1143.74 0 0 0 0 0 -99831.1 0 0 
-50.2479 0.00509506 -1.89155 -0.00857101 -1.76004 3.46283e+17 1.02612e+17 3350.83 145.842 -1140.36 0 0 0 0 0 -99831.1 0 0 
-48.5846 0.0049058 -1.89174 -0.00865048 -1.76079 3.47539e+17 1.04836e+17 3350.83 145.842 -1133.01 0 0 0 0 0 -99831.1 0 0 
-46.9579 0.00472227 -1.89193 -0.00872773 -1.76152 3.48759e+17 1.07059e+17 3350.83 145.842 -1120.55 0 0 0 0 0 -99831.1 0 0 
-45.3673 0.00454523 -1.8921 -0.00880283 -1.76223 3.49932e+17 1.09283e+17 3350.83 145.842 -1101.5 0 0 0 0 0 -99831.1 0 0 
-43.8118 0.00437564 -1.89227 -0.00887585 -1.76292 3.51046e+17 1.11513e+17 3350.83 145.842 -1074.02 0 0 0 0 0 -99831.1 0 0 
-42.2907 0.00421469 -1.89243 -0.00894688 -1.7636 3.52087e+17 1.13753e+17 3350.83 145.842 -1035.79 0 0 0 0 0 -99831.1 0 0 
-40.8032 0.00406386 -1.89258 -0.00901597 -1.76426 3.53035e+17 1.1601e+17 3350.83 145.842 -983.955 0 0 0 0 0 -99831.1 0 0 
-39.3486 0.003925 -1.89272 -0.00908321 -1.7649 3.53867e+17 1.18294e+17 3350.83 145.842 -914.954 0 0 0 0 0 -99831.1 0 0 
-37.9262 0.00380037 -1.89285 -0.00914867 -1.76553 3.54556e+17 1.20614e+17 3350.83 145.842 -824.431 0 0 0 0 0 -99831.1 0 0 
-36.5352 0.00369273 -1.89296 -0.00921242 -1.76614 3.55068e+17 1.22986e+17 3350.83 145.842 -707.058 0 0 0 0 0 -99831.1 0 0 
-35.1749 0.00360544 -1.89304 -0.00927454 -1.76674 3.55362e+17 1.25428e+17 3350.83 145.842 -556.361 0 0 0 0 0 -99831.1 0 0 
-33.8447 0.00354254 -1.89311 -0.00933512 -1.76732 3.55389e+17 1.27961e+17 3350.83 145.842 -364.514 0 0 0 0 0 -99831.1 0 0 
-32.5439 0.0035089 -1.89314 -0.00939426 -1.76788 3.55091e+17 1.30614e+17 3350.83 145.842 -122.111 0 0 0 0 0 -99831.1 0 0 
-31.2719 0.00351035 -1.89314 -0.00945203 -1.76843 3.54401e+17 1.33422e+17 3350.83 145.842 182.094 0 0 0 0 0 -99831.1 0 0 
-30.028 0.00355377 -1.89309 -0.00950854 -1.76897 3.53238e+17 1.36426e+17 3350.83 145.842 561.483 0 0 0 0 0 -99831.1 0 0 
-28.8116 0.00364733 -1.893 -0.0095639 -1.76949 3.51512e+17 1.39681e+17 3350.83 145.842 1031.9 0 0 0 0 0 -99831.1 0 0 
-27.6221 0.00380064 -1.89285 -0.00961824 -1.76999 3.49117e+17 1.4325e+17 3350.83 145.842 1611.99 0 0 0 0 0 -99831.1 0 0 
-26.4588 0.00402491 -1.89262 -0.00967168 -1.77047 3.45935e+17 1.47216e+17 3350.83 145.842 2323.66 0 0 0 0 0 -99831.1 0 0 
-25.3213 0.00433324 -1.89232 -0.00972437 -1.77094 3.41836e+17 1.51678e+17 3350.83 145.842 3192.43 0 0 0 0 0 -99831.1 0 0 
-24.209 0.00474078 -1.89191 -0.00977649 -1.77138 3.36677e+17 1.56762e+17 3350.83 145.842 4248.03 0 0 0 0 0 -99831.1 0 0 
-23.1212 0.00526503 -1.89138 -0.00982822 -1.77181 3.30308e+17 1.62625e+17 3350.83 145.842 5524.86 0 0 0 0 0 -99831.1 0 0 
-22.0574 0.0059261 -1.89072 -0.00987978 -1.77222 3.2257e+17 1.69467e+17 3350.83 145.842 7062.7 0 0 0 0 0 -99831.1 0 0 
-21.0172 0.00674704 -1.8899 -0.00993144 -1.77261 3.1331e+17 1.7754e+17 3350.83 145.842 8907.37 0 0 0 0 0 -99831.1 0 0 
-20 0.00775413 -1.88889 -0.00998349 -1.77297 3.0238e+17 1.87174e+17 3350.83 145.842 9900.33 0 0 0 0 0 -99831.1 0 0 
-20 0.00775413 -1.88889 -0.00998349 -1.77297 3.0238e+17 1.87174e+17 6116.11 284.124 10250.1 0 0 0 0 0 -99831.1 0 0 
-19 0.00877914 -1.88787 -0.0100125 -1.77315 2.91833e+17 1.96038e+17 6116.11 284.124 9534.2 0 0 0 0 0 -99831.1 0 0 
-18 0.00966097 -1.88699 -0.0100425 -1.77332 2.82971e+17 2.04132e+17 6116.11 284.124 8229.46 0 0 0 0 0 -99831.1 0 0 
-17 0.010425 -1.88622 -0.0100734 -1.77348 2.75438e+17 2.11546e+17 6116.11 284.124 7163.97 0 0 0 0 0 -99831.1 0 0 
-16 0.0110938 -1.88555 -0.010105 -1.77364 2.68947e+17 2.1838e+17 6116.11 284.124 6310.49 0 0 0 0 0 -99831.1 0 0 
